number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
26,0.255952380952381,PRUNED,2025-11-26 23:35:41.426319,2025-11-26 23:35:46.615185,0 days 00:00:05.188866,[512],[],[],leakyrelu,512,96,,0.0001,L2,1,decreasing,0.7,mean,True,0.0001
27,0.3107705406555981,PRUNED,2025-11-26 23:35:46.615185,2025-11-26 23:35:49.770400,0 days 00:00:03.155215,"[768, 384, 192, 96]",[],"[1, 2, 3]",elu,768,64,0.2,0.0005,minmax,4,decreasing,0.8,max,True,1e-06
28,0.34361766485178463,PRUNED,2025-11-26 23:35:49.770400,2025-11-26 23:35:53.922551,0 days 00:00:04.152151,"[1024, 512]",[1],[1],gelu,1024,32,0.2,1e-05,minmax,2,decreasing,0.9,mean,True,1e-06
29,0.37049701737205376,COMPLETE,2025-11-26 23:35:53.922551,2025-11-26 23:36:14.467841,0 days 00:00:20.545290,[512],[],[],gelu,512,48,,0.0001,L2,1,uniform,0.7,mean,True,1e-05
30,0.21839080459770113,PRUNED,2025-11-26 23:36:14.468636,2025-11-26 23:36:25.212309,0 days 00:00:10.743673,"[896, 448, 224, 112, 64]","[1, 3, 4]",[1],relu,896,48,0.2,0.001,minmax,5,decreasing,0.6,max,True,1e-06
31,0.35648148148148145,PRUNED,2025-11-26 23:36:25.212309,2025-11-26 23:36:29.650963,0 days 00:00:04.438654,"[192, 384, 768]","[1, 2]",[],tanh,768,16,,2e-05,minmax,3,increasing,,max,False,0.0
32,0.21839080459770113,PRUNED,2025-11-26 23:36:29.650963,2025-11-26 23:36:38.260395,0 days 00:00:08.609432,"[192, 384, 768]","[1, 2]",[],tanh,768,16,,2e-05,minmax,3,increasing,,max,False,0.0
33,0.1761006289308176,PRUNED,2025-11-26 23:36:38.261398,2025-11-26 23:36:45.895979,0 days 00:00:07.634581,"[192, 384, 768]","[1, 2]",[],silu,768,16,,0.0002,minmax,3,increasing,,max,False,0.0
34,0.21839080459770113,PRUNED,2025-11-26 23:36:45.895979,2025-11-26 23:36:50.392157,0 days 00:00:04.496178,"[192, 384, 768]","[1, 2]",[],tanh,768,48,,2e-05,minmax,3,increasing,,max,False,1e-07
35,0.3106060606060606,PRUNED,2025-11-26 23:36:50.393160,2025-11-26 23:36:55.327310,0 days 00:00:04.934150,"[64, 128]",[1],[1],silu,128,128,0.5,2e-05,minmax,2,increasing,,max,False,1e-05
