number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.4139249566468095,COMPLETE,2025-11-26 23:06:36.822457,2025-11-26 23:06:48.712857,0 days 00:00:11.890400,"[896, 448, 224, 112]",[],"[1, 3]",relu,896,96,0.4,0.0005,minmax,4,decreasing,0.8,max,True,1e-07
1,0.343991991082058,COMPLETE,2025-11-26 23:06:48.715924,2025-11-26 23:07:02.809151,0 days 00:00:14.093227,"[768, 768, 768, 768, 768]","[1, 4]","[1, 3]",relu,768,96,0.4,0.001,L2,5,uniform,,mean,False,0.0001
2,0.31843711843711847,PRUNED,2025-11-26 23:07:02.811663,2025-11-26 23:07:05.034547,0 days 00:00:02.222884,[512],[],[],elu,512,128,,1e-05,minmax,1,uniform,,max,False,1e-06
3,0.21839080459770113,PRUNED,2025-11-26 23:07:05.035552,2025-11-26 23:07:06.362627,0 days 00:00:01.327075,"[512, 512, 512, 512, 512]","[1, 3]","[1, 2, 3, 4]",silu,512,96,0.5,1e-05,L2,5,uniform,,mean,False,0.0001
4,0.37660343270099367,PRUNED,2025-11-26 23:07:06.362627,2025-11-26 23:07:18.259122,0 days 00:00:11.896495,"[1024, 1024, 1024, 1024, 1024]","[2, 3]",[1],gelu,1024,16,0.4,5e-05,L2,5,uniform,0.6,mean,True,1e-06
5,0.41960630276510036,COMPLETE,2025-11-26 23:07:18.260127,2025-11-26 23:07:46.564380,0 days 00:00:28.304253,"[64, 64, 128, 256, 512]","[2, 3]","[1, 2]",gelu,512,48,0.4,0.001,minmax,5,increasing,,mean,False,1e-05
6,0.34057649667405765,PRUNED,2025-11-26 23:07:46.567422,2025-11-26 23:07:49.002732,0 days 00:00:02.435310,"[128, 64, 64, 64, 64, 64]","[1, 2, 3, 4, 5]","[2, 3, 5]",tanh,128,48,0.5,0.0005,L2,6,decreasing,0.9,max,True,1e-05
7,0.27249956023012706,COMPLETE,2025-11-26 23:07:49.003737,2025-11-26 23:08:11.405460,0 days 00:00:22.401723,"[64, 112, 224, 448, 896]","[1, 2]","[2, 3, 4]",elu,896,64,0.5,1e-05,L2,5,increasing,0.8,mean,True,0.0
8,0.3835111531924106,COMPLETE,2025-11-26 23:08:11.408001,2025-11-26 23:08:20.463139,0 days 00:00:09.055138,[640],[],[],elu,640,64,,0.0005,L2,1,uniform,0.7,mean,True,1e-07
9,0.20648967551622419,PRUNED,2025-11-26 23:08:20.465151,2025-11-26 23:08:24.935137,0 days 00:00:04.469986,"[256, 128, 64, 64]","[1, 2]",[3],leakyrelu,256,16,0.2,2e-05,minmax,4,decreasing,0.7,mean,True,1e-05
10,0.21637426900584797,PRUNED,2025-11-26 23:08:24.936143,2025-11-26 23:08:34.919618,0 days 00:00:09.983475,"[192, 384]",[],[1],gelu,384,48,0.3,0.001,minmax,2,increasing,,max,False,1e-05
11,0.3895033282130056,PRUNED,2025-11-26 23:08:34.920624,2025-11-26 23:08:38.907565,0 days 00:00:03.986941,"[224, 448, 896]",[],[1],relu,896,32,0.1,0.0001,minmax,3,increasing,,max,False,1e-07
12,0.21637426900584797,PRUNED,2025-11-26 23:08:38.908628,2025-11-26 23:08:50.801247,0 days 00:00:11.892619,"[896, 448, 224]",[],"[1, 2]",gelu,896,48,0.4,0.0002,minmax,3,decreasing,,max,False,1e-07
13,0.33900709219858155,PRUNED,2025-11-26 23:08:50.802254,2025-11-26 23:08:54.929832,0 days 00:00:04.127578,"[64, 128, 256, 512]",[],"[1, 2]",relu,512,96,0.4,0.001,minmax,4,increasing,0.5,max,True,1e-05
14,0.21839080459770113,PRUNED,2025-11-26 23:08:54.930836,2025-11-26 23:08:57.700615,0 days 00:00:02.769779,"[256, 128, 64, 64, 64, 64]","[2, 3]",[1],leakyrelu,256,128,0.4,0.0005,minmax,6,decreasing,,mean,False,0.0
15,0.38696280245576026,PRUNED,2025-11-26 23:08:57.701620,2025-11-26 23:09:06.559650,0 days 00:00:08.858030,"[80, 160, 320, 640]",[3],[1],silu,640,32,0.1,0.0001,minmax,4,increasing,0.8,max,True,1e-07
16,0.2842354333037563,PRUNED,2025-11-26 23:09:06.560655,2025-11-26 23:09:08.781118,0 days 00:00:02.220463,"[384, 192, 96]",[2],[2],tanh,384,96,0.2,2e-05,minmax,3,decreasing,0.8,mean,True,1e-05
17,0.1761006289308176,PRUNED,2025-11-26 23:09:08.782136,2025-11-26 23:09:12.377667,0 days 00:00:03.595531,"[128, 64, 64, 64, 64, 64]",[5],"[1, 2]",relu,128,48,0.3,5e-05,minmax,6,decreasing,,max,False,1e-07
18,0.3606177606177606,PRUNED,2025-11-26 23:09:12.378687,2025-11-26 23:09:15.929913,0 days 00:00:03.551226,"[384, 768]",[],[1],gelu,768,96,0.4,0.0002,minmax,2,increasing,,mean,False,0.0
19,0.21839080459770113,PRUNED,2025-11-26 23:09:15.931913,2025-11-26 23:09:23.019119,0 days 00:00:07.087206,"[1024, 512, 256, 128]","[2, 3]",[1],relu,1024,48,0.4,0.001,minmax,4,decreasing,0.6,max,True,1e-06
20,0.21839080459770113,PRUNED,2025-11-26 23:09:23.020146,2025-11-26 23:09:25.953634,0 days 00:00:02.933488,"[64, 64, 128, 256, 512]",[4],"[3, 4]",gelu,512,64,0.4,0.0005,minmax,5,increasing,,max,False,0.0001
