number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.47534036088902204,COMPLETE,2025-11-26 23:13:15.667548,2025-11-26 23:13:42.052682,0 days 00:00:26.385134,"[64, 64, 64, 64, 128]","[2, 3, 4]",[3],leakyrelu,128,48,0.3,0.0002,minmax,5,increasing,,max,False,0.0
1,0.42134724059501644,COMPLETE,2025-11-26 23:13:42.054694,2025-11-26 23:14:33.203331,0 days 00:00:51.148637,"[1024, 1024, 1024, 1024]",[],[],silu,1024,16,,5e-05,minmax,4,uniform,0.9,max,True,1e-06
2,0.41328420472314586,COMPLETE,2025-11-26 23:14:33.205343,2025-11-26 23:14:43.237929,0 days 00:00:10.032586,"[640, 320, 160, 80]","[2, 3]",[],relu,640,96,,0.001,minmax,4,decreasing,0.8,mean,True,1e-06
3,0.21839080459770113,PRUNED,2025-11-26 23:14:43.239938,2025-11-26 23:14:45.516166,0 days 00:00:02.276228,"[640, 320, 160]",[1],[2],silu,640,64,0.1,0.001,L2,3,decreasing,0.5,max,True,1e-07
4,0.08888888888888889,PRUNED,2025-11-26 23:14:45.517671,2025-11-26 23:14:48.569452,0 days 00:00:03.051781,"[256, 512, 1024]","[1, 2]",[1],silu,1024,128,0.5,1e-05,L2,3,increasing,,mean,False,0.0
5,0.21758419036095988,COMPLETE,2025-11-26 23:14:48.570458,2025-11-26 23:15:28.492617,0 days 00:00:39.922159,"[64, 64, 96, 192, 384]",[4],"[1, 2]",silu,384,16,0.3,0.001,L2,5,increasing,,max,False,0.0
6,0.21839080459770113,PRUNED,2025-11-26 23:15:28.494628,2025-11-26 23:15:32.095676,0 days 00:00:03.601048,"[640, 320]",[1],[1],elu,640,16,0.1,0.0005,L2,2,decreasing,,max,False,0.0001
7,0.21839080459770113,PRUNED,2025-11-26 23:15:32.095676,2025-11-26 23:15:34.075854,0 days 00:00:01.980178,"[128, 128, 128, 128, 128]","[2, 4]","[3, 4]",relu,128,48,0.5,1e-05,L2,5,uniform,,max,False,1e-05
8,0.1761006289308176,PRUNED,2025-11-26 23:15:34.075854,2025-11-26 23:15:36.965492,0 days 00:00:02.889638,"[256, 128, 64]",[2],"[1, 2]",gelu,256,48,0.5,5e-05,L2,3,decreasing,,max,False,1e-07
9,0.21238938053097345,PRUNED,2025-11-26 23:15:36.966498,2025-11-26 23:15:42.316280,0 days 00:00:05.349782,"[1024, 1024]",[1],[1],leakyrelu,1024,96,0.1,0.0002,L2,2,uniform,0.5,max,True,1e-07
10,0.21839080459770113,PRUNED,2025-11-26 23:15:42.317783,2025-11-26 23:15:47.634234,0 days 00:00:05.316451,"[64, 64, 64, 128, 256, 512]","[2, 3]","[3, 5]",leakyrelu,512,32,0.3,0.0002,minmax,6,increasing,,mean,False,0.0
11,0.4202040389500773,COMPLETE,2025-11-26 23:15:47.635239,2025-11-26 23:16:43.983805,0 days 00:00:56.348566,"[128, 128, 128, 128, 128]",[4],[3],tanh,128,16,0.4,5e-05,minmax,5,uniform,0.9,max,True,1e-06
12,0.21839080459770113,PRUNED,2025-11-26 23:16:43.985817,2025-11-26 23:16:48.928133,0 days 00:00:04.942316,"[896, 896, 896, 896, 896, 896]","[3, 5]",[4],leakyrelu,896,48,0.2,2e-05,minmax,6,uniform,0.9,max,True,1e-06
13,0.3001786777843955,PRUNED,2025-11-26 23:16:48.929138,2025-11-26 23:16:57.660926,0 days 00:00:08.731788,"[96, 192, 384, 768]",[3],[],tanh,768,64,,0.0001,minmax,4,increasing,0.6,max,True,0.0001
14,0.23760991135680526,COMPLETE,2025-11-26 23:16:57.662961,2025-11-26 23:17:04.448549,0 days 00:00:06.785588,[128],[],[],elu,128,128,,5e-05,minmax,1,increasing,,mean,False,1e-05
15,0.3295940170940171,PRUNED,2025-11-26 23:17:04.450562,2025-11-26 23:17:07.112060,0 days 00:00:02.661498,"[1024, 1024, 1024, 1024]",[2],[3],gelu,1024,32,0.3,0.0002,minmax,4,uniform,0.7,max,True,1e-06
16,0.3700882723366067,COMPLETE,2025-11-26 23:17:07.113104,2025-11-26 23:17:24.866328,0 days 00:00:17.753224,"[896, 896, 896, 896, 896]",[4],[],leakyrelu,896,48,,0.0005,minmax,5,uniform,0.9,max,True,0.0
17,0.21637426900584797,PRUNED,2025-11-26 23:17:24.868852,2025-11-26 23:18:28.162210,0 days 00:01:03.293358,"[64, 64, 64, 128, 256, 512]","[2, 3, 4, 5]","[2, 3]",silu,512,16,0.2,2e-05,minmax,6,increasing,,max,False,1e-06
18,0.21839080459770113,PRUNED,2025-11-26 23:18:28.163215,2025-11-26 23:18:40.647588,0 days 00:00:12.484373,"[256, 256, 256, 256]",[3],[3],silu,256,16,0.4,0.0002,minmax,4,uniform,,mean,False,0.0
19,0.24604630843162956,PRUNED,2025-11-26 23:18:40.648603,2025-11-26 23:18:42.857656,0 days 00:00:02.209053,"[64, 64, 96, 192, 384]",[1],[4],leakyrelu,384,48,0.3,0.0001,minmax,5,increasing,0.8,max,True,1e-05
20,0.32159149343739907,COMPLETE,2025-11-26 23:18:42.858688,2025-11-26 23:18:55.648287,0 days 00:00:12.789599,"[768, 768]",[],[],relu,768,64,,5e-05,minmax,2,uniform,0.6,max,True,0.0001
21,0.4082356217812332,COMPLETE,2025-11-26 23:18:55.657039,2025-11-26 23:19:57.785081,0 days 00:01:02.128042,"[128, 128, 128, 128, 128]",[4],[3],tanh,128,16,0.4,5e-05,minmax,5,uniform,0.9,max,True,1e-06
22,0.21839080459770113,PRUNED,2025-11-26 23:19:57.787087,2025-11-26 23:20:07.470927,0 days 00:00:09.683840,"[128, 128, 128, 128, 128]",[4],[3],tanh,128,16,0.4,5e-05,minmax,5,uniform,0.9,max,True,1e-06
23,0.21839080459770113,PRUNED,2025-11-26 23:20:07.470927,2025-11-26 23:20:19.216723,0 days 00:00:11.745796,"[128, 128, 128, 128]",[],[3],tanh,128,16,0.4,5e-05,minmax,4,uniform,0.9,max,True,1e-06
24,0.21839080459770113,PRUNED,2025-11-26 23:20:19.216723,2025-11-26 23:20:35.239567,0 days 00:00:16.022844,"[1024, 1024, 1024, 1024, 1024, 1024]",[4],"[3, 5]",tanh,1024,16,0.3,5e-05,minmax,6,uniform,0.7,max,True,1e-06
25,0.18238993710691823,PRUNED,2025-11-26 23:20:35.239567,2025-11-26 23:20:44.797078,0 days 00:00:09.557511,"[64, 64, 64, 64, 128]","[2, 3, 4]",[],gelu,128,96,,0.0002,minmax,5,increasing,0.9,max,True,0.0
26,0.18238993710691823,PRUNED,2025-11-26 23:20:44.803196,2025-11-26 23:20:50.740776,0 days 00:00:05.937580,"[128, 128, 128, 128]",[],"[2, 3]",elu,128,128,0.4,5e-05,minmax,4,uniform,,mean,False,1e-06
27,0.41939162560638665,COMPLETE,2025-11-26 23:20:50.740776,2025-11-26 23:21:40.009121,0 days 00:00:49.268345,"[1024, 1024, 1024, 1024, 1024, 1024]","[1, 2, 4]","[1, 3]",silu,1024,32,0.2,1e-05,minmax,6,uniform,0.9,max,True,1e-06
28,0.42003366144830734,COMPLETE,2025-11-26 23:21:40.011128,2025-11-26 23:21:58.567963,0 days 00:00:18.556835,"[128, 64, 64]",[],[],tanh,128,48,,0.0005,minmax,3,decreasing,,max,False,0.0
29,0.42865079084919594,COMPLETE,2025-11-26 23:21:58.570250,2025-11-26 23:22:11.696661,0 days 00:00:13.126411,"[96, 192, 384, 768]",[3],[],relu,768,96,,0.0001,minmax,4,increasing,0.9,mean,True,1e-06
30,0.31270903010033446,PRUNED,2025-11-26 23:22:11.699825,2025-11-26 23:22:13.084189,0 days 00:00:01.384364,"[96, 192, 384, 768]","[2, 3]",[2],relu,768,96,0.3,0.0001,minmax,4,increasing,0.5,mean,True,1e-05
31,0.21839080459770113,PRUNED,2025-11-26 23:22:13.085192,2025-11-26 23:22:15.293458,0 days 00:00:02.208266,"[96, 192, 384, 768]",[3],[],relu,768,96,,0.0001,minmax,4,increasing,0.9,mean,True,1e-06
32,0.3258370014672536,PRUNED,2025-11-26 23:22:15.294429,2025-11-26 23:22:20.054318,0 days 00:00:04.759889,"[64, 80, 160, 320, 640]",[3],[4],relu,640,96,0.4,0.001,minmax,5,increasing,0.9,mean,True,1e-06
33,0.45452487248191514,COMPLETE,2025-11-26 23:22:20.054318,2025-11-26 23:22:34.107504,0 days 00:00:14.053186,"[768, 384, 192]",[],[],leakyrelu,768,96,,0.0001,minmax,3,decreasing,0.9,mean,True,1e-06
34,0.31599736668861095,PRUNED,2025-11-26 23:22:34.109812,2025-11-26 23:22:39.085034,0 days 00:00:04.975222,"[768, 384, 192]",[],[],leakyrelu,768,96,,0.0001,minmax,3,decreasing,0.9,mean,True,1e-07
35,0.45333844576588944,COMPLETE,2025-11-26 23:22:39.086037,2025-11-26 23:22:51.727425,0 days 00:00:12.641388,"[768, 384, 192]",[1],[],leakyrelu,768,96,,0.0001,L2,3,decreasing,0.7,mean,True,1e-06
36,0.4305011890170719,COMPLETE,2025-11-26 23:22:51.730434,2025-11-26 23:23:03.148677,0 days 00:00:11.418243,"[768, 384]",[1],[],leakyrelu,768,96,,0.0001,L2,2,decreasing,0.7,mean,True,1e-06
37,0.21839080459770113,PRUNED,2025-11-26 23:23:03.150693,2025-11-26 23:23:04.100194,0 days 00:00:00.949501,[768],[],[],leakyrelu,768,96,,0.0001,L2,1,decreasing,,mean,False,0.0001
38,0.25925925925925924,PRUNED,2025-11-26 23:23:04.100194,2025-11-26 23:23:05.294692,0 days 00:00:01.194498,"[768, 384]",[1],[1],leakyrelu,768,96,0.3,0.0001,L2,2,decreasing,,mean,False,0.0
39,0.20420420420420418,PRUNED,2025-11-26 23:23:05.294692,2025-11-26 23:23:08.285239,0 days 00:00:02.990547,"[384, 192, 96]","[1, 2]",[2],leakyrelu,384,96,0.2,0.0001,L2,3,decreasing,0.7,mean,True,1e-06
40,0.462682518976875,COMPLETE,2025-11-26 23:23:08.285239,2025-11-26 23:23:21.367305,0 days 00:00:13.082066,"[768, 384]",[1],[1],leakyrelu,768,96,0.1,0.0001,L2,2,decreasing,,mean,False,1e-07
41,0.23641823641823642,PRUNED,2025-11-26 23:23:21.369311,2025-11-26 23:23:22.512011,0 days 00:00:01.142700,"[768, 384]",[1],[1],leakyrelu,768,96,0.1,0.0001,L2,2,decreasing,,mean,False,1e-07
42,0.47753384931291076,COMPLETE,2025-11-26 23:23:22.512321,2025-11-26 23:23:36.137629,0 days 00:00:13.625308,"[768, 384]",[1],[1],leakyrelu,768,96,0.1,0.0001,L2,2,decreasing,,mean,False,1e-07
43,0.3209876543209877,PRUNED,2025-11-26 23:23:36.139749,2025-11-26 23:23:37.722839,0 days 00:00:01.583090,"[768, 384, 192]","[1, 2]",[1],leakyrelu,768,96,0.1,0.001,L2,3,decreasing,,mean,False,1e-07
44,0.21839080459770113,PRUNED,2025-11-26 23:23:37.722839,2025-11-26 23:23:38.972684,0 days 00:00:01.249845,[256],[],[],leakyrelu,256,64,,0.0001,L2,1,decreasing,,mean,False,1e-07
45,0.21839080459770113,PRUNED,2025-11-26 23:23:38.973694,2025-11-26 23:23:40.292647,0 days 00:00:01.318953,"[640, 320]",[1],[1],leakyrelu,640,96,0.1,1e-05,L2,2,decreasing,,mean,False,1e-07
46,0.21637426900584797,PRUNED,2025-11-26 23:23:40.292647,2025-11-26 23:23:52.127629,0 days 00:00:11.834982,"[512, 256, 128]","[1, 2]","[1, 2]",leakyrelu,512,48,0.1,0.0002,L2,3,decreasing,,mean,False,1e-07
47,0.18527443105756358,PRUNED,2025-11-26 23:23:52.127629,2025-11-26 23:23:53.759450,0 days 00:00:01.631821,"[768, 384]",[1],[1],leakyrelu,768,128,0.1,2e-05,L2,2,decreasing,,mean,False,1e-07
48,0.4860468388308171,COMPLETE,2025-11-26 23:23:53.759450,2025-11-26 23:24:08.907915,0 days 00:00:15.148465,"[896, 448, 224]","[1, 2]",[1],leakyrelu,896,96,0.1,0.0001,L2,3,decreasing,,mean,False,1e-07
49,0.27143330023171136,PRUNED,2025-11-26 23:24:08.907915,2025-11-26 23:24:17.700315,0 days 00:00:08.792400,[896],[],[],elu,896,32,,0.0002,L2,1,decreasing,,mean,False,1e-07
