number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
24,0.21839080459770113,PRUNED,2025-11-26 23:02:48.467820,2025-11-26 23:02:52.405599,0 days 00:00:03.937779,"[896, 896, 896, 896]",[2],[1],gelu,896,96,0.5,0.0002,minmax,4,uniform,0.6,max,True,1e-07
25,0.3347763347763348,PRUNED,2025-11-26 23:02:52.407103,2025-11-26 23:02:54.538421,0 days 00:00:02.131318,"[896, 896, 896, 896, 896]",[2],"[1, 2]",tanh,896,48,0.3,0.0002,minmax,5,uniform,0.9,max,True,0.0001
26,0.4064413840185635,COMPLETE,2025-11-26 23:02:54.539426,2025-11-26 23:03:50.656446,0 days 00:00:56.117020,"[256, 256, 256, 256, 256]",[4],"[1, 4]",leakyrelu,256,16,0.4,0.001,minmax,5,uniform,,max,False,1e-06
27,0.2826734780757769,PRUNED,2025-11-26 23:03:50.658953,2025-11-26 23:03:52.153384,0 days 00:00:01.494431,"[896, 448, 224, 112]","[1, 2]",[],silu,896,64,,0.0002,minmax,4,decreasing,0.6,max,True,1e-07
28,0.18238993710691823,PRUNED,2025-11-26 23:03:52.153384,2025-11-26 23:04:09.374134,0 days 00:00:17.220750,"[64, 64, 128, 256, 512, 1024]","[2, 4]",[1],relu,1024,32,0.1,2e-05,L2,6,increasing,0.8,mean,True,1e-06
29,0.21839080459770113,PRUNED,2025-11-26 23:04:09.375140,2025-11-26 23:04:13.284350,0 days 00:00:03.909210,"[128, 128, 128, 128, 128]","[3, 4]","[1, 2, 3, 4]",silu,128,48,0.2,0.001,L2,5,uniform,0.7,mean,True,0.0001
30,0.31456855791962174,PRUNED,2025-11-26 23:04:13.284350,2025-11-26 23:04:15.700328,0 days 00:00:02.415978,"[96, 192, 384, 768]","[1, 2]",[1],gelu,768,96,0.5,0.0005,minmax,4,increasing,0.5,max,True,1e-06
31,0.28567423605270537,PRUNED,2025-11-26 23:04:15.701575,2025-11-26 23:04:18.623373,0 days 00:00:02.921798,"[256, 256, 256, 256, 256, 256]","[2, 4, 5]","[1, 4, 5]",gelu,256,96,0.5,0.001,minmax,6,uniform,0.6,max,True,1e-07
32,0.39014403743511,PRUNED,2025-11-26 23:04:18.624380,2025-11-26 23:04:25.308441,0 days 00:00:06.684061,"[256, 256, 256, 256, 256, 256]","[2, 4, 5]","[1, 4, 5]",gelu,256,96,0.5,0.001,minmax,6,uniform,0.6,max,True,1e-07
33,0.4579346529572289,COMPLETE,2025-11-26 23:04:25.309515,2025-11-26 23:04:46.902354,0 days 00:00:21.592839,"[512, 512, 512, 512, 512, 512]","[2, 4, 5]","[1, 4, 5]",gelu,512,96,0.5,0.001,minmax,6,uniform,0.6,max,True,1e-07
