number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
25,0.21839080459770113,PRUNED,2025-11-26 22:23:35.884510,2025-11-26 22:23:40.307292,0 days 00:00:04.422782,"[256, 256, 256, 256]","[1, 2]",[1],leakyrelu,256,48,0.1,0.0005,minmax,4,uniform,,mean,False,0.0001
26,0.3200236616385685,PRUNED,2025-11-26 22:23:40.308298,2025-11-26 22:23:43.444770,0 days 00:00:03.136472,"[640, 320]",[1],[],gelu,640,64,,0.0001,L2,2,decreasing,0.6,max,True,0.0
27,0.4277518023123969,COMPLETE,2025-11-26 22:23:43.446274,2025-11-26 22:24:47.038243,0 days 00:01:03.591969,"[640, 320, 160, 80, 64]","[2, 3, 4]","[1, 2]",elu,640,16,0.5,0.0001,minmax,5,decreasing,,mean,False,0.0
28,0.21839080459770113,PRUNED,2025-11-26 22:24:47.040360,2025-11-26 22:24:54.301144,0 days 00:00:07.260784,"[80, 160, 320, 640]","[1, 2, 3]","[1, 2]",relu,640,32,0.5,0.0005,minmax,4,increasing,,mean,False,0.0001
29,0.42162119634256295,COMPLETE,2025-11-26 22:24:54.302150,2025-11-26 22:25:11.817305,0 days 00:00:17.515155,"[640, 640, 640]",[2],"[1, 2]",tanh,640,48,0.5,0.0001,minmax,3,uniform,,max,False,0.0001
30,0.29090909090909095,PRUNED,2025-11-26 22:25:11.819328,2025-11-26 22:25:14.608178,0 days 00:00:02.788850,"[1024, 1024, 1024, 1024, 1024, 1024]","[2, 3]","[1, 2, 4, 5]",elu,1024,128,0.5,2e-05,minmax,6,uniform,,mean,False,1e-06
31,0.4169195674551272,COMPLETE,2025-11-26 22:25:14.609180,2025-11-26 22:25:30.696532,0 days 00:00:16.087352,"[640, 640, 640]",[2],"[1, 2]",tanh,640,48,0.5,0.0001,minmax,3,uniform,,max,False,0.0001
32,0.21839080459770113,PRUNED,2025-11-26 22:25:30.698336,2025-11-26 22:25:33.076060,0 days 00:00:02.377724,"[640, 640]",[],[1],tanh,640,48,0.5,0.0001,minmax,2,uniform,,max,False,0.0001
33,0.21839080459770113,PRUNED,2025-11-26 22:25:33.076060,2025-11-26 22:25:35.768463,0 days 00:00:02.692403,[640],[],[],tanh,640,48,,0.0001,minmax,1,uniform,,max,False,0.0001
34,0.21839080459770113,PRUNED,2025-11-26 22:25:35.768463,2025-11-26 22:25:39.695335,0 days 00:00:03.926872,"[640, 640, 640, 640, 640]","[2, 3, 4]","[1, 2, 3]",tanh,640,48,0.5,0.0001,minmax,5,uniform,,max,False,1e-05
35,0.21839080459770113,PRUNED,2025-11-26 22:25:39.696335,2025-11-26 22:25:46.456071,0 days 00:00:06.759736,"[768, 384, 192]",[2],"[1, 2]",elu,768,16,0.5,0.001,minmax,3,decreasing,,max,False,0.0001
