number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.4625057587266778,2025-06-13 11:49:24.763264,2025-06-13 11:54:47.887173,0 days 00:05:23.123909,64,True,0.2,256,0.001,L2,3,COMPLETE
1,0.4868396380918756,2025-06-13 11:54:47.888173,2025-06-13 11:56:34.226264,0 days 00:01:46.338091,32,False,0.5,256,0.001,L2,1,COMPLETE
2,0.47031002772826813,2025-06-13 11:56:34.226264,2025-06-13 12:04:02.262337,0 days 00:07:28.036073,128,True,0.1,512,0.001,L2,2,COMPLETE
3,0.3146153842857594,2025-06-13 12:04:02.263338,2025-06-13 12:20:49.218032,0 days 00:16:46.954694,32,True,0.1,512,1e-05,L2,3,COMPLETE
4,0.48191127857497607,2025-06-13 12:20:49.219033,2025-06-13 12:25:50.851950,0 days 00:05:01.632917,32,True,0.1,256,0.0001,minmax,2,COMPLETE
5,0.2924616674418191,2025-06-13 12:25:50.852950,2025-06-13 12:27:57.539008,0 days 00:02:06.686058,64,True,0.1,256,1e-05,L2,1,COMPLETE
6,0.4247053561971327,2025-06-13 12:27:57.540008,2025-06-13 12:33:57.210645,0 days 00:05:59.670637,128,True,0.3,256,0.0001,L2,3,COMPLETE
7,0.47218131235633215,2025-06-13 12:33:57.211645,2025-06-13 12:35:19.544299,0 days 00:01:22.332654,32,False,0.1,64,0.001,L2,1,COMPLETE
8,0.21736632484892876,2025-06-13 12:35:19.545298,2025-06-13 12:45:41.961173,0 days 00:10:22.415875,32,True,0.1,512,1e-05,L2,2,COMPLETE
9,0.47421112698977286,2025-06-13 12:45:41.962174,2025-06-13 12:49:33.772692,0 days 00:03:51.810518,32,True,0.1,256,0.001,L2,2,COMPLETE
