number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.4009,2025-07-07 20:20:29.785915,2025-07-07 20:20:45.475918,0 days 00:00:15.690003,gelu,512,64,1,1,0.2,0.0001,2,L2,0.95,mean,0.0,COMPLETE
1,0.3778,2025-07-07 20:20:45.475918,2025-07-07 20:20:58.573723,0 days 00:00:13.097805,relu,128,64,1,0,0.1,0.0001,1,L2,0.95,mean,0.0,COMPLETE
2,0.2559,2025-07-07 20:20:58.573723,2025-07-07 20:21:05.648750,0 days 00:00:07.075027,elu,512,128,0,0,0.2,0.0001,1,L2,0.9,max,1e-05,COMPLETE
3,0.382,2025-07-07 20:21:05.648750,2025-07-07 20:21:15.695943,0 days 00:00:10.047193,relu,512,128,3,3,0.1,1e-05,3,L2,0.75,max,0.0001,COMPLETE
4,0.368,2025-07-07 20:21:15.695943,2025-07-07 20:22:01.256001,0 days 00:00:45.560058,tanh,128,16,2,2,0.2,0.0001,2,L2,0.8,max,1e-06,COMPLETE
5,0.3997,2025-07-07 20:22:01.256001,2025-07-07 20:22:10.997904,0 days 00:00:09.741903,selu,512,128,1,2,0.1,1e-05,2,minmax,0.95,mean,1e-06,COMPLETE
6,0.3357,2025-07-07 20:22:10.997904,2025-07-07 20:22:35.529486,0 days 00:00:24.531582,selu,128,32,0,1,0.5,0.001,3,minmax,0.8,mean,1e-05,COMPLETE
7,0.3628,2025-07-07 20:22:35.529486,2025-07-07 20:22:44.641743,0 days 00:00:09.112257,selu,256,128,2,1,0.2,0.0001,2,minmax,0.7,max,1e-06,COMPLETE
8,0.3533,2025-07-07 20:22:44.641743,2025-07-07 20:23:09.362632,0 days 00:00:24.720889,elu,256,32,1,1,0.1,0.001,2,minmax,0.9,max,1e-05,COMPLETE
9,0.3728,2025-07-07 20:23:09.362632,2025-07-07 20:23:35.869994,0 days 00:00:26.507362,tanh,256,32,1,0,0.2,1e-05,3,minmax,0.75,mean,0.0,COMPLETE
10,0.3067,2025-07-07 20:23:35.869994,2025-07-07 20:23:47.720332,0 days 00:00:11.850338,gelu,512,64,0,1,0.4,0.0001,1,L2,0.85,mean,0.0,COMPLETE
11,0.3613,2025-07-07 20:23:47.720332,2025-07-07 20:24:03.646705,0 days 00:00:15.926373,gelu,512,64,1,2,0.3,1e-05,2,minmax,0.95,mean,1e-06,COMPLETE
12,0.3817,2025-07-07 20:24:03.646705,2025-07-07 20:24:51.632850,0 days 00:00:47.986145,leakyrelu,512,16,2,2,0.3,1e-05,2,L2,0.95,mean,0.0001,COMPLETE
13,0.3577,2025-07-07 20:24:51.632850,2025-07-07 20:25:01.290834,0 days 00:00:09.657984,gelu,512,128,1,2,0.4,1e-05,2,minmax,0.95,mean,1e-06,COMPLETE
