number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.4611,2025-07-07 21:15:01.330296,2025-07-07 21:15:45.208723,0 days 00:00:43.878427,leakyrelu,256,16,0,0,0.2,0.0001,2,L2,0.85,mean,0.0,COMPLETE
1,0.4154,2025-07-07 21:15:45.208723,2025-07-07 21:15:56.148230,0 days 00:00:10.939507,gelu,512,128,2,1,0.2,0.001,3,minmax,0.9,max,1e-05,COMPLETE
2,0.4246,2025-07-07 21:15:56.148230,2025-07-07 21:16:23.456308,0 days 00:00:27.308078,leakyrelu,128,32,2,1,0.5,0.0001,2,L2,0.85,mean,0.0,COMPLETE
3,0.2174,2025-07-07 21:16:23.457365,2025-07-07 21:17:10.943254,0 days 00:00:47.485889,elu,128,16,0,2,0.4,1e-05,2,L2,0.75,mean,1e-06,COMPLETE
4,0.4281,2025-07-07 21:17:10.943254,2025-07-07 21:17:42.440542,0 days 00:00:31.497288,elu,256,32,2,0,0.3,1e-05,3,L2,0.85,mean,0.0001,COMPLETE
5,0.3867,2025-07-07 21:17:42.441541,2025-07-07 21:17:53.476998,0 days 00:00:11.035457,selu,512,128,1,2,0.4,0.0001,3,minmax,0.75,max,1e-06,COMPLETE
6,0.4235,2025-07-07 21:17:53.476998,2025-07-07 21:18:41.379586,0 days 00:00:47.902588,leakyrelu,256,16,0,2,0.1,0.001,2,minmax,0.75,max,1e-06,COMPLETE
7,0.4063,2025-07-07 21:18:41.379586,2025-07-07 21:19:11.969613,0 days 00:00:30.590027,selu,512,32,3,3,0.4,1e-05,3,minmax,0.95,mean,1e-06,COMPLETE
8,0.4227,2025-07-07 21:19:11.970614,2025-07-07 21:20:04.213181,0 days 00:00:52.242567,tanh,256,16,2,1,0.4,0.001,2,minmax,0.9,mean,1e-06,COMPLETE
9,0.3796,2025-07-07 21:20:04.214181,2025-07-07 21:20:36.602612,0 days 00:00:32.388431,tanh,128,32,3,3,0.1,0.001,3,minmax,0.8,max,1e-05,COMPLETE
10,0.3046,2025-07-07 21:20:36.603898,2025-07-07 21:20:48.862396,0 days 00:00:12.258498,relu,256,64,0,0,0.2,0.0001,1,L2,0.7,mean,0.0,COMPLETE
11,0.2174,2025-07-07 21:20:48.862396,2025-07-07 21:21:01.378026,0 days 00:00:12.515630,elu,256,64,0,0,0.3,1e-05,1,L2,0.85,mean,0.0001,COMPLETE
12,0.4009,2025-07-07 21:21:01.378026,2025-07-07 21:21:39.702963,0 days 00:00:38.324937,elu,256,16,0,0,0.3,0.0001,1,L2,0.85,mean,0.0001,COMPLETE
13,0.3823,2025-07-07 21:21:39.702963,2025-07-07 21:22:07.081593,0 days 00:00:27.378630,leakyrelu,256,32,1,0,0.3,1e-05,2,L2,0.85,mean,0.0001,COMPLETE
14,0.376,2025-07-07 21:22:07.081593,2025-07-07 21:23:04.728587,0 days 00:00:57.646994,gelu,256,16,1,0,0.2,1e-05,3,L2,0.85,mean,0.0,COMPLETE
15,0.428,2025-07-07 21:23:04.735370,2025-07-07 21:23:32.017013,0 days 00:00:27.281643,relu,256,32,1,0,0.5,0.0001,2,L2,0.7,mean,0.0001,COMPLETE
16,0.3982,2025-07-07 21:23:32.023921,2025-07-07 21:23:51.387646,0 days 00:00:19.363725,elu,256,64,2,1,0.3,1e-05,3,L2,0.95,mean,0.0,COMPLETE
17,0.2178,2025-07-07 21:23:51.387646,2025-07-07 21:23:59.076339,0 days 00:00:07.688693,leakyrelu,256,128,0,0,0.2,0.0001,1,L2,0.8,mean,0.0,COMPLETE
18,0.3163,2025-07-07 21:23:59.076339,2025-07-07 21:24:26.280285,0 days 00:00:27.203946,leakyrelu,128,32,1,0,0.3,1e-05,2,L2,0.85,max,0.0001,COMPLETE
19,0.4238,2025-07-07 21:24:26.281494,2025-07-07 21:25:15.559916,0 days 00:00:49.278422,elu,512,16,1,1,0.2,0.0001,2,L2,0.85,mean,1e-05,COMPLETE
