number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.2483,2025-07-07 19:09:25.323154,2025-07-07 19:10:01.311129,0 days 00:00:35.987975,elu,128,16,0,1,0.3,1e-05,1,minmax,0.9,max,1e-06,COMPLETE
1,0.3089,2025-07-07 19:10:01.311129,2025-07-07 19:10:37.930399,0 days 00:00:36.619270,selu,512,16,0,1,0.5,0.0001,1,L2,0.75,max,1e-05,COMPLETE
2,0.3567,2025-07-07 19:10:37.930399,2025-07-07 19:11:27.764054,0 days 00:00:49.833655,leakyrelu,128,16,2,2,0.5,0.001,2,L2,0.7,max,0.0001,COMPLETE
3,0.3549,2025-07-07 19:11:27.770793,2025-07-07 19:12:14.773332,0 days 00:00:47.002539,leakyrelu,512,16,1,0,0.2,1e-05,2,L2,0.9,mean,1e-06,COMPLETE
4,0.2489,2025-07-07 19:12:14.774333,2025-07-07 19:12:52.511867,0 days 00:00:37.737534,elu,128,16,0,1,0.1,0.0001,1,L2,0.7,max,1e-05,COMPLETE
5,0.2888,2025-07-07 19:12:52.511867,2025-07-07 19:13:30.433808,0 days 00:00:37.921941,tanh,256,16,0,1,0.4,0.0001,1,L2,0.85,max,1e-06,COMPLETE
6,0.3686,2025-07-07 19:13:30.433808,2025-07-07 19:13:53.450853,0 days 00:00:23.017045,selu,128,32,1,1,0.5,0.001,1,L2,0.7,max,0.0,COMPLETE
7,0.289,2025-07-07 19:13:53.450853,2025-07-07 19:14:02.891190,0 days 00:00:09.440337,tanh,256,128,2,1,0.5,1e-05,2,L2,0.75,max,1e-05,COMPLETE
8,0.2451,2025-07-07 19:14:02.891190,2025-07-07 19:14:11.711881,0 days 00:00:08.820691,selu,256,128,0,2,0.5,1e-05,2,minmax,0.85,max,1e-05,COMPLETE
9,0.3013,2025-07-07 19:14:11.711881,2025-07-07 19:14:21.511818,0 days 00:00:09.799937,leakyrelu,512,128,1,1,0.3,1e-05,2,minmax,0.9,mean,1e-06,COMPLETE
