number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.3458,2025-07-07 19:55:54.524516,2025-07-07 19:56:44.751354,0 days 00:00:50.226838,leakyrelu,256,16,1,1,0.4,0.001,2,L2,0.7,mean,1e-06,COMPLETE
1,0.3307,2025-07-07 19:56:44.752354,2025-07-07 19:57:01.559029,0 days 00:00:16.806675,gelu,128,64,3,0,0.4,1e-05,3,L2,0.7,max,0.0,COMPLETE
2,0.3891,2025-07-07 19:57:01.560030,2025-07-07 19:57:45.987081,0 days 00:00:44.427051,elu,128,16,1,1,0.4,1e-05,1,L2,0.8,mean,1e-06,COMPLETE
3,0.3672,2025-07-07 19:57:45.988081,2025-07-07 19:58:12.470557,0 days 00:00:26.482476,gelu,128,32,2,2,0.5,0.001,2,L2,0.7,mean,0.0001,COMPLETE
4,0.3917,2025-07-07 19:58:12.472558,2025-07-07 19:58:35.940450,0 days 00:00:23.467892,selu,256,32,1,1,0.3,1e-05,1,L2,0.95,mean,0.0001,COMPLETE
5,0.3666,2025-07-07 19:58:35.941451,2025-07-07 19:58:50.358695,0 days 00:00:14.417244,tanh,128,64,0,1,0.3,0.0001,2,minmax,0.75,mean,1e-05,COMPLETE
6,0.2921,2025-07-07 19:58:50.359696,2025-07-07 19:58:59.158532,0 days 00:00:08.798836,leakyrelu,512,128,1,1,0.4,1e-05,1,L2,0.75,max,1e-05,COMPLETE
7,0.3748,2025-07-07 19:58:59.159533,2025-07-07 19:59:22.518796,0 days 00:00:23.359263,selu,128,32,0,2,0.1,0.001,2,L2,0.8,max,0.0,COMPLETE
8,0.3802,2025-07-07 19:59:22.520798,2025-07-07 19:59:46.243004,0 days 00:00:23.722206,tanh,256,32,1,1,0.4,0.0001,1,L2,0.8,max,1e-06,COMPLETE
9,0.3497,2025-07-07 19:59:46.244004,2025-07-07 19:59:55.910996,0 days 00:00:09.666992,tanh,128,128,2,2,0.3,1e-05,2,minmax,0.9,mean,1e-06,COMPLETE
10,0.405,2025-07-07 19:59:55.911997,2025-07-07 20:00:25.587447,0 days 00:00:29.675450,selu,256,32,3,3,0.2,1e-05,3,minmax,0.95,mean,0.0001,COMPLETE
11,0.3718,2025-07-07 20:00:25.588448,2025-07-07 20:00:55.269610,0 days 00:00:29.681162,selu,256,32,3,3,0.2,1e-05,3,minmax,0.95,mean,0.0001,COMPLETE
12,0.3654,2025-07-07 20:00:55.271612,2025-07-07 20:01:25.008106,0 days 00:00:29.736494,selu,256,32,2,3,0.2,1e-05,3,minmax,0.95,mean,0.0001,COMPLETE
13,0.2439,2025-07-07 20:01:25.009106,2025-07-07 20:01:44.996100,0 days 00:00:19.986994,relu,256,32,0,0,0.3,1e-05,1,minmax,0.85,mean,0.0001,COMPLETE
14,0.3893,2025-07-07 20:01:44.997100,2025-07-07 20:02:14.680653,0 days 00:00:29.683553,selu,512,32,3,3,0.2,1e-05,3,minmax,0.95,mean,0.0001,COMPLETE
15,0.3973,2025-07-07 20:02:14.681654,2025-07-07 20:02:44.410178,0 days 00:00:29.728524,selu,256,32,2,2,0.5,0.0001,3,minmax,0.95,mean,0.0001,COMPLETE
16,0.4188,2025-07-07 20:02:44.411178,2025-07-07 20:02:55.033098,0 days 00:00:10.621920,relu,256,128,3,3,0.5,0.0001,3,minmax,0.95,mean,0.0001,COMPLETE
17,0.3782,2025-07-07 20:02:55.034099,2025-07-07 20:03:05.623909,0 days 00:00:10.589810,relu,512,128,3,3,0.5,0.0001,3,minmax,0.85,mean,0.0001,COMPLETE
18,0.4097,2025-07-07 20:03:05.624910,2025-07-07 20:03:16.124819,0 days 00:00:10.499909,relu,256,128,3,3,0.1,0.0001,3,minmax,0.9,max,0.0,COMPLETE
19,0.3991,2025-07-07 20:03:16.125819,2025-07-07 20:03:26.623537,0 days 00:00:10.497718,relu,256,128,3,3,0.1,0.0001,3,minmax,0.9,max,0.0,COMPLETE
20,0.3772,2025-07-07 20:03:26.624538,2025-07-07 20:03:37.057793,0 days 00:00:10.433255,relu,256,128,2,2,0.1,0.0001,3,minmax,0.9,max,0.0,COMPLETE
21,0.4114,2025-07-07 20:03:37.058793,2025-07-07 20:03:47.508143,0 days 00:00:10.449350,relu,256,128,3,3,0.2,0.0001,3,minmax,0.9,max,0.0,COMPLETE
22,0.3966,2025-07-07 20:03:47.509143,2025-07-07 20:03:58.031492,0 days 00:00:10.522349,relu,256,128,3,3,0.1,0.0001,3,minmax,0.9,max,0.0,COMPLETE
23,0.4027,2025-07-07 20:03:58.033492,2025-07-07 20:04:07.674939,0 days 00:00:09.641447,relu,256,128,2,2,0.5,0.0001,2,minmax,0.9,max,0.0,COMPLETE
24,0.3991,2025-07-07 20:04:07.675939,2025-07-07 20:04:18.103042,0 days 00:00:10.427103,relu,256,128,3,3,0.1,0.0001,3,minmax,0.9,max,0.0,COMPLETE
25,0.393,2025-07-07 20:04:18.104042,2025-07-07 20:04:28.545614,0 days 00:00:10.441572,elu,512,128,3,3,0.5,0.0001,3,minmax,0.9,max,0.0,COMPLETE
26,0.3941,2025-07-07 20:04:28.546614,2025-07-07 20:04:38.099325,0 days 00:00:09.552711,relu,256,128,2,0,0.2,0.0001,2,minmax,0.9,max,1e-05,COMPLETE
27,0.3793,2025-07-07 20:04:38.099325,2025-07-07 20:05:33.499118,0 days 00:00:55.399793,relu,256,16,3,3,0.1,0.0001,3,minmax,0.75,max,0.0,COMPLETE
28,0.3968,2025-07-07 20:05:33.500119,2025-07-07 20:05:50.991559,0 days 00:00:17.491440,relu,256,64,3,2,0.2,0.0001,3,minmax,0.85,max,0.0,COMPLETE
29,0.3943,2025-07-07 20:05:50.992560,2025-07-07 20:06:41.942246,0 days 00:00:50.949686,leakyrelu,256,16,1,2,0.5,0.001,2,minmax,0.9,max,1e-05,COMPLETE
