number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
0,0.3349,2025-07-07 19:30:26.432439,2025-07-07 19:31:11.479263,0 days 00:00:45.046824,gelu,512,16,0,2,0.5,0.0001,2,minmax,0.8,max,0.0001,COMPLETE
1,0.3564,2025-07-07 19:31:11.480263,2025-07-07 19:31:27.118650,0 days 00:00:15.638387,gelu,256,64,2,1,0.2,0.001,2,minmax,0.75,max,1e-06,COMPLETE
2,0.2174,2025-07-07 19:31:27.119650,2025-07-07 19:32:05.247890,0 days 00:00:38.128240,leakyrelu,512,16,0,1,0.3,1e-05,1,L2,0.75,max,1e-05,COMPLETE
3,0.3564,2025-07-07 19:32:05.247890,2025-07-07 19:32:32.112391,0 days 00:00:26.864501,relu,256,32,1,0,0.5,0.001,2,minmax,0.85,mean,0.0001,COMPLETE
4,0.3389,2025-07-07 19:32:32.113389,2025-07-07 19:32:56.740900,0 days 00:00:24.627511,relu,256,32,1,1,0.5,0.0001,1,minmax,0.95,max,0.0001,COMPLETE
5,0.3463,2025-07-07 19:32:56.741898,2025-07-07 19:33:07.639272,0 days 00:00:10.897374,tanh,128,128,1,3,0.4,0.001,3,minmax,0.8,mean,0.0001,COMPLETE
6,0.3203,2025-07-07 19:33:07.640272,2025-07-07 19:33:58.937038,0 days 00:00:51.296766,gelu,128,16,0,1,0.4,0.0001,3,L2,0.75,mean,1e-05,COMPLETE
7,0.3279,2025-07-07 19:33:58.937038,2025-07-07 19:34:30.321284,0 days 00:00:31.384246,elu,512,32,2,2,0.5,0.001,3,minmax,0.95,max,1e-06,COMPLETE
8,0.3685,2025-07-07 19:34:30.322284,2025-07-07 19:35:09.578720,0 days 00:00:39.256436,leakyrelu,256,16,0,1,0.2,0.0001,1,minmax,0.7,max,0.0001,COMPLETE
9,0.2516,2025-07-07 19:35:09.579719,2025-07-07 19:35:28.123305,0 days 00:00:18.543586,relu,128,32,0,0,0.1,0.0001,1,L2,0.7,mean,1e-05,COMPLETE
10,0.2341,2025-07-07 19:35:28.123305,2025-07-07 19:35:35.063000,0 days 00:00:06.939695,leakyrelu,256,128,0,0,0.2,1e-05,1,L2,0.7,max,0.0,COMPLETE
11,0.3382,2025-07-07 19:35:35.063000,2025-07-07 19:35:50.760959,0 days 00:00:15.697959,selu,256,64,2,1,0.2,0.001,2,minmax,0.9,max,1e-06,COMPLETE
12,0.3557,2025-07-07 19:35:50.761960,2025-07-07 19:36:06.302786,0 days 00:00:15.540826,leakyrelu,256,64,2,2,0.2,0.0001,2,minmax,0.7,max,1e-06,COMPLETE
13,0.3794,2025-07-07 19:36:06.303786,2025-07-07 19:36:19.644045,0 days 00:00:13.340259,gelu,256,64,0,1,0.2,0.001,1,minmax,0.75,max,0.0,COMPLETE
14,0.3006,2025-07-07 19:36:19.644045,2025-07-07 19:37:00.441189,0 days 00:00:40.797144,elu,256,16,0,1,0.2,1e-05,1,minmax,0.9,max,0.0,COMPLETE
15,0.3573,2025-07-07 19:37:00.442188,2025-07-07 19:37:12.700687,0 days 00:00:12.258499,selu,256,64,0,1,0.3,0.0001,1,minmax,0.85,max,0.0,COMPLETE
16,0.3623,2025-07-07 19:37:12.702340,2025-07-07 19:37:26.216732,0 days 00:00:13.514392,tanh,256,64,0,1,0.1,0.001,1,minmax,0.75,max,0.0,COMPLETE
17,0.3727,2025-07-07 19:37:26.217732,2025-07-07 19:38:02.068996,0 days 00:00:35.851264,gelu,256,16,0,0,0.2,0.001,1,minmax,0.7,max,0.0,COMPLETE
18,0.3531,2025-07-07 19:38:02.069996,2025-07-07 19:38:09.549474,0 days 00:00:07.479478,gelu,512,128,0,0,0.2,0.001,1,L2,0.75,mean,0.0,COMPLETE
19,0.3544,2025-07-07 19:38:09.550474,2025-07-07 19:38:24.532735,0 days 00:00:14.982261,gelu,128,64,1,0,0.2,0.001,2,minmax,0.7,max,0.0,COMPLETE
20,0.3571,2025-07-07 19:38:24.533735,2025-07-07 19:39:00.289539,0 days 00:00:35.755804,gelu,256,16,0,0,0.3,0.001,1,minmax,0.85,max,0.0,COMPLETE
21,0.3868,2025-07-07 19:39:00.290538,2025-07-07 19:39:37.111868,0 days 00:00:36.821330,leakyrelu,256,16,0,0,0.2,0.001,1,minmax,0.7,max,0.0001,COMPLETE
22,0.3628,2025-07-07 19:39:37.112869,2025-07-07 19:40:12.936739,0 days 00:00:35.823870,gelu,256,16,0,0,0.2,0.001,1,minmax,0.7,max,0.0,COMPLETE
23,0.3754,2025-07-07 19:40:12.937740,2025-07-07 19:40:49.780946,0 days 00:00:36.843206,leakyrelu,256,16,0,0,0.2,0.001,1,minmax,0.7,max,0.0001,COMPLETE
24,0.3811,2025-07-07 19:40:49.781946,2025-07-07 19:41:26.776752,0 days 00:00:36.994806,leakyrelu,256,16,0,0,0.2,0.001,1,minmax,0.7,max,0.0001,COMPLETE
25,0.355,2025-07-07 19:41:26.777752,2025-07-07 19:42:15.333927,0 days 00:00:48.556175,leakyrelu,256,16,1,0,0.1,0.001,2,minmax,0.8,max,0.0001,COMPLETE
26,0.233,2025-07-07 19:42:15.334928,2025-07-07 19:42:27.723025,0 days 00:00:12.388097,leakyrelu,256,64,0,0,0.2,1e-05,1,L2,0.95,mean,0.0001,COMPLETE
27,0.3685,2025-07-07 19:42:27.724025,2025-07-07 19:42:35.480178,0 days 00:00:07.756153,leakyrelu,256,128,0,0,0.4,0.001,1,minmax,0.9,max,0.0001,COMPLETE
28,0.3915,2025-07-07 19:42:35.481179,2025-07-07 19:43:25.664523,0 days 00:00:50.183344,selu,128,16,1,2,0.2,0.001,2,minmax,0.75,max,0.0001,COMPLETE
29,0.3674,2025-07-07 19:43:25.665524,2025-07-07 19:44:21.842450,0 days 00:00:56.176926,selu,128,16,3,3,0.2,0.001,3,minmax,0.8,max,0.0001,COMPLETE
