id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
39,20260112_025313,gln_phase2_LOW50.csv,50%,Preset_15,Transformer,42,"[640, 640, 896]",32,3,1024,0.1,gelu,prenorm,sinusoidal,mean,False,2e-05,1e-06,48,AdamW,,nan,256,47,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11004,2.6811,0.40909,0.31938,"[0.55814, 0.0, 0.4]",385,0.6697,1.60837,0.52273,0.46758,"[0.65217, 0.31579, 0.43478]",134,COMPLETED,120.637

40,20260112_025313,baseline_CASIAB_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14471,2.6792,0.5,0.42483,"[0.55814, 0.15385, 0.5625]",350,0.1525,2.49136,0.52273,0.43623,"[0.6087, 0.16667, 0.53333]",299,COMPLETED,92.832
41,20260112_025313,baseline_OUMVLP_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1364,1.90042,0.43182,0.42462,"[0.33333, 0.4, 0.54054]",206,0.61767,1.31937,0.54545,0.536,"[0.53659, 0.5, 0.57143]",122,COMPLETED,56.797
42,20260112_025313,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.11048,1.08408,0.36364,0.17778,"[0.0, 0.0, 0.53333]",179,1.11048,1.08408,0.36364,0.17778,"[0.0, 0.0, 0.53333]",179,STOPPED,53.606
43,20260112_025313,gaitgl_GREW_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10881,1.1995,0.5,0.35328,"[0.61538, 0.0, 0.44444]",19,0.4362,1.0418,0.59091,0.49916,"[0.63636, 0.25, 0.61111]",8,COMPLETED,5.697
44,20260112_025313,gaitgl_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,128,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11367,1.8461,0.36364,0.31813,"[0.4, 0.13333, 0.42105]",25,0.514,1.0774,0.52273,0.45034,"[0.55556, 0.25, 0.54545]",9,COMPLETED,7.343
45,20260112_025313,gaitgl_OUMVLP_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13334,2.08072,0.45455,0.41632,"[0.45161, 0.28571, 0.51163]",94,0.12613,2.31668,0.5,0.44516,"[0.44444, 0.30769, 0.58333]",88,COMPLETED,28.379
46,20260112_025313,gaitpart_GREW_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,8,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1416,2.99799,0.38636,0.28333,"[0.5, 0.0, 0.35]",627,0.74725,1.37281,0.47727,0.45425,"[0.5, 0.33333, 0.52941]",227,COMPLETED,172.753
47,20260112_025313,gaitpart_OUMVLP_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,8,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12257,3.18326,0.36364,0.31124,"[0.45455, 0.16667, 0.3125]",679,0.47995,2.06154,0.52273,0.47756,"[0.65116, 0.35294, 0.42857]",371,COMPLETED,187.703
48,20260112_025313,gaitset_GREW_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.11166,1.18749,0.36364,0.17778,"[0.0, 0.0, 0.53333]",180,1.11166,1.18749,0.36364,0.17778,"[0.0, 0.0, 0.53333]",180,STOPPED,53.667
49,20260112_025313,gaitset_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13443,2.63267,0.36364,0.29167,"[0.5, 0.125, 0.25]",255,0.70849,1.47121,0.38636,0.37285,"[0.47059, 0.26087, 0.3871]",141,COMPLETED,76.414
50,20260112_025313,gaitset_OUMVLP_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12305,1.99323,0.5,0.42944,"[0.54545, 0.14286, 0.6]",495,0.65851,1.38853,0.54545,0.49364,"[0.57895, 0.23529, 0.66667]",230,COMPLETED,148.112
51,20260112_025313,gln_phase1_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,47,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1379,1.64969,0.36364,0.27471,"[0.51163, 0.0, 0.3125]",231,0.51013,1.28691,0.52273,0.46206,"[0.68085, 0.44444, 0.26087]",144,COMPLETED,74.249
52,20260112_025313,gln_phase2_LOW50.csv,50%,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,,nan,256,47,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.136,1.30832,0.5,0.41474,"[0.59574, 0.18182, 0.46667]",195,0.61397,1.31355,0.47727,0.45707,"[0.57895, 0.44444, 0.34783]",118,COMPLETED,63.109

53,20260112_025313,baseline_CASIAB_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11588,2.76175,0.40909,0.34127,"[0.5, 0.16667, 0.35714]",2666,0.57972,1.69699,0.52273,0.45023,"[0.53659, 0.25, 0.5641]",1472,COMPLETED,284.281
