id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
43,20251224_220532,OUMVLP_concat.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10501,2.32725,0.47727,0.39549,"[0.6087, 0.13333, 0.44444]",162,0.23983,1.67521,0.61364,0.54138,"[0.58824, 0.26667, 0.76923]",136,COMPLETED,66.064
44,20251224_220532,OUMVLP_mean.csv,Preset_11,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1407,3.66698,0.29545,0.23788,"[0.35, 0.0, 0.36364]",624,0.21277,2.06418,0.52273,0.37778,"[0.6, 0.0, 0.53333]",497,COMPLETED,241.87
45,20251224_220532,GREW_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10932,2.4568,0.47727,0.39549,"[0.6087, 0.13333, 0.44444]",623,0.46867,1.90893,0.45455,0.4358,"[0.46667, 0.35294, 0.4878]",325,COMPLETED,219.186
46,20251224_220532,GREW_mean.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10945,2.89094,0.40909,0.35472,"[0.47368, 0.13333, 0.45714]",778,0.33464,2.91939,0.45455,0.43165,"[0.55556, 0.27273, 0.46667]",447,COMPLETED,263.575
47,20251224_220532,OUMVLP_concat.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.59927,1.76788,0.45455,0.40182,"[0.4878, 0.11765, 0.6]",861,0.56786,1.86319,0.54545,0.53466,"[0.45161, 0.53333, 0.61905]",730,STOPPED,310.09
48,20251224_220532,OUMVLP_mean.csv,Preset_12,Transformer,42,"[896, 896, 896]",8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.23963,1.7512,0.52273,0.43837,"[0.63415, 0.16667, 0.51429]",1692,0.20723,1.729,0.61364,0.57757,"[0.68293, 0.46154, 0.58824]",1408,STOPPED,582.324
49,20251224_220532,GREW_concat.csv,Preset_13,Transformer,42,[1024],32,1,1536,0.15,silu,prenorm,sinusoidal,max,False,3e-05,1e-06,24,AdamW,0.0,minmax,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12395,1.85596,0.43182,0.37163,"[0.47619, 0.15385, 0.48485]",108,0.13351,2.02163,0.5,0.45489,"[0.5, 0.28571, 0.57895]",107,COMPLETED,25.915
50,20251224_220532,GREW_mean.csv,Preset_13,Transformer,42,[1024],32,1,1536,0.15,silu,prenorm,sinusoidal,max,False,3e-05,1e-06,24,AdamW,0.0,minmax,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13406,2.07564,0.54545,0.51655,"[0.59091, 0.44444, 0.51429]",86,0.13406,2.07564,0.54545,0.51655,"[0.59091, 0.44444, 0.51429]",86,COMPLETED,19.24
51,20251224_220532,OUMVLP_concat.csv,Preset_13,Transformer,42,[1024],32,1,1536,0.15,silu,prenorm,sinusoidal,max,False,3e-05,1e-06,24,AdamW,0.0,minmax,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12995,3.34819,0.43182,0.32828,"[0.5, 0.0, 0.48485]",273,0.62315,1.68761,0.52273,0.43468,"[0.62222, 0.18182, 0.5]",158,COMPLETED,66.132
52,20251224_220532,OUMVLP_mean.csv,Preset_13,Transformer,42,[1024],32,1,1536,0.15,silu,prenorm,sinusoidal,max,False,3e-05,1e-06,24,AdamW,0.0,minmax,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12208,2.55583,0.52273,0.38889,"[0.5, 0.0, 0.66667]",316,0.44977,2.11417,0.54545,0.45413,"[0.52941, 0.18182, 0.65116]",219,COMPLETED,71.624
