id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
13,20260112_025313,gln_phase2_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,66,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11131,2.2039,0.5,0.4298,"[0.51163, 0.22222, 0.55556]",380,0.22002,2.31614,0.54545,0.51736,"[0.57143, 0.4, 0.58065]",270,COMPLETED,240.02

14,20260112_025313,baseline_CASIAB_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.40554,2.30615,0.38636,0.37545,"[0.42857, 0.35294, 0.34483]",1393,0.68282,1.19962,0.47727,0.48995,"[0.45714, 0.55556, 0.45714]",716,STOPPED,155.565
15,20260112_025313,baseline_OUMVLP_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.68783,2.38267,0.31818,0.31294,"[0.2069, 0.30769, 0.42424]",1837,0.68818,1.58868,0.56818,0.5273,"[0.63636, 0.35294, 0.59259]",927,STOPPED,205.644
16,20260112_025313,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13002,2.85119,0.43182,0.3744,"[0.55319, 0.25, 0.32]",1752,0.20864,2.99944,0.5,0.42283,"[0.62745, 0.30769, 0.33333]",1594,COMPLETED,240.432
17,20260112_025313,gaitgl_GREW_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14082,2.44395,0.54545,0.4588,"[0.59574, 0.2, 0.58065]",610,0.2373,2.39533,0.54545,0.46373,"[0.59574, 0.25, 0.54545]",556,COMPLETED,83.694
18,20260112_025313,gaitgl_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,128,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13915,2.49271,0.52273,0.42462,"[0.64, 0.15385, 0.48]",822,0.14227,2.5841,0.54545,0.48761,"[0.65306, 0.375, 0.43478]",779,COMPLETED,108.06
19,20260112_025313,gaitgl_OUMVLP_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.43649,2.11751,0.36364,0.31192,"[0.29412, 0.15385, 0.4878]",1656,0.53365,2.57311,0.45455,0.44352,"[0.4375, 0.36364, 0.52941]",1517,STOPPED,227.588
20,20260112_025313,gaitpart_GREW_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.75199,3.9137,0.40909,0.39178,"[0.41379, 0.3, 0.46154]",2391,0.33414,1.95134,0.59091,0.51975,"[0.67925, 0.4, 0.48]",1814,STOPPED,239.483
21,20260112_025313,gaitpart_OUMVLP_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.80205,1.42042,0.38636,0.34352,"[0.47368, 0.10526, 0.45161]",1646,0.80205,1.42042,0.38636,0.34352,"[0.47368, 0.10526, 0.45161]",1646,STOPPED,164.142
22,20260112_025313,gaitset_GREW_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1557,2.94793,0.31818,0.26667,"[0.4, 0.0, 0.4]",2641,0.74074,1.46765,0.5,0.42063,"[0.61905, 0.14286, 0.5]",660,STOPPED,375.902
23,20260112_025313,gaitset_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11959,3.21039,0.38636,0.36895,"[0.48649, 0.25, 0.37037]",2480,0.63179,1.9082,0.54545,0.4963,"[0.55556, 0.33333, 0.6]",1116,COMPLETED,353.996
24,20260112_025313,gaitset_OUMVLP_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.96882,1.32727,0.38636,0.34425,"[0.48889, 0.33333, 0.21053]",1243,0.96882,1.32727,0.38636,0.34425,"[0.48889, 0.33333, 0.21053]",1243,STOPPED,177.736
25,20260112_025313,gln_phase1_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,66,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.50539,2.70681,0.38636,0.30204,"[0.47368, 0.0, 0.43243]",1793,0.44615,2.88958,0.54545,0.45177,"[0.66667, 0.30769, 0.38095]",1188,STOPPED,340.928
26,20260112_025313,gln_phase2_LOW70.csv,70%,Preset_3,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,66,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.41485,2.49713,0.52273,0.44626,"[0.65306, 0.28571, 0.4]",1043,0.46187,1.88671,0.56818,0.5433,"[0.64, 0.54545, 0.44444]",668,STOPPED,198.273

27,20260112_025313,baseline_CASIAB_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13986,2.83059,0.43182,0.34463,"[0.58333, 0.14286, 0.30769]",538,0.74434,1.39394,0.47727,0.47391,"[0.4, 0.5, 0.52174]",167,COMPLETED,171.052
28,20260112_025313,baseline_OUMVLP_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13975,2.27485,0.45455,0.39035,"[0.42105, 0.2, 0.55]",516,0.64634,1.61725,0.56818,0.47639,"[0.62745, 0.25, 0.55172]",221,COMPLETED,164.335
29,20260112_025313,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13869,2.67486,0.29545,0.27377,"[0.22222, 0.16667, 0.43243]",791,0.17556,2.23063,0.47727,0.43298,"[0.5641, 0.25, 0.48485]",750,COMPLETED,305.661
30,20260112_025313,gaitgl_GREW_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.121,1.22089,0.45455,0.31576,"[0.57692, 0.0, 0.37037]",20,0.64988,1.09417,0.47727,0.47143,"[0.51429, 0.4, 0.5]",5,COMPLETED,7.778
31,20260112_025313,gaitgl_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,128,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12803,1.71274,0.38636,0.33567,"[0.47368, 0.13333, 0.4]",30,0.6238,1.11022,0.52273,0.49504,"[0.61905, 0.42857, 0.4375]",10,COMPLETED,11.468
32,20260112_025313,gaitgl_OUMVLP_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13363,1.75736,0.38636,0.35597,"[0.51429, 0.08696, 0.46667]",102,0.2099,1.40137,0.61364,0.50278,"[0.70833, 0.2, 0.6]",75,COMPLETED,39.488
33,20260112_025313,gaitpart_GREW_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13139,2.04963,0.52273,0.50796,"[0.59459, 0.44444, 0.48485]",740,0.15472,1.90359,0.61364,0.57227,"[0.7, 0.42857, 0.58824]",708,COMPLETED,223.842
34,20260112_025313,gaitpart_OUMVLP_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12048,2.29266,0.45455,0.3875,"[0.52381, 0.15385, 0.48485]",705,0.31881,1.71399,0.56818,0.51462,"[0.57895, 0.33333, 0.63158]",391,COMPLETED,213.55
35,20260112_025313,gaitset_GREW_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14059,2.09505,0.40909,0.35404,"[0.54545, 0.1, 0.41667]",536,0.15724,1.93783,0.52273,0.43245,"[0.625, 0.15385, 0.51852]",527,COMPLETED,197.028
36,20260112_025313,gaitset_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13519,2.4869,0.38636,0.25185,"[0.55556, 0.0, 0.2]",554,0.70777,1.72209,0.43182,0.37558,"[0.61905, 0.30769, 0.2]",267,COMPLETED,203.586
37,20260112_025313,gaitset_OUMVLP_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12602,2.54241,0.38636,0.33701,"[0.51282, 0.11111, 0.3871]",754,0.56242,1.49973,0.54545,0.49079,"[0.61111, 0.26667, 0.59459]",298,COMPLETED,277.445
38,20260112_025313,gln_phase1_LOW70.csv,70%,Preset_4,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,66,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14545,1.98014,0.36364,0.33608,"[0.54054, 0.16, 0.30769]",435,0.56189,1.42695,0.5,0.45455,"[0.47059, 0.30769, 0.58537]",240,COMPLETED,205.869
