id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
323,20251214_021804,gaitset_OUMVLP.csv,best_configs_v3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,48,AdamW,,7e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17067,3.01216,0.31818,0.22685,"[0.45833, 0.0, 0.22222]",0.45455,0.4262,"[0.51282, 0.33333, 0.43243]",247,0.69261,1.67905,970,STOPPED,268.84944
324,20251214_021804,gln_phase1.csv,best_configs_v3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,48,AdamW,,7e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14743,2.35867,0.47727,0.35,"[0.55, 0.0, 0.5]",0.56818,0.57335,"[0.60465, 0.61538, 0.5]",255,0.36918,1.72116,507,COMPLETED,203.74612
325,20251214_021804,gln_phase2.csv,best_configs_v3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,48,AdamW,,7e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14268,2.5987,0.40909,0.34758,"[0.52, 0.25, 0.27273]",0.52273,0.49716,"[0.55814, 0.4, 0.53333]",491,0.16965,2.32173,551,COMPLETED,220.8763

391,20251214_021804,baseline_CASIAB.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14533,2.75265,0.36364,0.31535,"[0.42857, 0.15385, 0.36364]",0.5,0.43832,"[0.65116, 0.25, 0.41379]",296,0.72183,1.19742,1245,COMPLETED,151.0689
392,20251214_021804,baseline_OUMVLP.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.51743,1.67643,0.40909,0.37405,"[0.3871, 0.22222, 0.51282]",0.56818,0.53468,"[0.54054, 0.44444, 0.61905]",423,0.74539,1.18966,791,STOPPED,96.11237
393,20251214_021804,gaitgl.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.2033,3.1703,0.36364,0.3557,"[0.42424, 0.3, 0.34286]",0.47727,0.44612,"[0.51613, 0.33333, 0.48889]",287,0.41898,1.9477,654,STOPPED,134.23561
394,20251214_021804,gaitgl_GREW.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14112,2.8024,0.31818,0.23737,"[0.40909, 0.0, 0.30303]",0.54545,0.45285,"[0.625, 0.18182, 0.55172]",203,0.72686,1.29413,1032,STOPPED,267.8632
395,20251214_021804,gaitgl_GREW_BNNeck.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.7009,2.12684,0.34091,0.20967,"[0.08, 0.0, 0.54902]",0.5,0.45282,"[0.57143, 0.23529, 0.55172]",999,0.52361,2.18516,1273,STOPPED,333.04212
396,20251214_021804,gaitgl_OUMVLP.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.1114,1.12351,0.15909,0.0915,"[0.0, 0.27451, 0.0]",0.15909,0.0915,"[0.0, 0.27451, 0.0]",134,1.1114,1.12351,134,STOPPED,35.1125
