number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
0,0.4463561673079727,COMPLETE,2025-11-27 03:26:25.111261,2025-11-27 03:26:35.334164,0 days 00:00:10.222903,"[768, 384]",[],[],leakyrelu,768,96,,0.0002,,L2,2,RMSprop,decreasing,0.5,max,True,1e-07
1,0.21839080459770113,PRUNED,2025-11-27 03:26:35.336176,2025-11-27 03:26:39.760003,0 days 00:00:04.423827,"[192, 192, 192, 192]","[1, 2, 3]",[2],relu,192,16,0.2,5e-05,0.9,L2,4,SGD,uniform,,max,False,1e-05
2,0.3312613312613313,PRUNED,2025-11-27 03:26:39.761009,2025-11-27 03:26:42.208427,0 days 00:00:02.447418,"[128, 256]",[],[],silu,256,48,,0.001,,minmax,2,RMSprop,increasing,,mean,False,1e-07
3,0.28833071690214546,PRUNED,2025-11-27 03:26:42.209445,2025-11-27 03:26:45.685374,0 days 00:00:03.475929,"[640, 640, 640, 640, 640, 640]","[2, 4, 5]",[3],leakyrelu,640,64,0.3,0.0005,,L2,6,RMSprop,uniform,0.5,mean,True,0.0
4,0.4450244881526089,COMPLETE,2025-11-27 03:26:45.686379,2025-11-27 03:27:25.956375,0 days 00:00:40.269996,"[160, 320, 640]","[1, 2]",[],relu,640,16,,5e-05,,L2,3,RMSprop,increasing,,max,False,1e-06
5,0.21839080459770113,PRUNED,2025-11-27 03:27:25.958380,2025-11-27 03:27:27.679252,0 days 00:00:01.720872,"[768, 768]",[],[1],relu,768,96,0.1,0.0002,,minmax,2,AdamW,uniform,,max,False,1e-06
6,0.21758419036095988,COMPLETE,2025-11-27 03:27:27.679252,2025-11-27 03:27:44.286283,0 days 00:00:16.607031,"[384, 192, 96, 64, 64, 64]",[4],"[2, 3]",elu,384,48,0.3,0.0002,0.9,minmax,6,SGD,decreasing,0.8,max,True,0.0001
7,0.4323449476628257,COMPLETE,2025-11-27 03:27:44.288797,2025-11-27 03:27:56.446362,0 days 00:00:12.157565,"[128, 64, 64]",[2],[1],gelu,128,96,0.3,0.001,,L2,3,RMSprop,decreasing,0.9,max,True,1e-07
8,0.19487179487179487,PRUNED,2025-11-27 03:27:56.448369,2025-11-27 03:28:02.217128,0 days 00:00:05.768759,"[896, 896]",[1],[],leakyrelu,896,64,,0.0002,,L2,2,RMSprop,uniform,,max,False,0.0
9,0.21839080459770113,PRUNED,2025-11-27 03:28:02.217128,2025-11-27 03:28:05.861044,0 days 00:00:03.643916,"[512, 512, 512]",[],[2],leakyrelu,512,32,0.2,0.0002,,L2,3,RMSprop,uniform,,mean,False,1e-06
10,0.23820933204498745,COMPLETE,2025-11-27 03:28:05.862048,2025-11-27 03:28:11.338639,0 days 00:00:05.476591,[768],[],[],tanh,768,128,,1e-05,,minmax,1,Adam,decreasing,0.5,mean,True,1e-07
11,0.21052631578947367,PRUNED,2025-11-27 03:28:11.340149,2025-11-27 03:28:19.586644,0 days 00:00:08.246495,"[80, 160, 320, 640]","[1, 2, 3]",[],relu,640,16,,5e-05,,L2,4,Adam,increasing,0.7,max,True,1e-06
12,0.255952380952381,PRUNED,2025-11-27 03:28:19.587650,2025-11-27 03:28:20.489349,0 days 00:00:00.901699,[1024],[],[],gelu,1024,96,,0.0001,,L2,1,AdamW,increasing,0.6,max,True,0.0001
13,0.21839080459770113,PRUNED,2025-11-27 03:28:20.489349,2025-11-27 03:28:25.575196,0 days 00:00:05.085847,"[64, 96, 192, 384, 768]","[1, 2, 3]","[1, 4]",elu,768,16,0.5,2e-05,,L2,5,RMSprop,increasing,,max,False,1e-05
14,0.21839080459770113,PRUNED,2025-11-27 03:28:25.575196,2025-11-27 03:28:28.246401,0 days 00:00:02.671205,"[640, 320, 160]",[1],[],silu,640,128,,5e-05,,L2,3,RMSprop,decreasing,,max,False,1e-06
15,0.3254483611626469,PRUNED,2025-11-27 03:28:28.247409,2025-11-27 03:28:31.776792,0 days 00:00:03.529383,"[128, 256]",[1],[],tanh,256,32,,0.0001,,L2,2,RMSprop,increasing,0.5,max,True,1e-07
16,0.21839080459770113,PRUNED,2025-11-27 03:28:31.778296,2025-11-27 03:28:32.941576,0 days 00:00:01.163280,"[128, 64, 64, 64]",[2],"[1, 3]",leakyrelu,128,96,0.4,1e-05,,L2,4,AdamW,decreasing,,max,False,1e-06
17,0.3192174913693901,PRUNED,2025-11-27 03:28:32.942582,2025-11-27 03:28:41.579320,0 days 00:00:08.636738,[896],[],[],relu,896,16,,0.0005,0.8,L2,1,SGD,increasing,0.8,max,True,1e-07
