number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
23,0.30844993365897605,COMPLETE,2025-11-24 15:08:23.319754,2025-11-24 15:10:32.447417,0 days 00:02:09.127663,"[384, 384, 384]",silu,32,512,0.1,1e-05,,L2,postnorm,8,3,RMSprop,max,learned,1e-05
24,0.22279491833030854,COMPLETE,2025-11-24 15:10:32.448590,2025-11-24 15:12:05.697030,0 days 00:01:33.248440,"[512, 512, 512, 512]",silu,64,512,0.1,1e-05,,L2,postnorm,8,4,AdamW,max,learned,1e-05
25,0.18238993710691823,PRUNED,2025-11-24 15:12:05.700213,2025-11-24 15:12:41.071531,0 days 00:00:35.371318,"[192, 192, 192]",silu,96,768,0.4,1e-05,,L2,postnorm,8,3,RMSprop,max,learned,1e-05
26,0.08888888888888889,PRUNED,2025-11-24 15:12:41.072531,2025-11-24 15:12:53.398058,0 days 00:00:12.325527,"[128, 192]",silu,48,512,0.1,1e-05,,minmax,postnorm,8,2,RMSprop,max,learned,1e-05
27,0.1761006289308176,PRUNED,2025-11-24 15:12:53.399204,2025-11-24 15:13:03.614676,0 days 00:00:10.215472,"[640, 640, 640, 640]",silu,128,384,0.1,0.001,,L2,postnorm,2,4,RMSprop,max,learned,1e-05
28,0.4311003947275555,COMPLETE,2025-11-24 15:13:03.621700,2025-11-24 15:14:30.546569,0 days 00:01:26.924869,[640],gelu,32,512,0.1,0.0002,,L2,postnorm,16,1,RMSprop,cls,learned,0.0
29,0.21758419036095988,COMPLETE,2025-11-24 15:14:30.549570,2025-11-24 15:16:00.325576,0 days 00:01:29.776006,"[640, 512]",gelu,32,768,0.2,0.0002,,L2,postnorm,16,2,Adam,cls,learned,0.0
30,0.21758419036095988,COMPLETE,2025-11-24 15:16:00.328591,2025-11-24 15:17:49.522506,0 days 00:01:49.193915,"[512, 384, 256]",prelu,32,512,0.0,0.0001,,L2,postnorm,16,3,AdamW,cls,learned,0.0
31,0.21637426900584797,PRUNED,2025-11-24 15:17:49.525533,2025-11-24 15:18:56.114506,0 days 00:01:06.588973,[768],gelu,32,512,0.1,0.0002,,L2,postnorm,16,1,RMSprop,cls,learned,0.0
32,0.1761006289308176,PRUNED,2025-11-24 15:18:56.114506,2025-11-24 15:19:07.193208,0 days 00:00:11.078702,[640],mish,96,512,0.1,5e-05,,L2,postnorm,16,1,RMSprop,cls,learned,0.0
33,0.4402252043343756,COMPLETE,2025-11-24 15:19:07.193208,2025-11-24 15:21:26.003463,0 days 00:02:18.810255,[768],gelu,16,128,0.1,0.0002,,L2,postnorm,16,1,RMSprop,max,learned,0.0
