number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.4265,2025-08-06 15:09:01.649221,2025-08-06 15:09:14.659266,0 days 00:00:13.010045,leakyrelu,256,64,0,0.4,0.001,3,minmax,0,,mean,False,1e-06,0.004024264984764159,COMPLETE,0.004024264984764159
1,0.3024,2025-08-06 15:09:14.660266,2025-08-06 15:09:21.979448,0 days 00:00:07.319182,tanh,512,128,0,0.3,0.0001,1,L2,0,0.75,mean,True,1e-05,2.8583062291145325,COMPLETE,2.8583062291145325
2,0.3485,2025-08-06 15:09:21.979448,2025-08-06 15:09:44.548479,0 days 00:00:22.569031,elu,128,32,2,0.3,1e-05,3,minmax,3,0.7,mean,True,0.0,10.2407585978508,COMPLETE,10.2407585978508
3,0.3071,2025-08-06 15:09:44.549479,2025-08-06 15:09:51.912485,0 days 00:00:07.363006,elu,512,128,0,0.2,0.0001,1,L2,0,0.8,mean,True,1e-06,2.822405219078064,COMPLETE,2.822405219078064
4,0.3863,2025-08-06 15:09:51.914126,2025-08-06 15:10:29.514791,0 days 00:00:37.600665,relu,256,16,1,0.2,0.0001,2,L2,0,0.95,max,True,1e-06,13.277851611375809,COMPLETE,13.277851611375809
5,0.3833,2025-08-06 15:10:29.515136,2025-08-06 15:10:51.878066,0 days 00:00:22.362930,elu,512,32,0,0.2,0.001,3,L2,1,,max,False,0.0,7.370156228542328,COMPLETE,7.370156228542328
6,0.3757,2025-08-06 15:10:51.879222,2025-08-06 15:10:59.661473,0 days 00:00:07.782251,elu,128,128,2,0.1,0.0001,2,minmax,0,0.8,mean,True,1e-06,2.4091842770576477,COMPLETE,2.4091842770576477
7,0.398,2025-08-06 15:10:59.661473,2025-08-06 15:11:37.468637,0 days 00:00:37.807164,gelu,128,16,1,0.2,0.001,2,L2,0,0.75,max,True,1e-06,17.376842081546783,COMPLETE,17.376842081546783
8,0.4378,2025-08-06 15:11:37.468637,2025-08-06 15:11:59.488750,0 days 00:00:22.020113,elu,512,32,1,0.4,0.0001,2,L2,1,,mean,False,0.0001,0.6024916544556618,COMPLETE,0.6024916544556618
9,0.3861,2025-08-06 15:11:59.488750,2025-08-06 15:12:22.061304,0 days 00:00:22.572554,elu,256,32,2,0.1,0.0001,3,L2,0,0.9,max,True,1e-05,7.9728211760520935,COMPLETE,7.9728211760520935
10,0.3176,2025-08-06 15:12:22.062304,2025-08-06 15:12:34.546352,0 days 00:00:12.484048,tanh,512,64,1,0.4,1e-05,1,minmax,1,,mean,False,0.0001,5.141210615634918,COMPLETE,5.141210615634918
11,0.461,2025-08-06 15:12:34.546352,2025-08-06 15:12:47.930144,0 days 00:00:13.383792,leakyrelu,256,64,0,0.4,0.001,2,minmax,2,,mean,False,0.0001,0.0030414739158004522,COMPLETE,0.0030414739158004522
12,0.4102,2025-08-06 15:12:47.930144,2025-08-06 15:13:01.973788,0 days 00:00:14.043644,leakyrelu,256,64,1,0.5,0.001,2,minmax,2,,mean,False,0.0001,5.1772249937057495,COMPLETE,5.1772249937057495
