number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
36,0.4417265237989043,COMPLETE,2025-10-08 22:42:57.434219,2025-10-08 22:45:42.251958,0 days 00:02:44.817739,relu,64,8.0,,decreasing,2,3.0,linear,,3.0,0.2,False,False,,,,,64.0,7,False,True,,,,,0.0001,,minmax,2,Adam,last,True,2e-06,False,"[768, 640]","[3, 6]","[False, False]",0.2,"[False, True]"
37,0.41920540252062527,COMPLETE,2025-10-08 22:45:42.254365,2025-10-08 22:48:38.397072,0 days 00:02:56.142707,relu,64,8.0,,decreasing,3,3.0,linear,,3.0,0.3,False,False,,,,,64.0,7,False,True,,,,,0.0001,,minmax,2,Adam,last,True,2e-06,True,"[768, 640]","[3, 6]","[False, False]",0.3,"[False, True]"
38,0.22379742009977613,COMPLETE,2025-10-08 22:48:38.401179,2025-10-08 22:48:55.336524,0 days 00:00:16.935345,relu,64,,4.0,uniform,2,3.0,linear,,3.0,0.2,False,,,,,,64.0,7,False,,,,,,0.0001,0.0,minmax,1,SGD,last,True,2e-06,False,[256],[3],[False],0.2,[False]
39,0.40426612057739625,COMPLETE,2025-10-08 22:48:55.338523,2025-10-08 22:50:36.290077,0 days 00:01:40.951554,relu,64,7.0,,decreasing,2,3.0,linear,,3.0,0.3,True,False,,,,,64.0,7,False,True,,,,,0.0001,,minmax,2,Adam,last,True,2e-06,False,"[640, 512]","[3, 6]","[True, False]",0.3,"[False, True]"
40,0.41634761513214724,COMPLETE,2025-10-08 22:50:36.292098,2025-10-08 22:51:28.948352,0 days 00:00:52.656254,hardswish,64,8.0,,decreasing,2,3.0,linear,,3.0,0.2,False,,,,,,,5,False,,,,,,0.0001,,minmax,1,Adam,last,True,2e-06,True,[768],[3],[False],0.2,[False]
41,0.21759048895761182,COMPLETE,2025-10-08 22:51:28.948352,2025-10-08 22:56:01.298189,0 days 00:04:32.349837,relu,32,9.0,,decreasing,2,3.0,linear,,2.0,0.2,False,False,False,,,,64.0,7,False,True,False,,,,0.002,,minmax,3,Adam,attention,True,2e-06,False,"[896, 768, 640]","[3, 5, 7]","[False, False, False]",0.2,"[False, True, False]"
42,0.178030303030303,PRUNED,2025-10-08 22:56:01.300190,2025-10-08 22:58:25.960289,0 days 00:02:24.660099,gelu,64,9.0,,decreasing,2,3.0,linear,,3.0,0.2,False,False,,,,,64.0,9,False,True,,,,,0.0005,,minmax,2,Adam,mean,False,1e-05,False,"[896, 768]","[3, 6]","[False, False]",0.2,"[False, True]"
43,0.21875,PRUNED,2025-10-08 22:58:25.961300,2025-10-08 22:59:13.870686,0 days 00:00:47.909386,silu,64,8.0,,decreasing,2,3.0,linear,,3.0,0.2,False,False,,,,,512.0,7,False,True,,,,,0.0001,,minmax,2,Adam,max,True,1e-07,False,"[768, 640]","[3, 6]","[False, False]",0.2,"[False, True]"
44,0.4494125203440302,COMPLETE,2025-10-08 22:59:13.872189,2025-10-08 23:02:12.920034,0 days 00:02:59.047845,leakyrelu,96,9.0,,decreasing,2,3.0,linear,,3.0,0.3,False,False,False,,,,64.0,2,False,True,True,,,,1e-05,,minmax,3,Adam,attention,False,2e-06,False,"[896, 768, 640]","[3, 6, 9]","[False, False, False]",0.3,"[False, True, True]"
45,0.21640488656195464,PRUNED,2025-10-08 23:02:12.922082,2025-10-08 23:02:58.244490,0 days 00:00:45.322408,leakyrelu,96,9.0,,decreasing,2,3.0,linear,,3.0,0.3,False,False,,,,,64.0,2,False,True,,,,,1e-05,,minmax,2,Adam,attention,False,2e-06,False,"[896, 768]","[3, 6]","[False, False]",0.3,"[False, True]"
46,0.08558558558558559,PRUNED,2025-10-08 23:02:58.246761,2025-10-08 23:03:20.335432,0 days 00:00:22.088671,leakyrelu,96,6.0,,increasing,2,3.0,linear,,3.0,0.3,False,False,False,,,,64.0,2,False,True,True,,,,1e-05,0.9,minmax,3,SGD,attention,False,2e-06,False,"[512, 640, 768]","[3, 6, 9]","[False, False, False]",0.3,"[False, True, True]"
47,0.30929196237002804,PRUNED,2025-10-08 23:03:20.336433,2025-10-08 23:04:10.598704,0 days 00:00:50.262271,leakyrelu,96,8.0,,decreasing,2,3.0,linear,,3.0,0.3,True,False,False,,,,64.0,2,False,True,True,,,,1e-05,,minmax,3,Adam,attention,True,2e-06,False,"[768, 640, 512]","[3, 6, 9]","[True, False, False]",0.3,"[False, True, True]"
48,0.21640488656195464,PRUNED,2025-10-08 23:04:10.600704,2025-10-08 23:04:45.592326,0 days 00:00:34.991622,mish,96,8.0,,decreasing,2,3.0,linear,,2.0,0.3,False,False,,,,,64.0,2,False,True,,,,,0.001,,minmax,2,Adam,attention,False,2e-06,True,"[768, 640]","[3, 5]","[False, False]",0.3,"[False, True]"
49,0.43871866400004245,COMPLETE,2025-10-08 23:04:45.592830,2025-10-08 23:05:27.113648,0 days 00:00:41.520818,relu,64,,4.0,uniform,3,3.0,linear,,3.0,0.3,False,False,,,,,,7,False,True,,,,,0.0001,,minmax,2,Adam,last,False,2e-06,False,"[256, 256]","[3, 6]","[False, False]",0.3,"[False, True]"
