number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-09 02:57:06.751044,2025-10-09 02:58:41.833185,0 days 00:01:35.082141,prelu,96,7.0,,decreasing,2,1.0,linear,,1.0,0.2,False,False,False,True,,,512.0,5,True,False,True,False,,,0.002,,L2,4,AdamW,mean,True,1e-06,True,"[640, 512, 384, 256]","[1, 2, 3, 4]","[False, False, False, True]",0.2,"[True, False, True, False]"
1,0.27156594449032684,COMPLETE,2025-10-09 02:58:41.836224,2025-10-09 02:58:57.175953,0 days 00:00:15.339729,relu,128,,0.0,uniform,3,2.0,linear,,2.0,0.1,False,True,,,,,,9,True,True,,,,,0.0002,0.5,minmax,2,SGD,last,True,1e-05,False,"[64, 64]","[2, 4]","[False, True]",0.1,"[True, True]"
2,0.21403508771929824,PRUNED,2025-10-09 02:58:57.177971,2025-10-09 03:00:07.914754,0 days 00:01:10.736783,hardswish,16,9.0,,decreasing,2,2.0,linear,,1.0,0.1,False,False,False,,,,128.0,5,False,False,False,,,,0.002,,L2,3,Adam,max,False,2e-06,False,"[896, 768, 640]","[2, 3, 4]","[False, False, False]",0.1,"[False, False, False]"
3,0.21759048895761182,COMPLETE,2025-10-09 03:00:07.915760,2025-10-09 03:06:16.606028,0 days 00:06:08.690268,silu,32,8.0,,decreasing,3,3.0,linear,,1.0,0.2,False,False,True,,,,512.0,9,False,True,True,,,,0.0001,,minmax,3,Adam,attention,False,2e-06,True,"[768, 640, 512]","[3, 4, 5]","[False, False, True]",0.2,"[False, True, True]"
4,0.426157177674757,COMPLETE,2025-10-09 03:06:16.608047,2025-10-09 03:13:01.751370,0 days 00:06:45.143323,silu,128,9.0,,decreasing,2,,pow2,2.0,,0.2,False,True,False,,,,512.0,9,True,False,False,,,,1e-05,,L2,3,Adam,max,False,1e-06,False,"[896, 768, 640]","[2, 4, 8]","[False, True, False]",0.2,"[True, False, False]"
5,0.29268603964946366,COMPLETE,2025-10-09 03:13:01.753376,2025-10-09 03:14:12.375635,0 days 00:01:10.622259,elu,16,6.0,,decreasing,2,3.0,linear,,1.0,0.2,False,True,True,,,,128.0,3,False,True,True,,,,1e-05,,minmax,3,AdamW,max,False,5e-07,False,"[512, 384, 256]","[3, 4, 5]","[False, True, True]",0.2,"[False, True, True]"
6,0.21640488656195464,PRUNED,2025-10-09 03:14:12.377635,2025-10-09 03:15:13.415459,0 days 00:01:01.037824,gelu,64,8.0,,decreasing,2,1.0,linear,,3.0,0.3,True,True,False,False,False,,128.0,2,False,True,True,False,False,,0.0001,,minmax,5,AdamW,mean,True,1e-06,True,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[True, True, False, False, False]",0.3,"[False, True, True, False, False]"
7,0.178030303030303,PRUNED,2025-10-09 03:15:13.417481,2025-10-09 03:15:20.243780,0 days 00:00:06.826299,gelu,96,5.0,,decreasing,1,3.0,linear,,3.0,0.0,False,False,,,,,128.0,3,False,False,,,,,0.0001,0.7000000000000001,minmax,2,SGD,attention,False,1e-05,True,"[384, 256]","[3, 6]","[False, False]",0.0,"[False, False]"
8,0.21759048895761182,COMPLETE,2025-10-09 03:15:20.244786,2025-10-09 03:16:56.259993,0 days 00:01:36.015207,gelu,64,3.0,,increasing,2,,pow2,2.0,,0.2,True,True,False,False,True,,128.0,5,False,True,True,True,False,,0.0005,,minmax,5,AdamW,mean,True,0.0,True,"[192, 256, 384, 512, 640]","[2, 4, 8, 16, 32]","[True, True, False, False, True]",0.2,"[False, True, True, True, False]"
9,0.21759048895761182,COMPLETE,2025-10-09 03:16:56.262007,2025-10-09 03:18:09.221788,0 days 00:01:12.959781,silu,32,0.0,,increasing,2,,pow2,1.0,,0.2,False,True,True,True,False,False,,9,True,True,True,True,False,True,0.0005,,minmax,6,RMSprop,attention,False,1e-07,False,"[64, 96, 128, 192, 256, 384]","[1, 2, 4, 8, 16, 32]","[False, True, True, True, False, False]",0.2,"[True, True, True, True, False, True]"
