number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-09 05:48:30.232124,2025-10-09 05:48:51.040422,0 days 00:00:20.808298,silu,128,,0.0,uniform,2,2.0,linear,,1.0,0.2,True,True,,,,,128.0,7,False,False,,,,,0.001,,minmax,2,Adam,mean,False,1e-06,True,"[64, 64]","[2, 3]","[True, True]",0.2,"[False, False]"
1,0.21759048895761182,COMPLETE,2025-10-09 05:48:51.042439,2025-10-09 05:55:38.183995,0 days 00:06:47.141556,elu,96,5.0,,increasing,3,,pow2,2.0,,0.3,True,True,False,False,True,,256.0,5,True,True,True,True,True,,1e-05,,minmax,5,RMSprop,attention,False,2e-06,True,"[384, 512, 640, 768, 896]","[2, 4, 8, 16, 32]","[True, True, False, False, True]",0.3,"[True, True, True, True, True]"
2,0.4005200793748582,COMPLETE,2025-10-09 05:55:38.186522,2025-10-09 05:56:02.160077,0 days 00:00:23.973555,gelu,128,0.0,,increasing,2,2.0,linear,,1.0,0.3,False,False,,,,,512.0,3,True,False,,,,,0.0002,,L2,2,Adam,last,True,5e-07,True,"[64, 96]","[2, 3]","[False, False]",0.3,"[True, False]"
3,0.21759048895761182,COMPLETE,2025-10-09 05:56:02.162078,2025-10-09 05:57:05.157225,0 days 00:01:02.995147,prelu,16,0.0,,increasing,1,,pow2,1.0,,0.1,False,False,False,True,True,,256.0,2,True,True,True,True,False,,0.0005,0.5,L2,5,SGD,attention,False,2e-07,False,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[False, False, False, True, True]",0.1,"[True, True, True, True, False]"
4,0.2996041641401285,COMPLETE,2025-10-09 05:57:05.159248,2025-10-09 05:58:25.769790,0 days 00:01:20.610542,elu,128,,5.0,uniform,2,,pow2,2.0,,0.2,False,True,False,True,,,512.0,3,True,True,True,True,,,1e-05,,L2,4,AdamW,mean,True,0.0,False,"[384, 384, 384, 384]","[2, 4, 8, 16]","[False, True, False, True]",0.2,"[True, True, True, True]"
5,0.17702448210922786,PRUNED,2025-10-09 05:58:25.771790,2025-10-09 05:58:35.779574,0 days 00:00:10.007784,hardswish,128,4.0,,decreasing,3,3.0,linear,,3.0,0.0,True,True,False,False,False,,256.0,3,False,True,False,True,False,,0.0005,,minmax,5,Adam,attention,False,1e-06,False,"[256, 192, 128, 96, 64]","[3, 6, 9, 12, 15]","[True, True, False, False, False]",0.0,"[False, True, False, True, False]"
6,0.178030303030303,PRUNED,2025-10-09 05:58:35.781584,2025-10-09 05:58:45.779910,0 days 00:00:09.998326,silu,64,,0.0,uniform,1,2.0,linear,,3.0,0.3,True,True,True,,,,512.0,3,True,False,True,,,,0.0002,,minmax,3,RMSprop,max,True,5e-07,True,"[64, 64, 64]","[2, 5, 8]","[True, True, True]",0.3,"[True, False, True]"
7,0.178030303030303,PRUNED,2025-10-09 05:58:45.781931,2025-10-09 05:59:06.108120,0 days 00:00:20.326189,prelu,64,,4.0,uniform,2,3.0,linear,,2.0,0.2,False,True,False,False,,,128.0,5,True,True,True,False,,,0.002,0.0,minmax,4,SGD,last,True,0.0,True,"[256, 256, 256, 256]","[3, 5, 7, 9]","[False, True, False, False]",0.2,"[True, True, True, False]"
8,0.21759048895761182,COMPLETE,2025-10-09 05:59:06.110129,2025-10-09 05:59:44.159680,0 days 00:00:38.049551,mish,64,,3.0,uniform,3,,pow2,1.0,,0.3,False,False,True,,,,512.0,3,True,False,True,,,,0.002,0.7000000000000001,L2,3,SGD,mean,False,2e-07,True,"[192, 192, 192]","[1, 2, 4]","[False, False, True]",0.3,"[True, False, True]"
9,0.178030303030303,PRUNED,2025-10-09 05:59:44.161696,2025-10-09 06:00:21.469748,0 days 00:00:37.308052,hardswish,32,7.0,,decreasing,1,,pow2,1.0,,0.2,True,False,True,True,True,,64.0,5,False,True,False,False,False,,0.002,0.2,L2,5,SGD,max,True,2e-07,False,"[640, 512, 384, 256, 192]","[1, 2, 4, 8, 16]","[True, False, True, True, True]",0.2,"[False, True, False, False, False]"
