number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-08 20:55:24.035252,2025-10-08 20:56:06.080616,0 days 00:00:42.045364,leakyrelu,16,,1.0,uniform,3,,pow2,1.0,,0.1,True,False,True,,,,64.0,3,False,False,True,,,,0.0001,0.1,L2,3,SGD,attention,False,0.0,False,"[96, 96, 96]","[1, 2, 4]","[True, False, True]",0.1,"[False, False, True]"
1,0.21759048895761182,COMPLETE,2025-10-08 20:56:06.082747,2025-10-08 20:56:35.915986,0 days 00:00:29.833239,leakyrelu,64,2.0,,increasing,1,2.0,linear,,1.0,0.3,True,False,False,True,True,,64.0,9,True,False,False,True,False,,0.0005,,L2,5,AdamW,attention,True,2e-07,False,"[128, 192, 256, 384, 512]","[2, 3, 4, 5, 6]","[True, False, False, True, True]",0.3,"[True, False, False, True, False]"
2,0.4212527789724589,COMPLETE,2025-10-08 20:56:35.916717,2025-10-08 20:56:56.554754,0 days 00:00:20.638037,hardswish,128,6.0,,increasing,1,2.0,linear,,2.0,0.0,False,False,,,,,128.0,2,True,False,,,,,0.0005,,L2,2,AdamW,max,True,2e-06,False,"[512, 640]","[2, 4]","[False, False]",0.0,"[True, False]"
3,0.3661939465407542,COMPLETE,2025-10-08 20:56:56.556907,2025-10-08 20:57:54.646942,0 days 00:00:58.090035,prelu,64,8.0,,increasing,2,2.0,linear,,2.0,0.0,True,False,,,,,,3,False,True,,,,,0.001,0.0,minmax,2,SGD,max,True,2e-06,False,"[768, 896]","[2, 4]","[True, False]",0.0,"[False, True]"
4,0.21640488656195464,PRUNED,2025-10-08 20:57:54.648951,2025-10-08 20:58:03.361073,0 days 00:00:08.712122,mish,96,6.0,,increasing,2,,pow2,2.0,,0.2,True,,,,,,64.0,3,True,,,,,,0.0001,0.5,minmax,1,SGD,max,True,2e-06,True,[512],[2],[True],0.2,[True]
5,0.21759048895761182,COMPLETE,2025-10-08 20:58:03.362075,2025-10-08 20:59:10.344494,0 days 00:01:06.982419,gelu,96,,9.0,uniform,1,3.0,linear,,1.0,0.3,False,False,True,,,,512.0,7,False,False,True,,,,0.0005,,minmax,3,Adam,max,True,2e-06,False,"[896, 896, 896]","[3, 4, 5]","[False, False, True]",0.3,"[False, False, True]"
6,0.08558558558558559,PRUNED,2025-10-08 20:59:10.346506,2025-10-08 20:59:24.061315,0 days 00:00:13.714809,leakyrelu,32,8.0,,increasing,2,,pow2,2.0,,0.3,False,,,,,,128.0,7,False,,,,,,0.0001,0.5,L2,1,SGD,last,False,2e-06,True,[768],[2],[False],0.3,[False]
7,0.22089947089947093,PRUNED,2025-10-08 20:59:24.061696,2025-10-08 21:01:32.372963,0 days 00:02:08.311267,mish,64,,8.0,uniform,3,,pow2,1.0,,0.2,False,False,True,False,True,True,256.0,7,True,False,False,True,False,True,1e-05,,minmax,6,RMSprop,attention,True,2e-07,False,"[768, 768, 768, 768, 768, 768]","[1, 2, 4, 8, 16, 32]","[False, False, True, False, True, True]",0.2,"[True, False, False, True, False, True]"
8,0.21759048895761182,COMPLETE,2025-10-08 21:01:32.373967,2025-10-08 21:01:45.477113,0 days 00:00:13.103146,hardswish,96,,1.0,uniform,2,,pow2,1.0,,0.2,False,True,True,True,,,512.0,2,True,False,True,False,,,0.0002,,minmax,4,RMSprop,attention,False,2e-07,False,"[96, 96, 96, 96]","[1, 2, 4, 8]","[False, True, True, True]",0.2,"[True, False, True, False]"
9,0.3544140418232387,COMPLETE,2025-10-08 21:01:45.477113,2025-10-08 21:02:40.491475,0 days 00:00:55.014362,prelu,16,,1.0,uniform,1,,pow2,2.0,,0.1,False,False,True,True,True,False,,9,True,False,True,False,False,False,0.0005,0.2,minmax,6,SGD,last,True,5e-07,False,"[96, 96, 96, 96, 96, 96]","[2, 4, 8, 16, 32, 64]","[False, False, True, True, True, False]",0.1,"[True, False, True, False, False, False]"
10,0.21761658031088082,PRUNED,2025-10-08 21:02:40.493565,2025-10-08 21:02:44.663837,0 days 00:00:04.170272,elu,128,3.0,,decreasing,1,1.0,linear,,3.0,0.0,False,True,,,,,128.0,2,True,True,,,,,0.002,,L2,2,AdamW,mean,False,1e-05,True,"[192, 128]","[1, 4]","[False, True]",0.0,"[True, True]"
11,0.21759048895761182,COMPLETE,2025-10-08 21:02:44.664864,2025-10-08 21:03:39.045871,0 days 00:00:54.381007,relu,128,8.0,,increasing,2,2.0,linear,,2.0,0.0,True,False,,,,,,5,False,True,,,,,0.001,,L2,2,AdamW,max,True,1e-07,False,"[768, 896]","[2, 4]","[True, False]",0.0,"[False, True]"
12,0.278692025408905,COMPLETE,2025-10-08 21:03:39.047926,2025-10-08 21:04:08.384803,0 days 00:00:29.336877,prelu,128,5.0,,increasing,3,2.0,linear,,2.0,0.0,True,False,,,,,128.0,2,False,True,,,,,0.001,,L2,2,Adam,max,True,1e-06,False,"[384, 512]","[2, 4]","[True, False]",0.0,"[False, True]"
13,0.178030303030303,PRUNED,2025-10-08 21:04:08.385877,2025-10-08 21:04:25.201690,0 days 00:00:16.815813,hardswish,64,9.0,,decreasing,1,3.0,linear,,3.0,0.1,True,True,False,False,,,,3,False,True,False,False,,,0.001,,minmax,4,AdamW,max,True,2e-06,False,"[896, 768, 640, 512]","[3, 6, 9, 12]","[True, True, False, False]",0.1,"[False, True, False, False]"
14,0.21875,PRUNED,2025-10-08 21:04:25.202690,2025-10-08 21:04:39.962220,0 days 00:00:14.759530,silu,32,6.0,,increasing,2,1.0,linear,,2.0,0.0,False,False,,,,,256.0,5,True,True,,,,,0.002,0.9,minmax,2,SGD,mean,True,2e-06,True,"[512, 640]","[1, 3]","[False, False]",0.0,"[True, True]"
15,0.21759048895761182,COMPLETE,2025-10-08 21:04:39.963240,2025-10-08 21:04:49.929470,0 days 00:00:09.966230,prelu,128,7.0,,increasing,1,2.0,linear,,2.0,0.1,True,,,,,,128.0,2,False,,,,,,1e-05,,L2,1,AdamW,max,True,5e-07,False,[640],[2],[True],0.1,[False]
16,0.37271707104904367,COMPLETE,2025-10-08 21:04:49.931476,2025-10-08 21:05:14.777937,0 days 00:00:24.846461,hardswish,64,4.0,,decreasing,3,3.0,linear,,3.0,0.0,True,False,False,,,,,3,True,True,False,,,,0.0002,,minmax,3,RMSprop,max,True,0.0,False,"[256, 192, 128]","[3, 6, 9]","[True, False, False]",0.0,"[True, True, False]"
17,0.43409913387214444,COMPLETE,2025-10-08 21:05:14.779936,2025-10-08 21:05:37.940623,0 days 00:00:23.160687,hardswish,64,4.0,,decreasing,3,3.0,linear,,3.0,0.0,False,True,False,,,,128.0,2,True,False,False,,,,0.0002,,L2,3,RMSprop,max,True,0.0,False,"[256, 192, 128]","[3, 6, 9]","[False, True, False]",0.0,"[True, False, False]"
18,0.21875,PRUNED,2025-10-08 21:05:37.942703,2025-10-08 21:05:44.927053,0 days 00:00:06.984350,hardswish,128,5.0,,decreasing,3,3.0,linear,,3.0,0.1,False,True,False,False,,,128.0,2,True,False,False,True,,,0.0002,,L2,4,RMSprop,mean,False,0.0,True,"[384, 256, 192, 128]","[3, 6, 9, 12]","[False, True, False, False]",0.1,"[True, False, False, True]"
19,0.178030303030303,PRUNED,2025-10-08 21:05:44.927053,2025-10-08 21:05:54.710345,0 days 00:00:09.783292,hardswish,32,4.0,,decreasing,2,1.0,linear,,1.0,0.0,False,True,False,,,,128.0,2,True,False,False,,,,0.0005,,L2,3,RMSprop,last,True,1e-07,False,"[256, 192, 128]","[1, 2, 3]","[False, True, False]",0.0,"[True, False, False]"
20,0.359374742146817,COMPLETE,2025-10-08 21:05:54.711345,2025-10-08 21:07:26.557292,0 days 00:01:31.845947,gelu,16,5.0,,decreasing,3,3.0,linear,,3.0,0.1,False,True,False,False,False,,128.0,2,True,False,False,False,True,,0.0002,,L2,5,Adam,max,True,1e-05,False,"[384, 256, 192, 128, 96]","[3, 6, 9, 12, 15]","[False, True, False, False, False]",0.1,"[True, False, False, False, True]"
