number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
18,0.4308958315484489,COMPLETE,2025-10-09 06:07:37.546417,2025-10-09 06:08:35.912362,0 days 00:00:58.365945,[96],[2],[],[],0.0,mish,16,increasing,2,linear,,2,0.0002,,L2,1,AdamW,max,True,1e-05,False
19,0.2164048865619546,PRUNED,2025-10-09 06:08:35.915509,2025-10-09 06:09:11.860870,0 days 00:00:35.945361,"[96, 128, 192]","[1, 2, 3]",[],[2],0.0,relu,16,increasing,1,linear,,9,0.0002,,L2,3,RMSprop,last,True,1e-07,True
20,0.4414961816903403,COMPLETE,2025-10-09 06:09:11.861870,2025-10-09 06:10:24.422214,0 days 00:01:12.560344,[384],[2],[],[],0.1,leakyrelu,16,decreasing,2,linear,,9,0.0002,,L2,1,Adam,last,True,5e-07,True
21,0.2164048865619546,PRUNED,2025-10-09 06:10:24.424215,2025-10-09 06:10:47.434655,0 days 00:00:23.010440,[192],[1],[],[],0.1,gelu,16,increasing,1,linear,,9,0.0002,,L2,1,AdamW,last,True,1e-05,True
22,0.4527652205232789,COMPLETE,2025-10-09 06:10:47.436159,2025-10-09 06:11:29.686161,0 days 00:00:42.250002,"[128, 192]","[1, 2]",[1],[1],0.0,gelu,16,increasing,1,linear,,9,0.0002,,L2,2,AdamW,last,True,1e-05,True
23,0.21875,PRUNED,2025-10-09 06:11:29.688179,2025-10-09 06:11:43.898482,0 days 00:00:14.210303,"[96, 128]","[1, 2]",[1],[1],0.0,gelu,16,increasing,1,linear,,9,0.0002,,L2,2,AdamW,last,True,1e-05,True
24,0.4619512206941022,COMPLETE,2025-10-09 06:11:43.899488,2025-10-09 06:12:26.430356,0 days 00:00:42.530868,"[192, 256]","[1, 2]",[1],[1],0.0,gelu,16,increasing,1,linear,,9,0.0002,,L2,2,AdamW,last,True,1e-05,True
25,0.2164048865619546,PRUNED,2025-10-09 06:12:26.432357,2025-10-09 06:12:50.916144,0 days 00:00:24.483787,[256],[1],[],[],0.0,gelu,96,increasing,2,linear,128.0,9,0.0005,,L2,1,Adam,last,True,1e-07,True
26,0.2175904889576118,COMPLETE,2025-10-09 06:12:50.918174,2025-10-09 06:13:26.874601,0 days 00:00:35.956427,"[192, 256]","[2, 4]",[1],"[0, 1]",0.0,gelu,32,increasing,3,pow2,64.0,2,0.001,,minmax,2,AdamW,mean,False,1e-06,False
27,0.2164048865619546,PRUNED,2025-10-09 06:13:26.876106,2025-10-09 06:14:13.646738,0 days 00:00:46.770632,"[96, 128, 192]","[2, 4, 6]",[1],[1],0.1,gelu,16,increasing,2,linear,,7,0.0001,,L2,3,RMSprop,attention,True,5e-07,True
28,0.2300103287388254,PRUNED,2025-10-09 06:14:13.648761,2025-10-09 06:14:36.126609,0 days 00:00:22.477848,[512],[1],[],[],0.0,prelu,16,decreasing,1,linear,,9,1e-05,,L2,1,Adam,max,True,2e-06,True
