number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2803481577577041,COMPLETE,2025-10-08 23:05:29.107852,2025-10-08 23:06:12.311241,0 days 00:00:43.203389,"[512, 512]","[2, 5]",[0],[0],0.0,elu,96,uniform,2,linear,64.0,3,0.0005,,L2,2,RMSprop,max,True,2e-07,False
1,0.2750156936597615,PRUNED,2025-10-08 23:06:12.313638,2025-10-08 23:07:02.922209,0 days 00:00:50.608571,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[0, 3]","[0, 1, 2]",0.1,elu,32,increasing,3,pow2,256.0,2,0.0005,0.9,minmax,5,SGD,last,True,2e-06,True
2,0.2632580512078727,COMPLETE,2025-10-08 23:07:02.923714,2025-10-08 23:07:50.904760,0 days 00:00:47.981046,"[512, 384, 256, 192]","[3, 5, 7, 9]","[2, 3]","[1, 2, 3]",0.3,prelu,128,decreasing,2,linear,64.0,2,0.0002,0.9,L2,4,SGD,mean,True,2e-07,False
3,0.3268263941565905,COMPLETE,2025-10-08 23:07:50.906839,2025-10-08 23:09:07.959316,0 days 00:01:17.052477,"[640, 512]","[3, 5]",[1],[0],0.1,hardswish,16,decreasing,3,linear,512.0,2,0.001,,L2,2,Adam,max,True,1e-05,False
4,0.2176165803108808,PRUNED,2025-10-08 23:09:07.961316,2025-10-08 23:09:15.296294,0 days 00:00:07.334978,[384],[3],[0],[0],0.0,elu,64,uniform,3,linear,64.0,5,0.001,,minmax,1,AdamW,attention,False,1e-05,True
5,0.3932640642019594,COMPLETE,2025-10-08 23:09:15.297294,2025-10-08 23:09:59.217282,0 days 00:00:43.919988,[512],[1],[],[0],0.1,relu,16,increasing,1,linear,256.0,7,0.0005,,L2,1,Adam,attention,False,1e-06,False
6,0.2176165803108808,PRUNED,2025-10-08 23:09:59.219304,2025-10-08 23:10:34.402965,0 days 00:00:35.183661,"[512, 640, 768]","[1, 2, 4]","[0, 1, 2]","[0, 2]",0.0,prelu,128,increasing,2,pow2,256.0,9,0.0002,,L2,3,Adam,max,True,5e-07,True
7,0.178030303030303,PRUNED,2025-10-08 23:10:34.404966,2025-10-08 23:10:43.916422,0 days 00:00:09.511456,"[256, 256, 256, 256]","[2, 4, 8, 16]",[0],"[0, 1, 3]",0.1,gelu,32,uniform,1,pow2,64.0,3,0.002,,L2,4,RMSprop,last,False,1e-06,True
8,0.2176165803108808,PRUNED,2025-10-08 23:10:43.917839,2025-10-08 23:12:02.624538,0 days 00:01:18.706699,"[896, 896, 896, 896, 896, 896]","[2, 4, 8, 16, 32, 64]","[0, 1, 5]","[0, 2, 3, 5]",0.0,leakyrelu,64,uniform,1,pow2,64.0,9,0.0002,,minmax,6,RMSprop,attention,True,1e-07,False
9,0.2175904889576118,COMPLETE,2025-10-08 23:12:02.626538,2025-10-08 23:12:57.002531,0 days 00:00:54.375993,"[128, 192, 256, 384, 512]","[3, 5, 7, 9, 11]","[0, 1, 2, 3, 4]","[1, 2, 3, 4]",0.1,mish,32,increasing,1,linear,64.0,7,0.0005,,minmax,5,Adam,last,True,5e-07,False
10,0.2175904889576118,COMPLETE,2025-10-08 23:12:57.003533,2025-10-08 23:14:11.028131,0 days 00:01:14.024598,[896],[1],[],[],0.3,relu,16,increasing,1,linear,128.0,7,1e-05,,L2,1,AdamW,attention,False,1e-06,False
11,0.4222955415493218,COMPLETE,2025-10-08 23:14:11.030402,2025-10-08 23:15:57.586463,0 days 00:01:46.556061,"[768, 640]","[1, 3]",[1],[0],0.2,hardswish,16,decreasing,3,linear,512.0,2,0.0001,,L2,2,Adam,max,False,1e-05,False
12,0.2674240857819493,COMPLETE,2025-10-08 23:15:57.588463,2025-10-08 23:21:36.636780,0 days 00:05:39.048317,"[896, 768]","[1, 4]",[1],[0],0.2,silu,16,decreasing,3,linear,512.0,7,0.0001,,L2,2,Adam,mean,False,0.0,False
13,0.4217645632867636,COMPLETE,2025-10-08 23:21:36.638803,2025-10-08 23:22:31.486493,0 days 00:00:54.847690,[256],[1],[],[0],0.2,hardswish,16,decreasing,2,linear,,5,0.0001,,L2,1,Adam,attention,False,1e-06,False
14,0.3700164430599208,COMPLETE,2025-10-08 23:22:31.489507,2025-10-08 23:23:30.170766,0 days 00:00:58.681259,"[256, 192, 128]","[2, 3, 4]",[1],[],0.2,hardswish,16,decreasing,2,linear,,5,0.0001,,L2,3,Adam,max,False,1e-05,False
