number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.3573502520870941,COMPLETE,2025-10-09 04:50:10.006782,2025-10-09 04:51:20.271049,0 days 00:01:10.264267,"[256, 256, 256]","[2, 5, 8]",[1],"[0, 1]",0.1,leakyrelu,96,uniform,2,linear,,5,1e-05,,minmax,3,AdamW,max,True,0.0,False
1,0.2040597895570608,COMPLETE,2025-10-09 04:51:20.274099,2025-10-09 04:54:20.573664,0 days 00:03:00.299565,"[640, 512]","[1, 4]",[],"[0, 1]",0.2,hardswish,16,decreasing,3,linear,256.0,5,0.0001,0.3,minmax,2,SGD,mean,True,1e-05,True
2,0.4695759462981166,COMPLETE,2025-10-09 04:54:20.575683,2025-10-09 04:55:22.178737,0 days 00:01:01.603054,"[192, 256]","[3, 4]",[1],[1],0.3,gelu,16,increasing,2,linear,64.0,7,0.0002,,L2,2,RMSprop,max,True,5e-07,True
3,0.2442112927195311,COMPLETE,2025-10-09 04:55:22.180738,2025-10-09 04:56:27.745051,0 days 00:01:05.564313,"[64, 96, 128, 192, 256, 384]","[2, 4, 8, 16, 32, 64]","[1, 4, 5]","[0, 1, 3, 5]",0.2,prelu,96,increasing,2,pow2,256.0,7,0.001,0.6000000000000001,L2,6,SGD,max,False,0.0,False
4,0.2903625417386933,COMPLETE,2025-10-09 04:56:27.747567,2025-10-09 04:57:28.816591,0 days 00:01:01.069024,"[384, 256, 192, 128, 96]","[3, 5, 7, 9, 11]","[1, 2]","[0, 1, 2, 3, 4]",0.3,mish,64,decreasing,1,linear,,7,1e-05,,minmax,5,Adam,last,False,1e-05,True
5,0.2175904889576118,COMPLETE,2025-10-09 04:57:28.819095,2025-10-09 05:00:34.444839,0 days 00:03:05.625744,"[256, 384, 512, 640]","[2, 4, 8, 16]",[3],"[0, 3]",0.0,prelu,32,increasing,2,pow2,128.0,7,0.001,,L2,4,Adam,max,False,1e-05,True
6,0.2175904889576118,COMPLETE,2025-10-09 05:00:34.446854,2025-10-09 05:01:00.174142,0 days 00:00:25.727288,[256],[1],[],[],0.0,silu,128,decreasing,3,pow2,128.0,5,1e-05,,L2,1,RMSprop,attention,True,0.0,False
7,0.2175904889576118,COMPLETE,2025-10-09 05:01:00.176692,2025-10-09 05:08:12.207508,0 days 00:07:12.030816,"[768, 768, 768, 768, 768]","[1, 2, 4, 8, 16]","[0, 1, 2, 3, 4]","[0, 1, 3]",0.0,elu,96,uniform,2,pow2,256.0,7,0.0002,,L2,5,AdamW,max,False,2e-06,False
8,0.2176165803108808,PRUNED,2025-10-09 05:08:12.210041,2025-10-09 05:08:24.079720,0 days 00:00:11.869679,"[384, 256, 192, 128, 96, 64]","[2, 4, 6, 8, 10, 12]","[1, 2, 3, 4, 5]",[],0.2,prelu,64,decreasing,2,linear,512.0,2,0.001,,L2,6,RMSprop,attention,True,1e-05,False
9,0.0855855855855855,PRUNED,2025-10-09 05:08:24.080793,2025-10-09 05:08:57.476099,0 days 00:00:33.395306,"[640, 512]","[3, 6]",[0],[0],0.0,prelu,32,decreasing,1,linear,64.0,5,1e-05,0.9,L2,2,SGD,max,False,1e-06,False
10,0.2176165803108808,PRUNED,2025-10-09 05:08:57.477603,2025-10-09 05:09:05.324316,0 days 00:00:07.846713,[96],[3],[0],[],0.3,gelu,16,increasing,1,linear,64.0,3,0.0002,,minmax,1,RMSprop,mean,True,5e-07,True
11,0.21875,PRUNED,2025-10-09 05:09:05.325322,2025-10-09 05:09:26.857779,0 days 00:00:21.532457,"[96, 96, 96]","[2, 3, 4]",[1],"[1, 2]",0.1,leakyrelu,16,uniform,3,linear,,9,0.002,,minmax,3,AdamW,max,True,2e-07,True
12,0.4496366393806828,COMPLETE,2025-10-09 05:09:26.858798,2025-10-09 05:10:11.863946,0 days 00:00:45.005148,"[256, 256, 256]","[1, 4, 7]",[1],[1],0.1,gelu,96,uniform,2,linear,,2,0.0005,,minmax,3,AdamW,last,True,1e-07,False
13,0.2175904889576118,COMPLETE,2025-10-09 05:10:11.865947,2025-10-09 05:10:35.520961,0 days 00:00:23.655014,"[128, 192]","[1, 2]",[1],[1],0.1,gelu,128,increasing,2,linear,64.0,2,0.0005,,minmax,2,AdamW,last,True,1e-07,True
14,0.4373824538134088,COMPLETE,2025-10-09 05:10:35.521961,2025-10-09 05:12:29.534986,0 days 00:01:54.013025,"[384, 384, 384, 384]","[1, 3, 5, 7]","[0, 1]","[1, 2]",0.3,gelu,16,uniform,3,linear,512.0,2,0.0005,,L2,4,RMSprop,last,True,5e-07,False
15,0.4460871223270062,COMPLETE,2025-10-09 05:12:29.535986,2025-10-09 05:13:10.606376,0 days 00:00:41.070390,"[128, 192, 256]","[2, 4, 6]",[1],[1],0.2,relu,96,increasing,1,linear,64.0,9,0.0005,,minmax,3,AdamW,last,True,1e-07,True
16,0.4140705935600166,COMPLETE,2025-10-09 05:13:10.609881,2025-10-09 05:13:51.569746,0 days 00:00:40.959865,"[64, 64]","[1, 2]",[],[],0.1,gelu,96,uniform,2,linear,,3,0.0002,,minmax,2,RMSprop,last,True,1e-07,True
17,0.21875,PRUNED,2025-10-09 05:13:51.572853,2025-10-09 05:14:03.433083,0 days 00:00:11.860230,[256],[3],[],[],0.3,gelu,16,uniform,1,linear,64.0,2,0.0001,,L2,1,Adam,mean,True,5e-07,False
18,0.178030303030303,PRUNED,2025-10-09 05:14:03.434105,2025-10-09 05:14:55.005595,0 days 00:00:51.571490,"[192, 256, 384, 512]","[2, 4, 8, 16]","[0, 1, 2, 3]","[1, 2]",0.2,silu,128,increasing,3,pow2,,2,0.002,,L2,4,RMSprop,attention,True,1e-06,True
19,0.2175904889576118,COMPLETE,2025-10-09 05:14:55.007601,2025-10-09 05:23:09.649757,0 days 00:08:14.642156,"[896, 896, 896]","[2, 4, 6]",[1],[1],0.1,mish,32,uniform,2,linear,128.0,7,0.0002,,minmax,3,AdamW,last,True,2e-06,False
20,0.2175904889576118,COMPLETE,2025-10-09 05:23:09.651769,2025-10-09 05:27:59.949586,0 days 00:04:50.297817,"[768, 896]","[3, 6]",[1],[1],0.3,relu,64,increasing,2,linear,512.0,9,0.0005,,minmax,2,AdamW,max,True,2e-07,False
21,0.4591996356861784,COMPLETE,2025-10-09 05:27:59.952152,2025-10-09 05:28:38.663955,0 days 00:00:38.711803,"[128, 192, 256]","[2, 4, 6]",[1],[1],0.2,relu,96,increasing,1,linear,64.0,9,0.0005,,minmax,3,AdamW,last,True,1e-07,True
22,0.4725861833011881,COMPLETE,2025-10-09 05:28:38.665956,2025-10-09 05:29:18.878388,0 days 00:00:40.212432,"[128, 192, 256]","[1, 2, 3]",[1],[1],0.2,relu,96,increasing,1,linear,64.0,9,0.0005,,minmax,3,AdamW,last,True,1e-07,True
23,0.2877046325322187,PRUNED,2025-10-09 05:29:18.880989,2025-10-09 05:29:24.743354,0 days 00:00:05.862365,"[128, 192]","[2, 3]",[1],[1],0.2,relu,96,increasing,1,linear,64.0,9,0.0005,,minmax,2,AdamW,last,True,1e-07,True
24,0.2176165803108808,PRUNED,2025-10-09 05:29:24.744661,2025-10-09 05:29:38.165344,0 days 00:00:13.420683,"[192, 256, 384, 512]","[3, 4, 5, 6]",[1],[1],0.3,relu,96,increasing,1,linear,64.0,9,0.0005,,minmax,4,AdamW,last,True,5e-07,True
25,0.435756054647167,COMPLETE,2025-10-09 05:29:38.166353,2025-10-09 05:30:33.585389,0 days 00:00:55.419036,"[96, 128, 192]","[1, 2, 3]",[],[],0.2,relu,16,increasing,1,linear,64.0,9,0.0002,,minmax,3,RMSprop,last,True,1e-07,True
26,0.2176165803108808,PRUNED,2025-10-09 05:30:33.586895,2025-10-09 05:30:43.662095,0 days 00:00:10.075200,"[96, 128, 192, 256, 384]","[1, 2, 4, 8, 16]","[0, 1]","[1, 4]",0.2,hardswish,96,increasing,1,pow2,64.0,9,0.0005,0.1,L2,5,SGD,mean,False,1e-07,True
27,0.21875,PRUNED,2025-10-09 05:30:43.664124,2025-10-09 05:30:50.564632,0 days 00:00:06.900508,[64],[2],[],[],0.3,elu,96,increasing,1,linear,64.0,9,0.0001,,minmax,1,Adam,attention,True,5e-07,True
28,0.178030303030303,PRUNED,2025-10-09 05:30:50.565670,2025-10-09 05:31:18.239612,0 days 00:00:27.673942,"[192, 256]","[3, 4]",[1],[1],0.2,relu,16,increasing,1,linear,64.0,3,0.002,,L2,2,AdamW,last,True,1e-07,True
29,0.3161189358372456,PRUNED,2025-10-09 05:31:18.240612,2025-10-09 05:31:28.762175,0 days 00:00:10.521563,"[128, 192, 256]","[1, 3, 5]",[1],[1],0.3,leakyrelu,96,increasing,1,linear,64.0,7,0.0002,,minmax,3,AdamW,max,True,2e-06,True
30,0.1770244821092278,PRUNED,2025-10-09 05:31:28.763178,2025-10-09 05:31:38.561549,0 days 00:00:09.798371,"[192, 256, 384]","[2, 3, 4]",[2],[2],0.2,relu,64,increasing,1,linear,64.0,9,0.0005,,minmax,3,RMSprop,max,True,2e-07,True
31,0.178030303030303,PRUNED,2025-10-09 05:31:38.562553,2025-10-09 05:32:19.459504,0 days 00:00:40.896951,"[512, 512, 512, 512]","[1, 3, 5, 7]","[1, 3]","[1, 3]",0.1,gelu,96,uniform,2,linear,,2,0.0005,,minmax,4,AdamW,last,True,1e-07,True
