number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-09 00:20:50.446456,2025-10-09 00:21:01.392237,0 days 00:00:10.945781,"[64, 64]","[2, 3]",[],"[0, 1]",0.2,silu,128,uniform,2,linear,128.0,7,0.001,,minmax,2,Adam,mean,False,1e-06,True
1,0.2400792066401833,COMPLETE,2025-10-09 00:21:01.392237,2025-10-09 00:24:49.830737,0 days 00:03:48.438500,"[384, 512, 640, 768, 896]","[2, 4, 8, 16, 32]","[0, 1, 2, 3, 4]","[0, 1, 4]",0.3,elu,96,increasing,3,pow2,256.0,5,1e-05,,minmax,5,RMSprop,attention,False,2e-06,True
2,0.3591865285157656,COMPLETE,2025-10-09 00:24:49.832744,2025-10-09 00:25:07.005233,0 days 00:00:17.172489,"[64, 96]","[2, 3]",[0],[],0.3,gelu,128,increasing,2,linear,512.0,3,0.0002,,L2,2,Adam,last,True,5e-07,True
3,0.2175904889576118,COMPLETE,2025-10-09 00:25:07.007804,2025-10-09 00:25:54.786906,0 days 00:00:47.779102,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[0, 1, 2, 3]","[3, 4]",0.1,prelu,16,increasing,1,pow2,256.0,2,0.0005,0.5,L2,5,SGD,attention,False,2e-07,False
4,0.268425096500935,COMPLETE,2025-10-09 00:25:54.788038,2025-10-09 00:26:36.911217,0 days 00:00:42.123179,"[384, 384, 384, 384]","[2, 4, 8, 16]","[0, 1, 2, 3]","[1, 3]",0.2,elu,128,uniform,2,pow2,512.0,3,1e-05,,L2,4,AdamW,mean,True,0.0,False
5,0.2175904889576118,COMPLETE,2025-10-09 00:26:36.911217,2025-10-09 00:27:02.852383,0 days 00:00:25.941166,"[256, 192, 128, 96, 64]","[3, 6, 9, 12, 15]","[1, 3]","[0, 1]",0.0,hardswish,128,decreasing,3,linear,256.0,3,0.0005,,minmax,5,Adam,attention,False,1e-06,False
6,0.2709621519956985,COMPLETE,2025-10-09 00:27:02.858860,2025-10-09 00:27:20.110467,0 days 00:00:17.251607,"[64, 64, 64]","[2, 5, 8]","[0, 2]","[0, 1, 2]",0.3,silu,64,uniform,1,linear,512.0,3,0.0002,,minmax,3,RMSprop,max,True,5e-07,True
7,0.2176165803108808,PRUNED,2025-10-09 00:27:20.111691,2025-10-09 00:27:34.370788,0 days 00:00:14.259097,"[256, 256, 256, 256]","[3, 5, 7, 9]","[0, 1, 2]",[1],0.2,prelu,64,uniform,2,linear,128.0,5,0.002,0.0,minmax,4,SGD,last,True,0.0,True
8,0.178030303030303,PRUNED,2025-10-09 00:27:34.372788,2025-10-09 00:27:49.420938,0 days 00:00:15.048150,"[192, 192, 192]","[1, 2, 4]","[0, 2]",[2],0.3,mish,64,uniform,3,pow2,512.0,3,0.002,0.7000000000000001,L2,3,SGD,mean,False,2e-07,True
9,0.178030303030303,PRUNED,2025-10-09 00:27:49.422225,2025-10-09 00:28:11.257583,0 days 00:00:21.835358,"[640, 512, 384, 256, 192]","[1, 2, 4, 8, 16]",[1],"[0, 2, 3, 4]",0.2,hardswish,32,decreasing,1,pow2,64.0,5,0.002,0.2,L2,5,SGD,max,True,2e-07,False
10,0.21875,PRUNED,2025-10-09 00:28:11.257583,2025-10-09 00:28:17.573796,0 days 00:00:06.316213,[64],[1],[],[],0.0,gelu,32,increasing,2,linear,,9,0.0002,,L2,1,Adam,last,True,5e-07,True
11,0.2328963510532231,COMPLETE,2025-10-09 00:28:17.575801,2025-10-09 00:28:33.232453,0 days 00:00:15.656652,"[192, 256]","[2, 5]",[0],[0],0.3,silu,64,increasing,1,linear,512.0,3,0.0002,,minmax,2,RMSprop,max,True,5e-07,True
