id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
617,gaitgl_OUMVLP.csv,0.58457,0.54828,-0.03629,0.723 / 0.364 / 0.667,0.683 / 0.333 / 0.629,-0.040 / -0.030 / -0.038
618,gaitpart_GREW.csv,0.57381,0.40776,-0.16605,0.650 / 0.500 / 0.571,0.625 / 0.154 / 0.444,-0.025 / -0.346 / -0.127
619,gaitpart_OUMVLP.csv,0.67778,0.47235,-0.20543,0.700 / 0.667 / 0.667,0.564 / 0.353 / 0.500,-0.136 / -0.314 / -0.167
620,gaitset.csv,0.48829,0.44246,-0.04583,0.578 / 0.500 / 0.387,0.619 / 0.375 / 0.333,0.041 / -0.125 / -0.054
621,gaitset_GREW.csv,0.5114,0.43865,-0.07275,0.615 / 0.308 / 0.611,0.634 / 0.182 / 0.500,0.019 / -0.126 / -0.111
622,gaitset_OUMVLP.csv,0.47191,0.5303,0.05839,0.596 / 0.500 / 0.320,0.500 / 0.500 / 0.591,-0.096 / 0.000 / 0.271
623,gln_phase1.csv,0.45399,0.52748,0.07349,0.424 / 0.462 / 0.476,0.595 / 0.462 / 0.526,0.170 / 0.000 / 0.050
624,gln_phase2.csv,0.40875,0.45504,0.04629,0.400 / 0.286 / 0.541,0.529 / 0.286 / 0.550,0.129 / 0.000 / 0.009
690,baseline_CASIAB.csv,0.52077,0.60421,0.08344,0.696 / 0.333 / 0.533,0.500 / 0.727 / 0.585,-0.196 / 0.394 / 0.052
691,baseline_OUMVLP.csv,0.57124,0.54474,-0.0265,0.622 / 0.444 / 0.647,0.550 / 0.400 / 0.684,-0.072 / -0.044 / 0.037
692,gaitgl.csv,0.46806,0.5403,0.07224,0.500 / 0.364 / 0.541,0.571 / 0.533 / 0.516,0.071 / 0.170 / -0.024
693,gaitgl_GREW.csv,0.48468,0.63333,0.14865,0.526 / 0.364 / 0.564,0.650 / 0.625 / 0.625,0.124 / 0.261 / 0.061
694,gaitgl_GREW_BNNeck.csv,0.49308,0.53077,0.03769,0.591 / 0.308 / 0.581,0.638 / 0.333 / 0.621,0.047 / 0.026 / 0.040
695,gaitgl_OUMVLP.csv,0.44514,0.4411,-0.00404,0.488 / 0.333 / 0.514,0.638 / 0.125 / 0.560,0.150 / -0.208 / 0.046
696,gaitpart_GREW.csv,0.54589,0.56124,0.01535,0.683 / 0.308 / 0.647,0.579 / 0.533 / 0.571,-0.104 / 0.226 / -0.076
697,gaitpart_OUMVLP.csv,0.642,0.58541,-0.05659,0.756 / 0.545 / 0.625,0.731 / 0.545 / 0.480,-0.025 / 0.000 / -0.145
698,gaitset.csv,0.44776,0.42284,-0.02492,0.591 / 0.286 / 0.467,0.605 / 0.235 / 0.429,0.014 / -0.050 / -0.038
699,gaitset_GREW.csv,0.40091,0.42026,0.01935,0.565 / 0.200 / 0.438,0.424 / 0.375 / 0.462,-0.141 / 0.175 / 0.024
700,gaitset_OUMVLP.csv,0.21538,0.47625,0.26087,0.646 / 0.000 / 0.000,0.634 / 0.200 / 0.595,-0.012 / 0.200 / 0.595
701,gln_phase1.csv,0.62343,0.64325,0.01982,0.615 / 0.667 / 0.588,0.739 / 0.545 / 0.645,0.124 / -0.121 / 0.057
702,gln_phase2.csv,0.52179,0.58877,0.06698,0.550 / 0.615 / 0.400,0.514 / 0.667 / 0.585,-0.036 / 0.051 / 0.185
781,baseline_CASIAB.csv,0.21538,0.58982,0.37444,0.646 / 0.000 / 0.000,0.727 / 0.462 / 0.581,0.081 / 0.462 / 0.581
782,baseline_OUMVLP.csv,0.21538,0.49413,0.27875,0.646 / 0.000 / 0.000,0.424 / 0.500 / 0.558,-0.222 / 0.500 / 0.558
783,gaitgl.csv,0.21538,0.30747,0.09209,0.646 / 0.000 / 0.000,0.511 / 0.000 / 0.412,-0.136 / 0.000 / 0.412
784,gaitgl_GREW.csv,0.51401,0.4547,-0.05931,0.571 / 0.471 / 0.500,0.514 / 0.286 / 0.564,-0.057 / -0.185 / 0.064
785,gaitgl_GREW_BNNeck.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
786,gaitgl_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
787,gaitpart_GREW.csv,0.21538,0.52407,0.30869,0.646 / 0.000 / 0.000,0.650 / 0.471 / 0.452,0.004 / 0.471 / 0.452
788,gaitpart_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
789,gaitset.csv,0.21538,0.49741,0.28203,0.646 / 0.000 / 0.000,0.537 / 0.375 / 0.581,-0.110 / 0.375 / 0.581
790,gaitset_GREW.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
791,gaitset_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
792,gln_phase1.csv,0.67814,0.0915,-0.58664,0.732 / 0.600 / 0.703,0.000 / 0.275 / 0.000,-0.732 / -0.325 / -0.703
793,gln_phase2.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
872,baseline_CASIAB.csv,0.47661,0.51686,0.04025,0.514 / 0.375 / 0.541,0.564 / 0.500 / 0.486,0.050 / 0.125 / -0.054
873,baseline_OUMVLP.csv,0.51245,0.50386,-0.00859,0.605 / 0.308 / 0.625,0.652 / 0.308 / 0.552,0.048 / 0.000 / -0.073
874,gaitgl.csv,0.36923,0.41326,0.04403,0.400 / 0.308 / 0.400,0.486 / 0.316 / 0.438,0.086 / 0.008 / 0.037
875,gaitgl_GREW.csv,0.37137,0.40993,0.03856,0.550 / 0.000 / 0.564,0.389 / 0.250 / 0.591,-0.161 / 0.250 / 0.027
876,gaitgl_GREW_BNNeck.csv,0.44243,0.44822,0.00579,0.512 / 0.429 / 0.387,0.444 / 0.364 / 0.537,-0.067 / -0.065 / 0.149
877,gaitgl_OUMVLP.csv,0.44566,0.44989,0.00423,0.558 / 0.154 / 0.625,0.627 / 0.222 / 0.500,0.069 / 0.068 / -0.125
878,gaitpart_GREW.csv,0.54344,0.53222,-0.01122,0.634 / 0.444 / 0.552,0.634 / 0.400 / 0.562,0.000 / -0.044 / 0.011
879,gaitpart_OUMVLP.csv,0.61856,0.5784,-0.04016,0.684 / 0.526 / 0.645,0.776 / 0.250 / 0.710,0.091 / -0.276 / 0.065
880,gaitset.csv,0.52544,0.43857,-0.08687,0.529 / 0.462 / 0.585,0.558 / 0.333 / 0.424,0.029 / -0.128 / -0.161
881,gaitset_GREW.csv,0.3976,0.38307,-0.01453,0.500 / 0.222 / 0.471,0.625 / 0.154 / 0.370,0.125 / -0.068 / -0.100
882,gaitset_OUMVLP.csv,0.50297,0.53302,0.03005,0.651 / 0.375 / 0.483,0.727 / 0.333 / 0.538,0.076 / -0.042 / 0.056
883,gln_phase1.csv,0.68236,0.65741,-0.02495,0.744 / 0.615 / 0.688,0.750 / 0.556 / 0.667,0.006 / -0.060 / -0.021
884,gln_phase2.csv,0.49432,0.53153,0.03721,0.545 / 0.500 / 0.438,0.667 / 0.333 / 0.595,0.121 / -0.167 / 0.157
885,baseline_CASIAB.csv,0.57937,0.54058,-0.03879,0.667 / 0.571 / 0.500,0.651 / 0.471 / 0.500,-0.016 / -0.101 / 0.000
886,baseline_OUMVLP.csv,0.49391,0.55672,0.06281,0.541 / 0.353 / 0.588,0.564 / 0.500 / 0.606,0.024 / 0.147 / 0.018
887,gaitgl.csv,0.51587,0.47243,-0.04344,0.619 / 0.429 / 0.500,0.632 / 0.286 / 0.500,0.013 / -0.143 / 0.000
888,gaitgl_GREW.csv,0.48864,0.54685,0.05821,0.591 / 0.375 / 0.500,0.649 / 0.308 / 0.684,0.058 / -0.067 / 0.184
889,gaitgl_GREW_BNNeck.csv,0.43182,0.4594,0.02758,0.545 / 0.250 / 0.500,0.462 / 0.250 / 0.667,-0.084 / 0.000 / 0.167
890,gaitgl_OUMVLP.csv,0.49465,0.455,-0.03965,0.529 / 0.455 / 0.500,0.541 / 0.273 / 0.552,0.011 / -0.182 / 0.052
891,gaitpart_GREW.csv,0.52654,0.45842,-0.06812,0.611 / 0.348 / 0.621,0.650 / 0.154 / 0.571,0.039 / -0.194 / -0.049
892,gaitpart_OUMVLP.csv,0.67844,0.5977,-0.08074,0.683 / 0.667 / 0.686,0.611 / 0.533 / 0.649,-0.072 / -0.133 / -0.037
893,gaitset.csv,0.44966,0.46822,0.01856,0.524 / 0.462 / 0.364,0.605 / 0.400 / 0.400,0.081 / -0.062 / 0.036
894,gaitset_GREW.csv,0.5536,0.45665,-0.09695,0.718 / 0.429 / 0.514,0.571 / 0.286 / 0.513,-0.147 / -0.143 / -0.001
895,gaitset_OUMVLP.csv,0.49683,0.45823,-0.0386,0.524 / 0.500 / 0.467,0.588 / 0.182 / 0.605,0.064 / -0.318 / 0.138
896,gln_phase1.csv,0.49025,0.44274,-0.04751,0.526 / 0.444 / 0.500,0.564 / 0.200 / 0.564,0.038 / -0.244 / 0.064
897,gln_phase2.csv,0.47436,0.51933,0.04497,0.537 / 0.400 / 0.486,0.529 / 0.429 / 0.600,-0.007 / 0.029 / 0.114
1080,baseline_CASIAB.csv,0.41667,0.53019,0.11352,0.650 / 0.000 / 0.600,0.651 / 0.333 / 0.606,0.001 / 0.333 / 0.006
1081,baseline_OUMVLP.csv,0.57778,0.54798,-0.0298,0.667 / 0.400 / 0.667,0.667 / 0.250 / 0.727,0.000 / -0.150 / 0.061
1082,gaitgl.csv,0.52632,0.40714,-0.11918,0.579 / 0.400 / 0.600,0.571 / 0.250 / 0.400,-0.008 / -0.150 / -0.200
1083,gaitgl_GREW.csv,0.44925,0.4996,0.05035,0.571 / 0.250 / 0.526,0.585 / 0.429 / 0.485,0.014 / 0.179 / -0.041
1084,gaitgl_GREW_BNNeck.csv,0.40818,0.43832,0.03014,0.378 / 0.333 / 0.513,0.474 / 0.286 / 0.556,0.095 / -0.048 / 0.043
1085,gaitgl_OUMVLP.csv,0.49255,0.45823,-0.03432,0.717 / 0.222 / 0.538,0.605 / 0.182 / 0.588,-0.112 / -0.040 / 0.050
1086,gaitpart_GREW.csv,0.4375,0.49445,0.05695,0.500 / 0.500 / 0.312,0.579 / 0.375 / 0.529,0.079 / -0.125 / 0.217
1087,gaitpart_OUMVLP.csv,0.65009,0.61042,-0.03967,0.727 / 0.533 / 0.690,0.629 / 0.500 / 0.703,-0.099 / -0.033 / 0.013
1088,gaitset.csv,0.50137,0.41386,-0.08751,0.667 / 0.286 / 0.552,0.537 / 0.222 / 0.483,-0.130 / -0.063 / -0.069
1089,gaitset_GREW.csv,0.41144,0.35988,-0.05156,0.625 / 0.222 / 0.387,0.533 / 0.250 / 0.296,-0.092 / 0.028 / -0.091
1090,gaitset_OUMVLP.csv,0.49517,0.49449,-0.00068,0.717 / 0.250 / 0.519,0.667 / 0.222 / 0.595,-0.050 / -0.028 / 0.076
1091,gln_phase1.csv,0.54,0.60185,0.06185,0.585 / 0.429 / 0.606,0.650 / 0.556 / 0.600,0.065 / 0.127 / -0.006
1092,gln_phase2.csv,0.47626,0.5135,0.03724,0.632 / 0.182 / 0.615,0.537 / 0.471 / 0.533,-0.095 / 0.289 / -0.082
1249,baseline_CASIAB.csv,0.43863,0.61396,0.17533,0.605 / 0.182 / 0.529,0.615 / 0.615 / 0.611,0.011 / 0.434 / 0.082
1250,baseline_OUMVLP.csv,0.41806,0.49214,0.07408,0.571 / 0.200 / 0.483,0.595 / 0.182 / 0.700,0.023 / -0.018 / 0.217
1251,gaitgl.csv,0.52121,0.46553,-0.05568,0.571 / 0.364 / 0.629,0.571 / 0.462 / 0.364,0.000 / 0.098 / -0.265
1252,gaitgl_GREW.csv,0.51466,0.50861,-0.00605,0.619 / 0.222 / 0.703,0.550 / 0.462 / 0.514,-0.069 / 0.239 / -0.188
1253,gaitgl_GREW_BNNeck.csv,0.483,0.21538,-0.26762,0.585 / 0.364 / 0.500,0.646 / 0.000 / 0.000,0.061 / -0.364 / -0.500
1254,gaitgl_OUMVLP.csv,0.40972,0.44414,0.03442,0.524 / 0.143 / 0.562,0.550 / 0.154 / 0.629,0.026 / 0.011 / 0.066
1255,gaitpart_GREW.csv,0.50947,0.52422,0.01475,0.591 / 0.500 / 0.438,0.667 / 0.462 / 0.444,0.076 / -0.038 / 0.007
1256,gaitpart_OUMVLP.csv,0.21538,0.69197,0.47659,0.646 / 0.000 / 0.000,0.700 / 0.727 / 0.649,0.054 / 0.727 / 0.649
1257,gaitset.csv,0.56896,0.53195,-0.03701,0.698 / 0.429 / 0.581,0.651 / 0.429 / 0.516,-0.047 / 0.000 / -0.065
1258,gaitset_GREW.csv,0.45352,0.49495,0.04143,0.476 / 0.471 / 0.414,0.605 / 0.429 / 0.452,0.128 / -0.042 / 0.038
1259,gaitset_OUMVLP.csv,0.56845,0.49386,-0.07459,0.714 / 0.429 / 0.562,0.650 / 0.200 / 0.632,-0.064 / -0.229 / 0.069
1260,gln_phase1.csv,0.60125,0.51493,-0.08632,0.698 / 0.500 / 0.606,0.529 / 0.400 / 0.615,-0.168 / -0.100 / 0.009
1261,gln_phase2.csv,0.48717,0.21538,-0.27179,0.591 / 0.400 / 0.471,0.646 / 0.000 / 0.000,0.055 / -0.400 / -0.471
1340,baseline_CASIAB.csv,0.51343,0.43684,-0.07659,0.387 / 0.600 / 0.553,0.537 / 0.222 / 0.552,0.149 / -0.378 / -0.001
1341,baseline_OUMVLP.csv,0.54987,0.58471,0.03484,0.438 / 0.545 / 0.667,0.711 / 0.333 / 0.710,0.274 / -0.212 / 0.043
1342,gaitgl.csv,0.4336,0.4359,0.0023,0.667 / 0.000 / 0.634,0.600 / 0.308 / 0.400,-0.067 / 0.308 / -0.234
1343,gaitgl_GREW.csv,0.42735,0.39657,-0.03078,0.615 / 0.000 / 0.667,0.558 / 0.000 / 0.632,-0.057 / 0.000 / -0.035
1344,gaitgl_GREW_BNNeck.csv,0.45048,0.49727,0.04679,0.667 / 0.250 / 0.435,0.585 / 0.222 / 0.684,-0.081 / -0.028 / 0.249
1345,gaitgl_OUMVLP.csv,0.45278,0.48717,0.03439,0.625 / 0.200 / 0.533,0.681 / 0.200 / 0.581,0.056 / 0.000 / 0.047
1346,gaitpart_GREW.csv,0.41975,0.48137,0.06162,0.741 / 0.000 / 0.519,0.667 / 0.364 / 0.414,-0.074 / 0.364 / -0.105
1347,gaitpart_OUMVLP.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
1348,gaitset.csv,0.51333,0.41568,-0.09765,0.640 / 0.400 / 0.500,0.596 / 0.267 / 0.385,-0.044 / -0.133 / -0.115
1349,gaitset_GREW.csv,0.47578,0.51836,0.04258,0.564 / 0.308 / 0.556,0.696 / 0.308 / 0.552,0.132 / 0.000 / -0.004
1350,gaitset_OUMVLP.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
1351,gln_phase1.csv,0.63258,0.56757,-0.06501,0.773 / 0.500 / 0.625,0.703 / 0.353 / 0.647,-0.070 / -0.147 / 0.022
1352,gln_phase2.csv,0.50631,0.4996,-0.00671,0.605 / 0.400 / 0.514,0.585 / 0.429 / 0.485,-0.019 / 0.029 / -0.029
1418,baseline_CASIAB.csv,0.53246,0.46174,-0.07072,0.615 / 0.333 / 0.649,0.571 / 0.400 / 0.414,-0.044 / 0.067 / -0.235
1419,baseline_OUMVLP.csv,0.55758,0.63131,0.07373,0.667 / 0.400 / 0.606,0.682 / 0.545 / 0.667,0.015 / 0.145 / 0.061
1420,gaitgl.csv,0.45141,0.5363,0.08489,0.571 / 0.267 / 0.516,0.634 / 0.364 / 0.611,0.063 / 0.097 / 0.095
1421,gaitgl_GREW.csv,0.41053,0.50232,0.09179,0.588 / 0.182 / 0.462,0.636 / 0.400 / 0.471,0.048 / 0.218 / 0.009
1422,gaitgl_GREW_BNNeck.csv,0.47601,0.53166,0.05565,0.636 / 0.167 / 0.625,0.579 / 0.471 / 0.545,-0.057 / 0.304 / -0.080
1423,gaitgl_OUMVLP.csv,0.39286,0.40585,0.01299,0.679 / 0.000 / 0.500,0.537 / 0.167 / 0.514,-0.142 / 0.167 / 0.014
1424,gaitpart_GREW.csv,0.54052,0.49485,-0.04567,0.526 / 0.429 / 0.667,0.564 / 0.375 / 0.545,0.038 / -0.054 / -0.121
1425,gaitpart_OUMVLP.csv,0.61742,0.64112,0.0237,0.727 / 0.500 / 0.625,0.769 / 0.444 / 0.710,0.042 / -0.056 / 0.085
1426,gaitset.csv,0.48861,0.49084,0.00223,0.609 / 0.286 / 0.571,0.615 / 0.286 / 0.571,0.007 / 0.000 / 0.000
1427,gaitset_GREW.csv,0.42361,0.47648,0.05287,0.583 / 0.250 / 0.438,0.667 / 0.222 / 0.541,0.083 / -0.028 / 0.103
1428,gaitset_OUMVLP.csv,0.4735,0.51297,0.03947,0.667 / 0.154 / 0.600,0.634 / 0.333 / 0.571,-0.033 / 0.179 / -0.029
