id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
183,baseline_CASIAB.csv,0.48312,0.50317,0.02005,0.571 / 0.364 / 0.514,0.565 / 0.364 / 0.581,-0.006 / 0.000 / 0.066
184,baseline_OUMVLP.csv,0.63052,0.6322,0.00168,0.651 / 0.615 / 0.625,0.634 / 0.615 / 0.647,-0.017 / 0.000 / 0.022
185,gaitgl.csv,0.50116,0.5111,0.00994,0.585 / 0.444 / 0.474,0.526 / 0.545 / 0.462,-0.059 / 0.101 / -0.012
186,gaitgl_GREW.csv,0.44108,0.4579,0.01682,0.578 / 0.200 / 0.545,0.537 / 0.308 / 0.529,-0.041 / 0.108 / -0.016
187,gaitgl_GREW_BNNeck.csv,0.5033,0.48027,-0.02303,0.578 / 0.471 / 0.462,0.612 / 0.429 / 0.400,0.034 / -0.042 / -0.062
188,gaitgl_OUMVLP.csv,0.45039,0.56173,0.11134,0.578 / 0.429 / 0.345,0.667 / 0.500 / 0.519,0.089 / 0.071 / 0.174
189,gaitpart_GREW.csv,0.50971,0.55749,0.04778,0.650 / 0.308 / 0.571,0.739 / 0.333 / 0.600,0.089 / 0.026 / 0.029
190,gaitpart_OUMVLP.csv,0.53709,0.51722,-0.01987,0.619 / 0.364 / 0.629,0.541 / 0.400 / 0.611,-0.079 / 0.036 / -0.017
191,gaitset.csv,0.44846,0.55185,0.10339,0.653 / 0.308 / 0.385,0.622 / 0.533 / 0.500,-0.031 / 0.226 / 0.115
192,gaitset_GREW.csv,0.47807,0.50997,0.0319,0.682 / 0.286 / 0.467,0.622 / 0.308 / 0.600,-0.060 / 0.022 / 0.133
193,gaitset_OUMVLP.csv,0.43386,0.54276,0.1089,0.400 / 0.444 / 0.457,0.622 / 0.400 / 0.606,0.222 / -0.044 / 0.149
194,gln_phase1.csv,0.57839,0.55048,-0.02791,0.634 / 0.545 / 0.556,0.680 / 0.400 / 0.571,0.046 / -0.145 / 0.016
195,gln_phase2.csv,0.42866,0.43423,0.00557,0.667 / 0.182 / 0.438,0.651 / 0.167 / 0.485,-0.016 / -0.015 / 0.047
196,baseline_CASIAB.csv,0.51721,0.52373,0.00652,0.578 / 0.444 / 0.529,0.609 / 0.400 / 0.562,0.031 / -0.044 / 0.033
197,baseline_OUMVLP.csv,0.67603,0.64127,-0.03476,0.634 / 0.727 / 0.667,0.667 / 0.571 / 0.686,0.033 / -0.156 / 0.019
198,gaitgl.csv,0.48619,0.5088,0.02261,0.526 / 0.444 / 0.488,0.524 / 0.545 / 0.457,-0.003 / 0.101 / -0.031
199,gaitgl_GREW.csv,0.47155,0.49815,0.0266,0.652 / 0.182 / 0.581,0.550 / 0.333 / 0.611,-0.102 / 0.152 / 0.030
200,gaitgl_GREW_BNNeck.csv,0.4848,0.52286,0.03806,0.638 / 0.333 / 0.483,0.591 / 0.462 / 0.516,-0.047 / 0.128 / 0.033
201,gaitgl_OUMVLP.csv,0.48394,0.53704,0.0531,0.564 / 0.421 / 0.467,0.611 / 0.500 / 0.500,0.047 / 0.079 / 0.033
202,gaitpart_GREW.csv,0.5254,0.55651,0.03111,0.750 / 0.308 / 0.519,0.756 / 0.333 / 0.581,0.006 / 0.026 / 0.062
203,gaitpart_OUMVLP.csv,0.52004,0.51209,-0.00795,0.585 / 0.364 / 0.611,0.600 / 0.308 / 0.629,0.015 / -0.056 / 0.017
204,gaitset.csv,0.46483,0.53328,0.06845,0.591 / 0.375 / 0.429,0.638 / 0.462 / 0.500,0.047 / 0.087 / 0.071
205,gaitset_GREW.csv,0.49508,0.44099,-0.05409,0.640 / 0.429 / 0.417,0.609 / 0.286 / 0.429,-0.031 / -0.143 / 0.012
206,gaitset_OUMVLP.csv,0.4779,0.49615,0.01825,0.609 / 0.200 / 0.625,0.609 / 0.364 / 0.516,0.000 / 0.164 / -0.109
207,gln_phase1.csv,0.57125,0.52544,-0.04581,0.652 / 0.545 / 0.516,0.585 / 0.462 / 0.529,-0.067 / -0.084 / 0.013
208,gln_phase2.csv,0.45455,0.46522,0.01067,0.636 / 0.182 / 0.545,0.696 / 0.167 / 0.533,0.059 / -0.015 / -0.012
209,baseline_CASIAB.csv,0.4759,0.49194,0.01604,0.640 / 0.308 / 0.480,0.500 / 0.462 / 0.514,-0.140 / 0.154 / 0.034
210,baseline_OUMVLP.csv,0.53535,0.53822,0.00287,0.636 / 0.364 / 0.606,0.652 / 0.400 / 0.562,0.016 / 0.036 / -0.044
211,gaitgl.csv,0.42165,0.39206,-0.02959,0.513 / 0.308 / 0.444,0.476 / 0.200 / 0.500,-0.037 / -0.108 / 0.056
212,gaitgl_GREW.csv,0.43697,0.41347,-0.0235,0.596 / 0.182 / 0.533,0.652 / 0.000 / 0.588,0.056 / -0.182 / 0.055
213,gaitgl_GREW_BNNeck.csv,0.44395,0.36788,-0.07607,0.630 / 0.222 / 0.480,0.537 / 0.222 / 0.345,-0.093 / 0.000 / -0.135
214,gaitgl_OUMVLP.csv,0.42174,0.47609,0.05435,0.565 / 0.200 / 0.500,0.622 / 0.200 / 0.606,0.057 / 0.000 / 0.106
215,gaitpart_GREW.csv,0.61675,0.58406,-0.03269,0.744 / 0.500 / 0.606,0.652 / 0.600 / 0.500,-0.092 / 0.100 / -0.106
216,gaitpart_OUMVLP.csv,0.57333,0.5784,0.00507,0.634 / 0.364 / 0.722,0.776 / 0.250 / 0.710,0.141 / -0.114 / -0.013
217,gaitset.csv,0.46666,0.43485,-0.03181,0.596 / 0.286 / 0.519,0.612 / 0.154 / 0.538,0.016 / -0.132 / 0.020
218,gaitset_GREW.csv,0.50505,0.5,-0.00505,0.727 / 0.182 / 0.606,0.667 / 0.333 / 0.500,-0.061 / 0.152 / -0.106
219,gaitset_OUMVLP.csv,0.44518,0.47373,0.02855,0.564 / 0.143 / 0.629,0.698 / 0.143 / 0.581,0.134 / 0.000 / -0.048
220,gln_phase1.csv,0.59825,0.65152,0.05327,0.667 / 0.714 / 0.414,0.682 / 0.727 / 0.545,0.015 / 0.013 / 0.132
221,gln_phase2.csv,0.56166,0.52193,-0.03973,0.711 / 0.444 / 0.529,0.636 / 0.400 / 0.529,-0.075 / -0.044 / 0.000
222,baseline_CASIAB.csv,0.53286,0.59773,0.06487,0.609 / 0.444 / 0.545,0.706 / 0.444 / 0.643,0.097 / 0.000 / 0.097
223,baseline_OUMVLP.csv,0.6967,0.66158,-0.03512,0.667 / 0.667 / 0.757,0.615 / 0.667 / 0.703,-0.051 / 0.000 / -0.054
224,gaitgl.csv,0.46649,0.47155,0.00506,0.585 / 0.250 / 0.564,0.652 / 0.182 / 0.581,0.067 / -0.068 / 0.017
225,gaitgl_GREW.csv,0.43672,0.41509,-0.02163,0.651 / 0.143 / 0.516,0.634 / 0.000 / 0.611,-0.017 / -0.143 / 0.095
