number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
21,0.4520646679465026,COMPLETE,2025-12-09 19:21:42.097016,2025-12-09 19:23:03.023138,0 days 00:01:20.926122,"[64, 64]",[],[],2,True,0.1,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
22,0.46015430128973733,COMPLETE,2025-12-09 19:23:03.024142,2025-12-09 19:24:19.306746,0 days 00:01:16.282604,"[128, 128]",[],[],2,True,0.1,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
23,0.4571993036086762,COMPLETE,2025-12-09 19:24:19.307750,2025-12-09 19:25:55.632339,0 days 00:01:36.324589,"[192, 192]",[],[],2,True,0.1,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
24,0.45038315894526215,COMPLETE,2025-12-09 19:25:55.633339,2025-12-09 19:26:43.374893,0 days 00:00:47.741554,[128],[],[],1,True,0.0,uniform,elu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
25,0.3860564686244609,COMPLETE,2025-12-09 19:26:43.375894,2025-12-09 19:28:57.190079,0 days 00:02:13.814185,"[256, 256]",[],[1],2,False,0.0,uniform,elu,32,False,256.0,1e-05,L2,True,Adam,last,1e-06,
26,0.21758419036095988,COMPLETE,2025-12-09 19:28:57.191101,2025-12-09 19:29:49.243990,0 days 00:00:52.052889,"[128, 128, 128]",[],[],3,True,0.2,uniform,silu,64,True,512.0,0.0002,L2,False,Adam,last,1e-06,
27,0.21897164592798202,COMPLETE,2025-12-09 19:29:49.243990,2025-12-09 19:30:11.741280,0 days 00:00:22.497290,"[128, 128]",[],[],2,True,0.5,uniform,,96,False,,2e-05,L2,True,RMSprop,attention,1e-05,
28,0.26792083097154495,COMPLETE,2025-12-09 19:30:11.742283,2025-12-09 19:30:35.938074,0 days 00:00:24.195791,[512],[],[],1,True,0.0,decreasing,elu,128,False,1024.0,5e-05,L2,True,SGD,max,0.0,0.7
29,0.2950087487436352,COMPLETE,2025-12-09 19:30:35.939074,2025-12-09 19:33:36.219758,0 days 00:03:00.280684,"[512, 640]",[1],[],2,False,0.4,increasing,tanh,16,False,768.0,2e-05,L2,True,AdamW,mean,1e-07,
30,0.21758419036095988,COMPLETE,2025-12-09 19:33:36.220758,2025-12-09 19:36:09.344534,0 days 00:02:33.123776,"[768, 640]",[1],[],2,False,0.1,decreasing,leakyrelu,16,False,256.0,0.001,L2,True,Adam,last,1e-06,
31,0.46571935574849876,COMPLETE,2025-12-09 19:36:09.346044,2025-12-09 19:37:37.393186,0 days 00:01:28.047142,"[128, 128]",[],[],2,True,0.1,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
32,0.4483973453647286,COMPLETE,2025-12-09 19:37:37.394384,2025-12-09 19:38:58.188147,0 days 00:01:20.793763,"[128, 128]",[],[],2,True,0.1,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
33,0.4286264525897332,COMPLETE,2025-12-09 19:38:58.189147,2025-12-09 19:40:22.992965,0 days 00:01:24.803818,"[64, 64]",[],[],2,True,0.1,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
34,0.49228007455214806,COMPLETE,2025-12-09 19:40:22.994993,2025-12-09 19:42:41.344811,0 days 00:02:18.349818,"[256, 256, 256]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-06,
35,0.48531053233614446,COMPLETE,2025-12-09 19:42:41.347047,2025-12-09 19:44:37.876420,0 days 00:01:56.529373,"[256, 256, 256]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,1e-07,
36,0.21758419036095988,COMPLETE,2025-12-09 19:44:37.878423,2025-12-09 19:45:39.050324,0 days 00:01:01.171901,"[384, 384, 384]",[],[],3,True,0.0,uniform,,32,False,,1e-05,minmax,False,Adam,mean,1e-07,
37,0.21758419036095988,COMPLETE,2025-12-09 19:45:39.050324,2025-12-09 19:47:18.807165,0 days 00:01:39.756841,"[448, 384, 256, 192]",[2],"[1, 2, 3]",4,False,0.1,decreasing,silu,96,True,768.0,0.001,L2,True,SGD,attention,1e-07,0.7
38,0.21758419036095988,COMPLETE,2025-12-09 19:47:18.813453,2025-12-09 19:48:26.962993,0 days 00:01:08.149540,"[256, 256, 256]",[],[],3,False,0.0,uniform,silu,32,False,256.0,5e-05,minmax,True,RMSprop,max,1e-07,
39,0.21758419036095988,COMPLETE,2025-12-09 19:48:26.963997,2025-12-09 19:48:53.603206,0 days 00:00:26.639209,"[256, 256, 256]",[],[],3,True,0.3,uniform,silu,128,False,128.0,0.0002,L2,False,Adam,last,1e-07,
40,0.22663785901535446,COMPLETE,2025-12-09 19:48:53.607226,2025-12-09 19:50:29.993571,0 days 00:01:36.386345,"[64, 128, 192, 256]","[1, 3]","[1, 2, 3]",4,False,0.5,increasing,,48,True,,0.0001,minmax,True,AdamW,mean,1e-05,
41,0.4846907320846351,COMPLETE,2025-12-09 19:50:29.993571,2025-12-09 19:52:32.252630,0 days 00:02:02.259059,"[256, 256, 256]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,0.0,
42,0.269565521177677,COMPLETE,2025-12-09 19:52:32.254633,2025-12-09 19:54:10.669181,0 days 00:01:38.414548,"[512, 512, 512]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,0.0,
43,0.47495002043216195,COMPLETE,2025-12-09 19:54:10.669181,2025-12-09 19:56:20.259538,0 days 00:02:09.590357,"[256, 256, 256]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,0.0,
44,0.4317498613560377,COMPLETE,2025-12-09 19:56:20.261651,2025-12-09 19:59:05.705643,0 days 00:02:45.443992,"[384, 384, 384]",[],[],3,True,0.0,uniform,silu,32,False,256.0,0.001,L2,True,Adam,last,0.0,
45,0.43541191953109915,COMPLETE,2025-12-09 19:59:05.706644,2025-12-09 20:01:03.231094,0 days 00:01:57.524450,"[256, 256, 256]",[],[],3,True,0.0,uniform,relu,32,False,256.0,0.001,L2,True,Adam,last,0.0,
46,0.22919924951421936,COMPLETE,2025-12-09 20:01:03.233110,2025-12-09 20:01:51.386890,0 days 00:00:48.153780,"[384, 256, 192]","[1, 2]",[],3,False,0.3,decreasing,gelu,64,False,256.0,1e-05,minmax,True,Adam,max,0.0,
47,0.37468688236703007,COMPLETE,2025-12-09 20:01:51.387915,2025-12-09 20:05:33.818406,0 days 00:03:42.430491,"[512, 512, 512, 512]",[],[],4,True,0.0,uniform,silu,32,False,256.0,0.001,L2,False,AdamW,last,0.0,
48,0.23510674599107947,COMPLETE,2025-12-09 20:05:33.819406,2025-12-09 20:07:33.188870,0 days 00:01:59.369464,"[384, 384, 384]",[],[],3,True,0.4,uniform,silu,48,True,256.0,0.001,L2,True,Adam,last,0.0,
49,0.3313451341836877,COMPLETE,2025-12-09 20:07:33.189871,2025-12-09 20:10:45.926310,0 days 00:03:12.736439,"[256, 256, 256]",[],[],3,True,0.0,uniform,relu,32,False,128.0,0.0002,L2,True,RMSprop,attention,0.0,
