number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
25,0.27393111410214954,COMPLETE,2025-12-10 00:10:18.162086,2025-12-10 00:12:20.554629,0 days 00:02:02.392543,"[384, 384, 384]",[],[],3,False,0.0,uniform,relu,32,False,512.0,0.001,L2,True,Adam,last,1e-05,
26,0.21758419036095988,COMPLETE,2025-12-10 00:12:20.556370,2025-12-10 00:14:09.596140,0 days 00:01:49.039770,"[640, 640]",[],[],2,False,0.0,uniform,relu,32,False,512.0,0.0002,minmax,True,Adam,mean,1e-05,
27,0.24443369996909015,COMPLETE,2025-12-10 00:14:09.596140,2025-12-10 00:15:14.506984,0 days 00:01:04.910844,"[384, 384]",[],[],2,True,0.2,uniform,relu,32,False,512.0,1e-05,L2,True,Adam,max,1e-05,
28,0.36154666234143595,COMPLETE,2025-12-10 00:15:14.507984,2025-12-10 00:18:23.728680,0 days 00:03:09.220696,"[512, 512, 512]",[2],[2],3,False,0.2,uniform,,128,False,,5e-05,L2,True,Adam,attention,1e-05,
29,0.23205165334466024,COMPLETE,2025-12-10 00:18:23.728680,2025-12-10 00:19:33.812543,0 days 00:01:10.083863,"[256, 256]",[],[],2,False,0.0,uniform,leakyrelu,32,False,256.0,2e-05,L2,True,Adam,last,0.0,
30,0.5198929770892788,COMPLETE,2025-12-10 00:19:33.813544,2025-12-10 00:21:03.388138,0 days 00:01:29.574594,[512],[],[],1,True,0.0,uniform,gelu,48,False,512.0,0.001,L2,True,Adam,last,1e-07,
31,0.5391932366097627,COMPLETE,2025-12-10 00:21:03.389140,2025-12-10 00:22:35.575263,0 days 00:01:32.186123,[512],[],[],1,True,0.0,uniform,gelu,48,False,512.0,0.001,L2,True,Adam,last,1e-07,
32,0.5188621583076308,COMPLETE,2025-12-10 00:22:35.577788,2025-12-10 00:24:43.310414,0 days 00:02:07.732626,[640],[],[],1,True,0.0,uniform,gelu,48,False,512.0,0.001,L2,True,Adam,last,1e-07,
33,0.21758419036095988,COMPLETE,2025-12-10 00:24:43.312426,2025-12-10 00:26:41.603519,0 days 00:01:58.291093,"[448, 448, 448, 448]",[],[],4,True,0.4,uniform,gelu,48,False,512.0,0.001,L2,True,SGD,last,1e-07,0.0
34,0.21758419036095988,COMPLETE,2025-12-10 00:26:41.604555,2025-12-10 00:27:20.920063,0 days 00:00:39.315508,[384],[],[],1,True,0.0,uniform,elu,48,False,768.0,0.001,minmax,False,Adam,mean,1e-07,
