number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,batch_size,bidirectional,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,activation,fc_hidden,momentum_sgd
14,0.45181259595111467,COMPLETE,2025-12-09 05:23:32.424296,2025-12-09 05:26:20.011964,0 days 00:02:47.587668,[64],[],[],1,True,0.0,decreasing,16,True,0.0002,minmax,False,AdamW,last,1e-07,leakyrelu,768.0,
15,0.4104208107529793,COMPLETE,2025-12-09 05:26:20.013022,2025-12-09 05:28:19.135806,0 days 00:01:59.122784,[64],[],[],1,True,0.0,decreasing,16,True,0.001,minmax,False,AdamW,last,1e-07,elu,768.0,
16,0.4435212659673911,COMPLETE,2025-12-09 05:28:19.136806,2025-12-09 05:31:10.411423,0 days 00:02:51.274617,[128],[],[],1,True,0.0,decreasing,16,True,0.0001,minmax,False,AdamW,last,1e-07,gelu,768.0,
17,0.21758419036095988,COMPLETE,2025-12-09 05:31:10.412429,2025-12-09 05:31:33.255745,0 days 00:00:22.843316,[128],[],[],1,True,0.0,decreasing,64,True,5e-05,minmax,False,AdamW,mean,1e-07,leakyrelu,512.0,
18,0.21758419036095988,COMPLETE,2025-12-09 05:31:33.256794,2025-12-09 05:33:33.371976,0 days 00:02:00.115182,"[64, 64]",[],[],2,False,0.0,uniform,16,True,0.0002,minmax,False,AdamW,max,1e-07,leakyrelu,128.0,
19,0.46423210383510877,COMPLETE,2025-12-09 05:33:33.373010,2025-12-09 05:34:50.073206,0 days 00:01:16.700196,[64],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
20,0.3389015860664533,COMPLETE,2025-12-09 05:34:50.074210,2025-12-09 05:36:39.798941,0 days 00:01:49.724731,"[192, 256]",[],[],2,False,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-06,silu,768.0,
21,0.486070581582435,COMPLETE,2025-12-09 05:36:39.799942,2025-12-09 05:37:56.000753,0 days 00:01:16.200811,[64],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
22,0.43710259640455973,COMPLETE,2025-12-09 05:37:56.002754,2025-12-09 05:39:08.825244,0 days 00:01:12.822490,[128],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
23,0.49241087895033375,COMPLETE,2025-12-09 05:39:08.826252,2025-12-09 05:40:32.316779,0 days 00:01:23.490527,[64],[],[],1,True,0.0,increasing,48,True,0.0002,minmax,False,AdamW,last,1e-07,silu,768.0,
