number,value,state,datetime_start,datetime_complete,duration,layer_sizes,dropout_layers,norm_layers,num_layers,native_mode,dropout,architecture_pattern,activation,batch_size,bidirectional,fc_hidden,lr,norm,norm_post_lstm,optimizer,pooling,weight_decay,momentum_sgd
24,0.2839027740223047,COMPLETE,2025-12-09 21:12:30.726735,2025-12-09 21:16:27.005762,0 days 00:03:56.279027,"[256, 384, 448, 512]",[],"[1, 2, 3]",4,False,0.0,increasing,leakyrelu,96,True,512.0,0.0002,L2,True,Adam,max,1e-05,
25,0.458292395934843,COMPLETE,2025-12-09 21:16:27.007256,2025-12-09 21:20:44.983485,0 days 00:04:17.976229,"[128, 192, 256]",[],"[1, 2]",3,False,0.0,increasing,gelu,32,True,256.0,0.0002,L2,True,Adam,max,1e-05,
26,0.25915537662971094,COMPLETE,2025-12-09 21:20:44.985575,2025-12-09 21:24:08.863054,0 days 00:03:23.877479,"[192, 256, 384]",[],"[1, 2]",3,False,0.0,increasing,relu,32,True,512.0,2e-05,minmax,True,Adam,max,1e-05,
27,0.4678179768672731,COMPLETE,2025-12-09 21:24:08.864054,2025-12-09 21:30:01.968395,0 days 00:05:53.104341,"[128, 192, 256, 384]",[],"[1, 2]",4,False,0.0,increasing,elu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
28,0.4056287866128666,COMPLETE,2025-12-09 21:30:01.970398,2025-12-09 21:35:48.493847,0 days 00:05:46.523449,"[192, 256, 384, 448]",[],"[1, 2]",4,False,0.0,increasing,elu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
29,0.4541174533997404,COMPLETE,2025-12-09 21:35:48.493847,2025-12-09 21:45:29.590317,0 days 00:09:41.096470,"[896, 896, 896, 896]",[],"[1, 2]",4,False,0.0,uniform,elu,32,False,512.0,0.0002,L2,True,Adam,max,1e-05,
30,0.3240161532357539,COMPLETE,2025-12-09 21:45:29.590317,2025-12-09 21:57:11.276854,0 days 00:11:41.686537,"[640, 640, 640, 640]",[],[],4,True,0.0,uniform,,96,True,,0.0002,L2,True,Adam,max,1e-05,
31,0.4733882497341111,COMPLETE,2025-12-09 21:57:11.277861,2025-12-09 22:01:30.524360,0 days 00:04:19.246499,"[128, 192, 256]",[],"[1, 2]",3,False,0.0,increasing,elu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
32,0.4365994792622243,COMPLETE,2025-12-09 22:01:30.525362,2025-12-09 22:06:20.916545,0 days 00:04:50.391183,"[128, 192, 256]",[],"[1, 2]",3,False,0.0,increasing,elu,32,True,512.0,5e-05,L2,True,Adam,max,1e-05,
33,0.24531395640161943,COMPLETE,2025-12-09 22:06:20.918545,2025-12-09 22:08:40.905882,0 days 00:02:19.987337,"[64, 128, 192, 256]",[],"[1, 2]",4,False,0.0,increasing,tanh,32,True,512.0,0.0002,L2,True,SGD,max,1e-05,0.0
34,0.21758419036095988,COMPLETE,2025-12-09 22:08:40.907908,2025-12-09 22:10:15.363785,0 days 00:01:34.455877,"[256, 384, 448]",[],"[1, 2]",3,False,0.0,increasing,elu,128,True,256.0,0.0002,minmax,False,Adam,mean,1e-05,
35,0.45558385693913994,COMPLETE,2025-12-09 22:10:15.364786,2025-12-09 22:15:26.476230,0 days 00:05:11.111444,"[192, 256, 384]",[],"[1, 2]",3,False,0.0,increasing,elu,32,True,768.0,2e-05,L2,True,Adam,max,1e-05,
36,0.21758419036095988,COMPLETE,2025-12-09 22:15:26.477231,2025-12-09 22:16:09.971222,0 days 00:00:43.493991,"[128, 192, 256, 384]",[],"[1, 2]",4,False,0.0,increasing,elu,128,False,512.0,1e-05,L2,False,Adam,max,1e-05,
37,0.2358723415869123,COMPLETE,2025-12-09 22:16:09.972222,2025-12-09 22:17:53.982249,0 days 00:01:44.010027,"[64, 128, 192]",[],"[1, 2]",3,False,0.0,increasing,relu,32,True,512.0,5e-05,L2,True,SGD,mean,1e-07,0.0
38,0.21758419036095988,COMPLETE,2025-12-09 22:17:53.983753,2025-12-09 22:20:44.966574,0 days 00:02:50.982821,"[448, 448, 448]",[1],[2],3,False,0.3,uniform,leakyrelu,32,True,128.0,0.0002,minmax,False,Adam,max,1e-05,
39,0.25968625657577304,COMPLETE,2025-12-09 22:20:44.967585,2025-12-09 22:22:05.095194,0 days 00:01:20.127609,"[192, 256, 384, 448]","[2, 3]","[1, 3]",4,False,0.3,increasing,tanh,96,False,768.0,0.0001,L2,True,Adam,attention,0.0,
40,0.21758419036095988,COMPLETE,2025-12-09 22:22:05.097194,2025-12-09 22:24:24.448090,0 days 00:02:19.350896,"[384, 448, 512]",[],"[1, 2]",3,False,0.0,increasing,,64,True,,0.0002,L2,False,RMSprop,max,1e-05,
41,0.46917688597989426,COMPLETE,2025-12-09 22:24:24.449259,2025-12-09 22:29:19.107838,0 days 00:04:54.658579,"[128, 192, 256]",[],"[1, 2]",3,False,0.0,increasing,elu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
42,0.46013080855084343,COMPLETE,2025-12-09 22:29:19.108850,2025-12-09 22:33:26.625783,0 days 00:04:07.516933,"[128, 192, 256]",[],"[1, 2]",3,False,0.0,increasing,elu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
43,0.48663518793400523,COMPLETE,2025-12-09 22:33:26.626786,2025-12-09 22:37:21.151725,0 days 00:03:54.524939,"[256, 384]",[],[1],2,False,0.0,increasing,gelu,32,True,512.0,0.0002,L2,True,Adam,max,1e-05,
44,0.21758419036095988,COMPLETE,2025-12-09 22:37:21.153981,2025-12-09 22:38:13.621817,0 days 00:00:52.467836,"[256, 384]",[],[],2,False,0.0,increasing,gelu,128,True,512.0,0.0002,L2,True,SGD,max,1e-07,0.8
45,0.4822753611503835,COMPLETE,2025-12-09 22:38:13.623993,2025-12-09 22:43:59.881571,0 days 00:05:46.257578,"[448, 512]",[],[1],2,False,0.0,increasing,gelu,48,True,128.0,0.0001,L2,True,Adam,max,1e-05,
46,0.21758419036095988,COMPLETE,2025-12-09 22:43:59.882582,2025-12-09 22:44:46.055983,0 days 00:00:46.173401,"[384, 384]",[],[],2,True,0.3,uniform,gelu,48,False,128.0,0.0001,L2,True,RMSprop,attention,0.0,
47,0.21758419036095988,COMPLETE,2025-12-09 22:44:46.056984,2025-12-09 22:46:39.511863,0 days 00:01:53.454879,"[448, 512]",[1],[1],2,False,0.1,increasing,gelu,48,True,128.0,0.0001,minmax,True,Adam,max,1e-05,
48,0.21758419036095988,COMPLETE,2025-12-09 22:46:39.512887,2025-12-09 22:48:12.631889,0 days 00:01:33.119002,"[384, 448]",[],[1],2,False,0.0,increasing,gelu,48,True,128.0,0.0001,L2,True,Adam,mean,1e-05,
49,0.21758419036095988,COMPLETE,2025-12-09 22:48:12.633393,2025-12-09 22:51:20.494263,0 days 00:03:07.860870,"[448, 512]",[1],[1],2,False,0.3,increasing,gelu,16,True,128.0,0.0001,L2,False,Adam,max,1e-07,
