hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac
"[640]","[]","[]",0.15,gelu,640,128,1,mean,minmax,SGD,0.90,0.005,0,True,0.90
"[192, 96, 64]","[1, 2]","[1]",0.40,elu,192,64,3,mean,minmax,AdamW,0.0,0.0001,0.00001,True,0.90
"[448, 224, 112, 64]","[]","[1, 2, 3]",0.10,silu,448,32,4,max,minmax,RMSprop,0.0,0.0008,0,True,0.90
"[1152, 576]","[1]","[1]",0.25,leakyrelu,1152,64,2,mean,L2,SGD,0.90,0.005,0.0005,True,0.70
"[256, 512, 1024, 1024]","[1, 2, 3]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,AdamW,0.0,0.0002,0.0001,True,0.80
"[768, 384, 192, 96]","[1, 2, 3]","[]",0.0,gelu,768,128,4,mean,L2,Adam,0.0,0.0005,0,True,0.75
"[128]","[]","[]",0.0,relu,128,256,1,max,minmax,AdamW,0.0,0.0003,0.0001,True,0.85
"[512, 512, 512]","[1, 2]","[1, 2]",0.30,elu,512,64,3,mean,minmax,RMSprop,0.0,0.0004,0.00001,True,0.60
"[896, 896, 896, 896]","[1, 2, 3]","[1, 2, 3]",0.25,silu,896,32,4,mean,L2,AdamW,0.0,0.0001,0.0002,True,0.80
"[320, 640]","[1]","[1]",0.20,gelu,640,96,2,max,minmax,Adam,0.0,0.001,0,False,0.0
"[1024, 512, 256]","[1, 2]","[1, 2]",0.35,relu,1024,64,3,mean,minmax,RMSprop,0.0,0.0006,0.00001,True,0.85
"[768]","[]","[]",0.10,elu,768,32,1,mean,L2,AdamW,0.0,0.0007,0.00005,True,0.70
"[224, 448, 896, 896]","[1, 2, 3]","[1, 2]",0.30,silu,896,32,4,mean,minmax,AdamW,0.0,0.0002,0.0001,True,0.75
"[1280, 640, 320, 160]","[1, 2, 3]","[2, 3]",0.20,gelu,1280,48,4,mean,L2,Adam,0.0,0.0002,0.00001,True,0.70
"[512, 256]","[1]","[]",0.0,leakyrelu,512,192,2,mean,minmax,SGD,0.90,0.02,0,True,0.60
"[96, 192, 384, 768]","[1, 2, 3]","[1, 2, 3]",0.25,elu,768,32,4,mean,minmax,AdamW,0.00,0.0001,0.0002,True,0.90
"[640, 640]","[1]","[1]",0.15,gelu,640,64,2,mean,L2,RMSprop,0.0,0.0003,0.00001,True,0.80
"[1152, 1152, 576]","[1, 2]","[1, 2]",0.40,silu,1152,32,3,mean,minmax,Adam,0.0,0.0002,0,True,0.70
"[384, 384, 384, 384]","[1, 3]","[1, 3]",0.20,relu,384,128,4,max,L2,AdamW,0.0,0.0005,0.0001,True,0.85
"[512, 1024, 1024]","[1, 2]","[1, 2]",0.30,elu,1024,96,3,mean,minmax,RMSprop,0.0,0.0008,0.00001,True,0.75
"[896, 448, 224]","[2]","[1, 2]",0.25,gelu,896,64,3,mean,L2,SGD,0.90,0.01,0.0001,True,0.90
"[256, 256, 512, 512]","[1, 2, 3]","[1, 2, 3]",0.45,silu,512,32,4,mean,minmax,AdamW,0.0,0.0002,0.00005,True,0.60
"[192]","[]","[]",0.0,tanh,192,256,1,mean,minmax,Adam,0.0,0.0008,0,True,0.70
"[1280, 1280, 1280]","[1, 2]","[1, 2]",0.20,gelu,1280,32,3,mean,L2,AdamW,0.0,0.0001,0.0002,True,0.80
"[640, 320, 160, 80]","[1, 2, 3]","[1, 2, 3]",0.30,elu,640,64,4,max,minmax,RMSprop,0.0,0.0004,0,True,0.90
"[768, 768, 768]","[1, 2]","[]",0.0,relu,768,96,3,mean,minmax,AdamW,0.0,0.0003,0.0001,True,0.75
"[512, 512, 256, 128]","[1, 2, 3]","[2]",0.35,silu,512,128,4,mean,L2,Adam,0.0,0.0002,0.00001,True,0.85
"[1024]","[]","[]",0.25,leakyrelu,1024,64,1,mean,minmax,RMSprop,0.0,0.0006,0.00001,True,0.80
"[224, 448, 896, 448]","[1, 2, 3]","[1, 2]",0.20,gelu,896,48,4,mean,minmax,AdamW,0.0,0.0002,0.0001,True,0.70
"[1152, 576, 288, 144]","[1, 2, 3]","[1, 2]",0.15,relu,1152,96,4,mean,L2,SGD,0.90,0.02,0,True,0.60
"[640, 640, 640, 320]","[1, 2, 3]","[1, 2, 3]",0.25,elu,640,32,4,mean,minmax,RMSprop,0.0,0.0008,0.00001,True,0.85
"[896, 768, 512, 448]","[2]","[1, 2, 3]",0.30,silu,896,32,4,mean,L2,AdamW,0.0,0.0001,0.0002,True,0.80
"[384, 768]","[1]","[1]",0.10,gelu,768,128,2,max,minmax,Adam,0.0,0.0005,0,False,0.0
"[1280, 640]","[1]","[]",0.45,silu,1280,64,2,mean,minmax,AdamW,0.0,0.0002,0.00005,True,0.75
