num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,best_f1,source_params
1,[256],False,minmax,0.0,[],[],last,128.0,gelu,True,96,Adam,,0.0002,1e-06,True,0.73498,Preset_11
1,[1024],False,L2,0.0,[],[],last,1024.0,silu,True,32,AdamW,,0.0002,1e-06,True,0.7326,Preset_3
1,[448],False,L2,0.0,[],[],last,1024.0,silu,True,32,Adam,,0.001,1e-06,True,0.69888,Preset_1
4,"[64, 160, 384, 896]",False,,0.25,"[1, 3]","[1, 2, 3]",last,256.0,gelu,False,64,AdamW,,0.0001,1e-06,False,0.69255,Preset_25
1,[960],True,,0.0,[],[],last,960.0,relu,True,128,SGD,0.9,0.0008,1e-06,True,0.68132,Preset_17
