number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-08 20:55:24.035252,2025-10-08 20:56:06.080616,0 days 00:00:42.045364,"[96, 96, 96]","[1, 2, 4]","[False, False, True]","[0.1, 0.0, 0.1]",leakyrelu,16,uniform,3,pow2,64.0,3,0.0001,0.1,L2,3,SGD,attention,False,0.0,False
1,0.2175904889576118,COMPLETE,2025-10-08 20:56:06.082747,2025-10-08 20:56:35.915986,0 days 00:00:29.833239,"[128, 192, 256, 384, 512]","[2, 3, 4, 5, 6]","[True, False, False, True, False]","[0.3, 0.0, 0.0, 0.3, 0.3]",leakyrelu,64,increasing,1,linear,64.0,9,0.0005,,L2,5,AdamW,attention,True,2e-07,False
2,0.4212527789724589,COMPLETE,2025-10-08 20:56:35.916717,2025-10-08 20:56:56.554754,0 days 00:00:20.638037,"[512, 640]","[2, 4]","[True, False]","[0.0, 0.0]",hardswish,128,increasing,1,linear,128.0,2,0.0005,,L2,2,AdamW,max,True,2e-06,False
3,0.3661939465407542,COMPLETE,2025-10-08 20:56:56.556907,2025-10-08 20:57:54.646942,0 days 00:00:58.090035,"[768, 896]","[2, 4]","[False, True]","[0.0, 0.0]",prelu,64,increasing,2,linear,,3,0.001,0.0,minmax,2,SGD,max,True,2e-06,False
4,0.2164048865619546,PRUNED,2025-10-08 20:57:54.648951,2025-10-08 20:58:03.361073,0 days 00:00:08.712122,[512],[2],[True],[0.2],mish,96,increasing,2,pow2,64.0,3,0.0001,0.5,minmax,1,SGD,max,True,2e-06,True
5,0.2175904889576118,COMPLETE,2025-10-08 20:58:03.362075,2025-10-08 20:59:10.344494,0 days 00:01:06.982419,"[896, 896, 896]","[3, 4, 5]","[False, False, True]","[0.0, 0.0, 0.3]",gelu,96,uniform,1,linear,512.0,7,0.0005,,minmax,3,Adam,max,True,2e-06,False
6,0.0855855855855855,PRUNED,2025-10-08 20:59:10.346506,2025-10-08 20:59:24.061315,0 days 00:00:13.714809,[768],[2],[False],[0.0],leakyrelu,32,increasing,2,pow2,128.0,7,0.0001,0.5,L2,1,SGD,last,False,2e-06,True
7,0.2208994708994709,PRUNED,2025-10-08 20:59:24.061696,2025-10-08 21:01:32.372963,0 days 00:02:08.311267,"[768, 768, 768, 768, 768, 768]","[1, 2, 4, 8, 16, 32]","[True, False, False, True, False, True]","[0.0, 0.0, 0.2, 0.0, 0.2, 0.2]",mish,64,uniform,3,pow2,256.0,7,1e-05,,minmax,6,RMSprop,attention,True,2e-07,False
8,0.2175904889576118,COMPLETE,2025-10-08 21:01:32.373967,2025-10-08 21:01:45.477113,0 days 00:00:13.103146,"[96, 96, 96, 96]","[1, 2, 4, 8]","[True, False, True, False]","[0.0, 0.2, 0.2, 0.2]",hardswish,96,uniform,2,pow2,512.0,2,0.0002,,minmax,4,RMSprop,attention,False,2e-07,False
9,0.3544140418232387,COMPLETE,2025-10-08 21:01:45.477113,2025-10-08 21:02:40.491475,0 days 00:00:55.014362,"[96, 96, 96, 96, 96, 96]","[2, 4, 8, 16, 32, 64]","[True, False, True, False, False, False]","[0.0, 0.0, 0.1, 0.1, 0.1, 0.0]",prelu,16,uniform,1,pow2,,9,0.0005,0.2,minmax,6,SGD,last,True,5e-07,False
10,0.2176165803108808,PRUNED,2025-10-08 21:02:40.493565,2025-10-08 21:02:44.663837,0 days 00:00:04.170272,"[192, 128]","[1, 4]","[True, True]","[0.0, 0.0]",elu,128,decreasing,1,linear,128.0,2,0.002,,L2,2,AdamW,mean,False,1e-05,True
