number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-08 21:52:20.959756,2025-10-08 21:53:34.552709,0 days 00:01:13.592953,"[640, 512, 384, 256]","[1, 2, 3, 4]","[True, False, True, False]","[0.0, 0.0, 0.0, 0.2]",prelu,96,decreasing,2,linear,512.0,5,0.002,,L2,4,AdamW,mean,True,1e-06,True
1,0.27353282358699,COMPLETE,2025-10-08 21:53:34.552709,2025-10-08 21:53:47.439483,0 days 00:00:12.886774,"[64, 64]","[2, 4]","[True, True]","[0.0, 0.1]",relu,128,uniform,3,linear,,9,0.0002,0.5,minmax,2,SGD,last,True,1e-05,False
2,0.2713603304553122,COMPLETE,2025-10-08 21:53:47.441499,2025-10-08 21:56:40.218368,0 days 00:02:52.776869,"[896, 768, 640]","[2, 3, 4]","[False, False, False]","[0.0, 0.0, 0.0]",hardswish,16,decreasing,2,linear,128.0,5,0.002,,L2,3,Adam,max,False,2e-06,False
3,0.2175904889576118,COMPLETE,2025-10-08 21:56:40.220376,2025-10-08 22:02:27.444744,0 days 00:05:47.224368,"[768, 640, 512]","[3, 4, 5]","[False, True, True]","[0.0, 0.0, 0.2]",silu,32,decreasing,3,linear,512.0,9,0.0001,,minmax,3,Adam,attention,False,2e-06,True
4,0.4289890645727828,COMPLETE,2025-10-08 22:02:27.446777,2025-10-08 22:09:30.294255,0 days 00:07:02.847478,"[896, 768, 640]","[2, 4, 8]","[True, False, False]","[0.0, 0.2, 0.0]",silu,128,decreasing,2,pow2,512.0,9,1e-05,,L2,3,Adam,max,False,1e-06,False
5,0.3874472871377224,COMPLETE,2025-10-08 22:09:30.296324,2025-10-08 22:11:24.031720,0 days 00:01:53.735396,"[512, 384, 256]","[3, 4, 5]","[False, True, True]","[0.0, 0.2, 0.2]",elu,16,decreasing,2,linear,128.0,3,1e-05,,minmax,3,AdamW,max,False,5e-07,False
6,0.21875,PRUNED,2025-10-08 22:11:24.034860,2025-10-08 22:11:54.434157,0 days 00:00:30.399297,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[False, True, True, False, False]","[0.3, 0.3, 0.0, 0.0, 0.0]",gelu,64,decreasing,2,linear,128.0,2,0.0001,,minmax,5,AdamW,mean,True,1e-06,True
7,0.0855855855855855,PRUNED,2025-10-08 22:11:54.436168,2025-10-08 22:12:00.501362,0 days 00:00:06.065194,"[384, 256]","[3, 6]","[False, False]","[0.0, 0.0]",gelu,96,decreasing,1,linear,128.0,3,0.0001,0.7000000000000001,minmax,2,SGD,attention,False,1e-05,True
8,0.178030303030303,PRUNED,2025-10-08 22:12:00.502362,2025-10-08 22:13:05.522467,0 days 00:01:05.020105,"[192, 256, 384, 512, 640]","[2, 4, 8, 16, 32]","[False, True, True, True, False]","[0.2, 0.2, 0.0, 0.0, 0.2]",gelu,64,increasing,2,pow2,128.0,5,0.0005,,minmax,5,AdamW,mean,True,0.0,True
9,0.2175904889576118,COMPLETE,2025-10-08 22:13:05.523473,2025-10-08 22:14:17.008014,0 days 00:01:11.484541,"[64, 96, 128, 192, 256, 384]","[1, 2, 4, 8, 16, 32]","[True, True, True, True, False, True]","[0.0, 0.2, 0.2, 0.2, 0.0, 0.0]",silu,32,increasing,2,pow2,,9,0.0005,,minmax,6,RMSprop,attention,False,1e-07,False
