id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
15,20260111_181512,baseline_OUMVLP_LOW30.csv,30%,Preset_23,MLP,42,41,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11703,1.75789,0.52273,0.483,"[0.58537, 0.36364, 0.5]",297,0.15821,1.70288,0.63636,0.60877,"[0.68085, 0.54545, 0.6]",175,COMPLETED,11.774
16,20260111_181512,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_23,MLP,42,48,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11293,1.99699,0.5,0.43168,"[0.65217, 0.28571, 0.35714]",294,0.20536,1.93938,0.54545,0.50084,"[0.68293, 0.35294, 0.46667]",133,COMPLETED,12.725
17,20260111_181512,gaitgl_GREW_LOW30.csv,30%,Preset_23,MLP,42,82,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11587,2.60411,0.43182,0.33333,"[0.5, 0.0, 0.5]",224,0.68487,1.4986,0.45455,0.40212,"[0.52381, 0.11111, 0.57143]",18,COMPLETED,9.371
18,20260111_181512,gaitgl_LOW30.csv,30%,Preset_23,MLP,42,42,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11356,2.25721,0.31818,0.27871,"[0.39024, 0.14286, 0.30303]",330,0.43946,1.47951,0.45455,0.45589,"[0.47368, 0.46154, 0.43243]",64,COMPLETED,13.413
19,20260111_181512,gaitgl_OUMVLP_LOW30.csv,30%,Preset_23,MLP,42,48,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.1157,2.35084,0.47727,0.40337,"[0.57143, 0.15385, 0.48485]",358,0.22165,2.16021,0.54545,0.45004,"[0.65217, 0.18182, 0.51613]",161,COMPLETED,15.106
20,20260111_181512,gaitpart_GREW_LOW30.csv,30%,Preset_23,MLP,42,49,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11269,1.84436,0.47727,0.4016,"[0.55319, 0.2, 0.45161]",259,0.1671,1.53457,0.56818,0.54167,"[0.57143, 0.42857, 0.625]",146,COMPLETED,10.778
21,20260111_181512,gaitpart_OUMVLP_LOW30.csv,30%,Preset_23,MLP,42,39,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11799,2.15059,0.45455,0.33238,"[0.58333, 0.0, 0.41379]",311,0.68077,1.28806,0.52273,0.4411,"[0.6383, 0.125, 0.56]",26,COMPLETED,12.686
22,20260111_181512,gaitset_GREW_LOW30.csv,30%,Preset_23,MLP,42,66,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11863,1.75239,0.52273,0.44011,"[0.59091, 0.2, 0.52941]",205,0.22936,1.80277,0.59091,0.56909,"[0.61905, 0.5, 0.58824]",87,COMPLETED,8.752
23,20260111_181512,gaitset_LOW30.csv,30%,Preset_23,MLP,42,36,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.1194,2.09529,0.47727,0.39272,"[0.59574, 0.15385, 0.42857]",339,0.65955,1.33839,0.54545,0.45874,"[0.63415, 0.15385, 0.58824]",32,COMPLETED,13.333
24,20260111_181512,gaitset_OUMVLP_LOW30.csv,30%,Preset_23,MLP,42,47,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11427,1.88681,0.54545,0.45004,"[0.65217, 0.18182, 0.51613]",298,0.27372,1.69232,0.59091,0.52251,"[0.68182, 0.28571, 0.6]",86,COMPLETED,12.405
25,20260111_181512,gln_phase1_LOW30.csv,30%,Preset_23,MLP,42,48,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11886,1.97438,0.47727,0.36797,"[0.61905, 0.0, 0.48485]",268,0.16459,1.99635,0.5,0.44578,"[0.61905, 0.26667, 0.45161]",149,COMPLETED,11.4
26,20260111_181512,gln_phase2_LOW30.csv,30%,Preset_23,MLP,42,50,"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.11576,1.83748,0.47727,0.40513,"[0.61538, 0.14286, 0.45714]",315,0.12438,1.87192,0.56818,0.47407,"[0.7, 0.16667, 0.55556]",302,COMPLETED,14.152

27,20260111_181512,baseline_CASIAB_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11488,2.18392,0.45455,0.38329,"[0.57143, 0.16667, 0.41176]",394,0.16754,2.70164,0.5,0.46236,"[0.63415, 0.35294, 0.4]",233,COMPLETED,13.03
28,20260111_181512,baseline_OUMVLP_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11592,1.81209,0.5,0.48544,"[0.51163, 0.42857, 0.51613]",547,0.12743,1.96437,0.54545,0.52766,"[0.55, 0.46154, 0.57143]",378,COMPLETED,18.858
29,20260111_181512,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11895,2.28267,0.36364,0.32572,"[0.3913, 0.22222, 0.36364]",312,0.69029,1.24599,0.47727,0.4626,"[0.4878, 0.4, 0.5]",52,COMPLETED,9.88
30,20260111_181512,gaitgl_GREW_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11257,2.09628,0.40909,0.3551,"[0.43902, 0.18182, 0.44444]",318,0.16964,2.02034,0.52273,0.43697,"[0.59574, 0.18182, 0.53333]",193,COMPLETED,9.88
31,20260111_181512,gaitgl_LOW30.csv,30%,Preset_14,MLP,42,128,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.119,1.97329,0.43182,0.31481,"[0.5, 0.0, 0.44444]",329,0.14827,2.27104,0.5,0.37566,"[0.57143, 0.0, 0.55556]",198,COMPLETED,10.196
32,20260111_181512,gaitgl_OUMVLP_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.14042,2.07314,0.5,0.4205,"[0.59091, 0.2, 0.47059]",1338,0.16916,2.11569,0.54545,0.46254,"[0.61538, 0.22222, 0.55]",1014,STOPPED,43.746
33,20260111_181512,gaitpart_GREW_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11321,2.06844,0.45455,0.37729,"[0.56522, 0.16667, 0.4]",695,0.12701,2.14257,0.52273,0.45819,"[0.6383, 0.30769, 0.42857]",668,COMPLETED,22.975
34,20260111_181512,gaitpart_OUMVLP_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11659,1.63219,0.54545,0.48021,"[0.65217, 0.25, 0.53846]",1325,0.1218,1.32936,0.68182,0.61389,"[0.70833, 0.4, 0.73333]",1082,STOPPED,45.222
35,20260111_181512,gaitset_GREW_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11506,1.72379,0.5,0.40671,"[0.6383, 0.18182, 0.4]",375,0.43968,1.45855,0.54545,0.51587,"[0.61905, 0.42857, 0.5]",102,COMPLETED,12.688
36,20260111_181512,gaitset_LOW30.csv,30%,Preset_14,MLP,42,256,"[160, 320, 640]",[2],"[1, 2]",0.2,relu,640,128,3,mean,L2,AdamW,,0.0002,1e-07,False,,0.11846,2.02757,0.45455,0.37088,"[0.57692, 0.25, 0.28571]",281,0.12092,2.11211,0.5,0.46734,"[0.57778, 0.4, 0.42424]",219,COMPLETED,9.255
