id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
15,20260111_181512,baseline_OUMVLP_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.14317,2.32879,0.45455,0.33333,"[0.45, 0.0, 0.55]",443,0.14448,1.79993,0.56818,0.56283,"[0.5641, 0.54545, 0.57895]",343,STOPPED,21.57
16,20260111_181512,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.10457,2.41325,0.40909,0.34222,"[0.5, 0.18182, 0.34483]",131,0.21085,2.20901,0.47727,0.44327,"[0.51163, 0.33333, 0.48485]",70,COMPLETED,6.496
17,20260111_181512,gaitgl_GREW_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.27615,2.03682,0.34091,0.24019,"[0.4898, 0.0, 0.23077]",692,0.26977,1.72659,0.54545,0.49542,"[0.55, 0.30769, 0.62857]",139,STOPPED,33.922
18,20260111_181512,gaitgl_LOW70.csv,70%,Preset_50,MLP,42,128,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.10564,2.13638,0.45455,0.31979,"[0.59574, 0.0, 0.36364]",144,0.39047,1.58782,0.45455,0.45584,"[0.46154, 0.46154, 0.44444]",17,COMPLETED,7.089
19,20260111_181512,gaitgl_OUMVLP_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.7813,1.43192,0.43182,0.34559,"[0.59574, 0.13333, 0.30769]",354,0.72291,1.23575,0.43182,0.3674,"[0.41176, 0.15385, 0.53659]",210,STOPPED,17.856
20,20260111_181512,gaitpart_GREW_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.16807,1.84069,0.5,0.43435,"[0.625, 0.30769, 0.37037]",215,0.20525,1.85769,0.54545,0.49179,"[0.6087, 0.33333, 0.53333]",115,STOPPED,10.744
21,20260111_181512,gaitpart_OUMVLP_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.59056,1.74013,0.38636,0.33578,"[0.42105, 0.15385, 0.43243]",394,0.66245,1.39965,0.54545,0.4582,"[0.55556, 0.2, 0.61905]",275,STOPPED,19.648
22,20260111_181512,gaitset_GREW_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.10164,2.08085,0.5,0.34412,"[0.60377, 0.0, 0.42857]",373,0.12653,1.57977,0.65909,0.63211,"[0.68421, 0.54545, 0.66667]",286,COMPLETED,18.537
23,20260111_181512,gaitset_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.10592,2.76809,0.40909,0.29934,"[0.55319, 0.0, 0.34483]",99,0.43853,1.85099,0.47727,0.41444,"[0.6087, 0.25, 0.38462]",33,COMPLETED,5.007
24,20260111_181512,gaitset_OUMVLP_LOW70.csv,70%,Preset_50,MLP,42,256,"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,nan,Adam,,0.0008,0.0,False,,0.39401,1.99046,0.38636,0.37083,"[0.3125, 0.3, 0.5]",1039,0.57793,1.41373,0.54545,0.53535,"[0.54545, 0.45455, 0.60606]",475,STOPPED,52.559
