target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
gaitpart_GREW.csv,0.51875,0.65471,0.07801,0.54341,0.67517,0.06129,0.02466,0.02046
gaitgl.csv,0.46109,0.61456,0.08268,0.46562,0.57607,0.06954,0.00453,-0.03849
gaitgl_OUMVLP.csv,0.52422,0.64052,0.09438,0.52766,0.63186,0.09256,0.00344,-0.00866
gaitgl_GREW_BNNeck.csv,0.4916,0.65156,0.06275,0.49452,0.60317,0.06986,0.00292,-0.04839
gln_phase1.csv,0.55447,0.6642,0.06546,0.55728,0.64271,0.06181,0.00281,-0.02149
gaitset.csv,0.47779,0.55663,0.05102,0.47992,0.57061,0.04518,0.00213,0.01398
gaitgl_GREW.csv,0.41428,0.51576,0.0484,0.41522,0.49376,0.03583,0.00094,-0.022
gaitset_GREW.csv,0.49961,0.62283,0.07577,0.4992,0.5969,0.06414,-0.00042,-0.02593
baseline_OUMVLP.csv,0.58787,0.67818,0.06694,0.5842,0.68662,0.08017,-0.00367,0.00844
gln_phase2.csv,0.47149,0.61457,0.04613,0.46353,0.58519,0.05736,-0.00796,-0.02938
baseline_CASIAB.csv,0.51337,0.63049,0.05387,0.49603,0.61803,0.05027,-0.01735,-0.01246
gaitpart_OUMVLP.csv,0.53068,0.64373,0.0902,0.50961,0.67107,0.10849,-0.02107,0.02734
gaitset_OUMVLP.csv,0.47324,0.62014,0.08732,0.44779,0.57388,0.10154,-0.02545,-0.04626
