id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,n_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
28,20250824_194905,gln_phase2.csv,baseline_OUMVLP.csv,MLP,42,mean,minmax,16,2,512,leakyrelu,0.5,0.001,0.0001,False,,1,2,0.00223,0.47727,129,0.40322,0.44314,111,0.08104

29,20250824_195047,baseline_CASIAB.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00938,0.56818,1373,0.47756,0.55307,519,0.18017
30,20250824_195047,baseline_OUMVLP.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00747,0.59091,1612,0.55498,0.61849,676,0.10942
31,20250824_195047,gaitgl.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00996,0.47727,2114,0.40404,0.44444,1730,0.0385
32,20250824_195047,gaitgl_GREW.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00901,0.47727,1361,0.36317,0.4153,934,0.03466
33,20250824_195047,gaitgl_GREW_BNNeck.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00845,0.52273,1083,0.43167,0.55949,783,0.0322
34,20250824_195047,gaitgl_OUMVLP.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00935,0.56818,2209,0.52365,0.56165,1270,0.07305
35,20250824_195047,gaitpart.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00984,0.83333,497,0.6,0.6,177,0.17856
36,20250824_195047,gaitpart_GREW.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00963,0.5,850,0.3633,0.44949,327,0.17679
37,20250824_195047,gaitpart_OUMVLP.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00929,0.56818,930,0.4211,0.52772,327,0.19502
38,20250824_195047,gaitset.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00935,0.45455,1865,0.37729,0.44875,1070,0.06499
39,20250824_195047,gaitset_GREW.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00647,0.54545,1016,0.38973,0.48381,472,0.06211
40,20250824_195047,gaitset_OUMVLP.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00869,0.47727,1216,0.36655,0.39683,717,0.04905
41,20250824_195047,gln_phase1.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00776,0.52273,1378,0.51515,0.54612,478,0.16394
42,20250824_195047,gln_phase2.csv,gaitgl.csv,MLP,42,mean,minmax,128,2,512,silu,0.3,0.0001,1e-06,True,0.8,1,1,0.00972,0.45455,1281,0.38911,0.40827,882,0.02671

43,20250824_195509,baseline_CASIAB.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00433,0.54545,1481,0.38538,0.42424,1246,0.0121
44,20250824_195509,baseline_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00476,0.45455,1474,0.38364,0.38364,1296,0.00948
45,20250824_195509,gaitgl.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00451,0.47727,1250,0.47051,0.51686,670,0.18431
46,20250824_195509,gaitgl_GREW.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00432,0.38636,858,0.25617,0.26877,528,0.0405
47,20250824_195509,gaitgl_GREW_BNNeck.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00419,0.47727,1044,0.42041,0.4433,506,0.19885
48,20250824_195509,gaitgl_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00473,0.54545,2303,0.48673,0.53709,1516,0.14369
49,20250824_195509,gaitpart.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00415,0.5,1559,0.25,0.45238,1123,0.16883
50,20250824_195509,gaitpart_GREW.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00437,0.43182,1233,0.39627,0.48899,754,0.08116
51,20250824_195509,gaitpart_OUMVLP.csv,gaitgl_GREW.csv,MLP,42,max,L2,128,2,128,gelu,0.2,0.0001,0.0,True,0.85,1,2,0.00396,0.5,2210,0.37652,0.47298,1495,0.13338
