hidden_layers,num_layers,base_dim,activation,dropout_rate,pooling,norm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer
"[768, 512, 256]",3,768,silu,0.4,mean,L2,64,AdamW,,0.0002,1e-05,True,0.7,"[1, 2, 3]","[2, 3]"
"[896, 640, 384, 192]",4,896,leakyrelu,0.45,attention,minmax,80,AdamW,,0.0001,5e-05,True,0.85,"[1, 2, 3]","[1, 2]"
"[1024, 768, 512, 256]",4,1024,gelu,0.5,max,L2,96,RMSprop,,0.0001,1e-05,True,0.85,"[2, 3]","[1, 3]"
"[640, 448, 256]",3,640,relu,0.35,mean,minmax,64,RMSprop,,0.00008,5e-05,True,0.7,"[1, 2]","[1, 2, 3]"
"[512, 384, 256]",3,512,silu,0.55,attention,L2,80,SGD,0.9,0.003,1e-05,True,0.75,"[1, 2, 3]","[2, 3]"
"[1280, 896, 512, 256]",4,1280,silu,0.4,max,minmax,96,SGD,0.95,0.005,0.0,True,0.8,"[1, 3]","[1, 2]"
"[896, 512, 256]",3,896,leakyrelu,0.45,mean,L2,64,AdamW,,0.0002,1e-05,True,0.85,"[2, 3]","[1, 3]"
"[768, 384, 256]",3,768,gelu,0.5,attention,minmax,80,AdamW,,0.0001,5e-05,True,0.7,"[1, 2]","[1, 2, 3]"
"[1024, 640, 320]",3,1024,relu,0.35,max,L2,96,RMSprop,,0.0001,1e-05,True,0.75,"[1, 2, 3]","[2, 3]"
"[768, 512, 256]",3,768,elu,0.55,mean,minmax,64,RMSprop,,0.00008,5e-05,True,0.8,"[1, 3]","[1, 2]"
"[896, 640, 384, 192]",4,896,silu,0.4,attention,L2,80,SGD,0.9,0.003,1e-05,True,0.85,"[2, 3]","[1, 3]"
"[1024, 768, 512, 256]",4,1024,leakyrelu,0.45,max,minmax,96,SGD,0.95,0.005,0.0,True,0.7,"[1, 2]","[1, 2, 3]"
"[640, 448, 256]",3,640,gelu,0.5,mean,L2,64,AdamW,,0.0002,1e-05,True,0.75,"[1, 2, 3]","[2, 3]"
"[512, 384, 256]",3,512,relu,0.35,attention,minmax,80,AdamW,,0.0001,5e-05,True,0.8,"[1, 3]","[1, 2]"
"[1280, 896, 512, 256]",4,1280,leakyrelu,0.55,max,L2,96,RMSprop,,0.0001,1e-05,True,0.85,"[2, 3]","[1, 3]"
"[896, 512, 256]",3,896,silu,0.4,mean,minmax,64,RMSprop,,0.00008,5e-05,True,0.7,"[1, 2]","[1, 2, 3]"
"[768, 384, 256]",3,768,leakyrelu,0.45,attention,L2,80,SGD,0.9,0.003,1e-05,True,0.75,"[1, 2, 3]","[2, 3]"

"[896, 576, 288]",3,896,silu,0.45,attention,minmax,80,AdamW,,0.001,5e-05,False,,"[1, 2, 3]","[1, 2]"
"[640, 512]",2,640,leakyrelu,0.35,max,L2,64,RMSprop,,0.0001,1e-06,True,0.75,"[1, 2]","[1]"
"[576, 384, 192]",3,576,elu,0.5,mean,minmax,96,RMSprop,,0.0002,5e-05,True,0.8,"[2]","[1, 3]"
"[1024, 896, 512, 256]",4,1024,mish,0.5,attention,L2,88,SGD,0.8,0.0002,1e-06,True,0.8,"[1, 3]","[2, 4]"
"[960, 640, 320, 160]",4,960,gelu,0.45,mean,minmax,64,AdamW,,0.001,0.0,False,,"[2, 4]","[1, 3]"
"[832, 576, 384, 192]",4,832,leakyrelu,0.4,max,L2,72,RMSprop,,0.0001,1e-05,True,0.75,"[1, 2, 4]","[2, 3]"
"[736, 512, 256]",3,736,silu,0.5,attention,L2,80,SGD,0.9,0.003,1e-05,True,0.8,"[1, 2]","[2, 3]"
"[512, 256]",2,512,silu,0.3,max,minmax,64,RMSprop,,0.0002,1e-05,False,,"[1]","[2]"
"[896, 512, 256]",3,896,leakyrelu,0.5,attention,L2,96,RMSprop,,0.0001,5e-05,True,0.85,"[1, 3]","[1, 2, 3]"
"[768, 384, 256]",3,768,relu,0.4,mean,minmax,80,SGD,0.9,0.005,1e-05,True,0.8,"[1, 2]","[2]"
"[1280, 960, 640, 320]",4,1280,silu,0.45,attention,L2,64,AdamW,,0.00015,1e-06,True,0.8,"[1, 2, 4]","[2, 3]"
