id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260111_181512,baseline_CASIAB_LOW50.csv,50%,Preset_11,MLP,42,37,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11311,1.88643,0.54545,0.4026,"[0.63636, 0.0, 0.57143]",487,0.36147,1.38434,0.61364,0.51608,"[0.66667, 0.25, 0.63158]",147,COMPLETED,20.73
2,20260111_181512,baseline_OUMVLP_LOW50.csv,50%,Preset_11,MLP,42,34,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.12165,2.49117,0.36364,0.2771,"[0.41026, 0.0, 0.42105]",609,0.25719,1.89862,0.52273,0.48526,"[0.53659, 0.36364, 0.55556]",312,STOPPED,24.135
3,20260111_181512,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_11,MLP,42,46,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.10916,2.48171,0.47727,0.43261,"[0.54545, 0.28571, 0.46667]",412,0.15947,1.95076,0.56818,0.53328,"[0.6383, 0.46154, 0.5]",265,COMPLETED,16.742
4,20260111_181512,gaitgl_GREW_LOW50.csv,50%,Preset_11,MLP,42,71,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11043,2.32372,0.52273,0.44845,"[0.52632, 0.13333, 0.68571]",346,0.12723,2.24528,0.56818,0.51488,"[0.57143, 0.28571, 0.6875]",289,COMPLETED,13.458
5,20260111_181512,gaitgl_LOW50.csv,50%,Preset_11,MLP,42,38,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11346,2.44011,0.36364,0.25746,"[0.47826, 0.0, 0.29412]",530,0.22714,2.10901,0.52273,0.44956,"[0.54054, 0.25, 0.55814]",205,COMPLETED,21.621
6,20260111_181512,gaitgl_OUMVLP_LOW50.csv,50%,Preset_11,MLP,42,45,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11245,2.3901,0.47727,0.34444,"[0.53333, 0.0, 0.5]",1275,0.11564,2.12306,0.52273,0.45034,"[0.54545, 0.25, 0.55556]",1255,COMPLETED,51.402
7,20260111_181512,gaitpart_GREW_LOW50.csv,50%,Preset_11,MLP,42,48,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11255,2.29471,0.43182,0.32828,"[0.5, 0.0, 0.48485]",554,0.40288,1.90426,0.5,0.45586,"[0.52632, 0.28571, 0.55556]",154,COMPLETED,22.786
8,20260111_181512,gaitpart_OUMVLP_LOW50.csv,50%,Preset_11,MLP,42,41,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.15134,2.39595,0.36364,0.26263,"[0.45455, 0.0, 0.33333]",785,0.19426,2.0492,0.47727,0.45789,"[0.5, 0.4, 0.47368]",551,STOPPED,31.903
9,20260111_181512,gaitset_GREW_LOW50.csv,50%,Preset_11,MLP,42,59,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11279,2.64639,0.43182,0.33018,"[0.45, 0.0, 0.54054]",365,0.50639,1.71452,0.47727,0.45965,"[0.4, 0.4, 0.57895]",81,COMPLETED,15.679
10,20260111_181512,gaitset_LOW50.csv,50%,Preset_11,MLP,42,29,"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.11225,1.8856,0.52273,0.41548,"[0.65385, 0.22222, 0.37037]",532,0.11976,1.75766,0.61364,0.49517,"[0.71698, 0.25, 0.51852]",518,COMPLETED,21.592
