run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
1,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,8,0.4928,69,"[0.7755, 0.1429, 0.56]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
2,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,24,0.5688,47,"[0.7143, 0.3636, 0.6286]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
3,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,33,0.4977,60,"[0.5789, 0.4, 0.5143]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
4,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,888,0.4724,74,"[0.5789, 0.25, 0.5882]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
5,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,800,0.6263,86,"[0.7619, 0.5455, 0.5714]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
6,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,123,0.5498,81,"[0.6939, 0.2222, 0.7333]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
7,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,111,0.5928,122,"[0.6383, 0.5, 0.64]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
8,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,425,0.4837,83,"[0.6512, 0.1333, 0.6667]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
9,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,672,0.5942,113,"[0.7826, 0.4286, 0.5714]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
10,LSTM,1,Preset_15,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,69,0.5508,80,"[0.5641, 0.5882, 0.5]",,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}"
11,LSTM,2,Preset_11,gln_phase1_TOP70.csv,Gait_Embeddings_TopSteps/70%/gln_phase1_TOP70.csv,8,0.448,299,"[0.6486, 0.0952, 0.6]",,"{""norm"": ""minmax"", ""num_layers"": 1, ""layer_sizes"": [256], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 128, ""activation"": ""gelu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 0.0002, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
12,LSTM,2,Preset_11,gln_phase1_TOP70.csv,Gait_Embeddings_TopSteps/70%/gln_phase1_TOP70.csv,24,0.5365,263,"[0.5641, 0.5, 0.5455]",,"{""norm"": ""minmax"", ""num_layers"": 1, ""layer_sizes"": [256], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 128, ""activation"": ""gelu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 0.0002, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
13,LSTM,2,Preset_11,gln_phase1_TOP70.csv,Gait_Embeddings_TopSteps/70%/gln_phase1_TOP70.csv,33,0.5659,504,"[0.6977, 0.4444, 0.5556]",,"{""norm"": ""minmax"", ""num_layers"": 1, ""layer_sizes"": [256], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 128, ""activation"": ""gelu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 0.0002, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
