run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
11,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,8,0.6026,636,"[0.7317, 0.3333, 0.7429]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
12,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,24,0.5629,644,"[0.7442, 0.2222, 0.7222]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
13,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,33,0.5751,494,"[0.8085, 0.25, 0.6667]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
14,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,888,0.4943,188,"[0.6111, 0.3077, 0.5641]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
15,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,800,0.6636,200,"[0.7895, 0.3529, 0.8485]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
16,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,123,0.596,258,"[0.8, 0.2, 0.7879]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
17,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,111,0.4436,793,"[0.6957, 0.2353, 0.4]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
18,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,425,0.4665,226,"[0.5854, 0.25, 0.5641]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
19,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,672,0.6309,519,"[0.6316, 0.5714, 0.6897]",,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
20,Transformer,2,Preset_21,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,69,0.7169,716,"[0.8293, 0.5882, 0.7333]",saved_models/MODELS_EVALUATION/Transformer\transformer_gaitpart_OUMVLP_rank2_seed69_run20.pth,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
21,Transformer,3,Preset_18,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,8,0.4441,416,"[0.6286, 0.1538, 0.55]",,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
