arch,target_embedding,embedding_relpath,preset_rank,source_params,cfg_json,f1_mean,f1_std,f1_min,f1_max,n_seeds
Transformer,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,1,Preset_11,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5973,0.0944,0.3973,0.7109,10
Transformer,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,7,Preset_12,"{""norm"": ""nan"", ""model_dims"": [320, 480, 640], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 960, ""dropout"": 0.15, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""mean"", ""use_cls_token"": false, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5852,0.0702,0.5052,0.7048,10
Transformer,gaitpart_OUMVLP.csv,Gait_Embeddings_good/gaitpart_OUMVLP.csv,2,Preset_21,"{""norm"": ""nan"", ""model_dims"": [512, 512, 512], ""num_heads"": 8, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 48, ""optimizer"": ""AdamW"", ""learning_rate"": 7e-05, ""weight_decay"": 5e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5752,0.0869,0.4436,0.7169,10
Transformer,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,8,Preset_11,"{""norm"": ""nan"", ""model_dims"": [512, 640, 768, 640], ""num_heads"": 16, ""num_layers"": 4, ""dim_feedforward"": 1280, ""dropout"": 0.1, ""activation"": ""silu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""sinusoidal"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 32, ""optimizer"": ""Adam"", ""learning_rate"": 5e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5732,0.0689,0.4618,0.6744,10
Transformer,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,9,Preset_15,"{""norm"": ""nan"", ""model_dims"": [160, 320, 640], ""num_heads"": 10, ""num_layers"": 3, ""dim_feedforward"": 1024, ""dropout"": 0.25, ""activation"": ""gelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""sinusoidal"", ""pooling"": ""mean"", ""use_cls_token"": false, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.00015, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5616,0.0374,0.5124,0.6284,10
Transformer,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,4,Preset_5,"{""norm"": ""nan"", ""model_dims"": [512, 768, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 896, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 40, ""optimizer"": ""AdamW"", ""learning_rate"": 3e-05, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5565,0.0749,0.4396,0.6831,10
Transformer,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,10,Preset_22,"{""norm"": ""nan"", ""model_dims"": [256, 384, 512, 640], ""num_heads"": 16, ""num_layers"": 4, ""dim_feedforward"": 1536, ""dropout"": 0.0, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""mean"", ""use_cls_token"": false, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 2e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5496,0.0746,0.4442,0.6704,10
Transformer,gln_93steps_mean.csv,Gait_Embeddings_Combined/mean/gln_93steps_mean.csv,5,Preset_13,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.1, ""activation"": ""mish"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 7e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5414,0.0558,0.4724,0.6613,10
Transformer,gaitpart_16steps_mean.csv,Gait_Embeddings_Combined/mean/gaitpart_16steps_mean.csv,6,Preset_3,"{""norm"": ""minmax"", ""model_dims"": [768, 768], ""num_heads"": 16, ""num_layers"": 2, ""dim_feedforward"": 1536, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 2e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5278,0.1187,0.2374,0.6591,10
Transformer,baseline_OUMVLP.csv,Gait_Embeddings_good/baseline_OUMVLP.csv,3,Preset_18,"{""norm"": ""L2"", ""model_dims"": [256, 384, 512], ""num_heads"": 16, ""num_layers"": 3, ""dim_feedforward"": 768, ""dropout"": 0.1, ""activation"": ""gelu"", ""norm_type"": ""prenorm"", ""pos_encoding"": ""learned"", ""pooling"": ""cls"", ""use_cls_token"": true, ""batch_size"": 80, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.3582,0.1741,0.0915,0.6037,10
