channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,num_blocks,weight_decay,norm,dropout,ln_block_end,source_params

"[256, 320, 384]","[2, 4, 8]",3,2,gelu,False,True,mean,256,56,AdamW,,5e-05,3,1e-06,,"[0.10,0.10,0.10]","[False,True,True]",manual_exploration_tcn_vNew
"[512, 640, 512]","[1, 2, 4]",5,2,hardswish,True,True,mean,384,32,Adam,,1e-04,3,0.0,L2,"[0.10,0.10,0.10]","[True,False,True]",manual_exploration_tcn_vNew
"[320, 448, 576]","[1, 3, 6]",3,3,silu,True,False,attention,256,48,AdamW,,3e-05,3,1e-05,minmax,"[0.0,0.10,0.15]","[True,True,True]",manual_exploration_tcn_vNew
"[512, 512, 512]","[1, 2, 4]",3,3,relu,True,True,max,256,64,AdamW,,2e-05,3,1e-06,L2,"[0.0,0.0,0.10]","[False,True,True]",manual_exploration_tcn_vNew_mod
"[640, 768, 896]","[2, 4, 8]",3,2,gelu,True,True,attention,512,32,AdamW,,2e-05,3,1e-05,,"[0.10,0.10,0.20]","[True,True,True]",manual_exploration_tcn_vNew
"[256, 256]","[3, 6]",3,2,silu,True,True,attention,192,56,Adam,,5e-05,2,1e-05,minmax,"[0.0,0.0]","[True,True]",manual_exploration_tcn_vNew_mod
"[384, 512]","[1, 3]",7,1,mish,False,True,max,256,40,AdamW,,3e-05,2,1e-05,L2,"[0.10,0.10]","[True,True]",manual_exploration_tcn_vNew
"[640, 768]","[3, 6]",3,2,gelu,True,True,attention,320,48,Adam,,2e-05,2,1e-06,L2,"[0.0,0.10]","[True,True]",manual_exploration_tcn_vNew_mod
"[640, 448]","[3, 6]",3,2,hardswish,True,True,mean,384,32,AdamW,,1e-04,2,0.0,minmax,"[0.10,0.10]","[True,True]",manual_exploration_tcn_vNew
"[768, 512]","[3, 7]",3,3,silu,True,True,attention,448,32,AdamW,,2e-05,2,1e-05,L2,"[0.10,0.10]","[True,True]",manual_exploration_tcn_vNew
"[448, 256]","[1, 2]",3,1,gelu,False,True,max,256,64,AdamW,,3e-05,2,1e-06,L2,"[0.0,0.0]","[False,True]",manual_exploration_tcn_vNew_mod
"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,mean,320,40,AdamW,,2e-05,4,1e-05,L2,"[0.1,0.10,0.10,0.10]","[True,True,True,True]",manual_exploration_tcn_vNew
"[640, 768, 768, 640]","[1, 2, 4, 8]",5,2,mish,True,True,attention,384,32,Adam,,3e-05,4,1e-05,minmax,"[0.05,0.10,0.10,0.10]","[True,True,True,True]",manual_exploration_tcn_vNew_mod
"[320, 384, 448, 512]","[2, 4, 8, 16]",3,2,silu,True,True,max,256,48,AdamW,,5e-05,4,1e-06,L2,"[0.05,0.05,0.10,0.10]","[True,True,True,True]",manual_exploration_tcn_vNew
