channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,num_blocks,weight_decay,norm,dropout,ln_block_end,source_params
"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,attention,128.0,64,Adam,,2e-05,3,1e-06,minmax,"[0.1, 0.1, 0.1]","[False, False, False]",tcn_results_v4_reduced.csv
"[896, 768, 640]","[3, 6, 9]",3,2,gelu,True,True,attention,256.0,48,AdamW,,3e-05,3,5e-06,minmax,"[0.0, 0.1, 0.1]","[False, False, False]",tcn_results_v4_reduced.csv
"[768, 640, 512]","[3, 6, 9]",2,2,leakyrelu,False,False,attention,128.0,80,Adam,,1e-05,3,0.0,minmax,"[0.0, 0.0, 0.1]","[False, False, False]",tcn_results_v4_reduced.csv
"[640, 448]","[3, 6]",3,2,gelu,True,True,max,256.0,96,AdamW,,8e-05,2,1e-06,L2,"[0.1, 0.1]","[False, False]",tcn_results_v4_reduced.csv
"[640, 448]","[3, 6]",5,2,silu,True,True,attention,128.0,64,AdamW,,5e-05,2,5e-06,minmax,"[0.0, 0.1]","[False, False]",tcn_results_v4_reduced.csv
[384],[7],7,2,gelu,True,True,mean,,128,AdamW,,5e-05,1,1e-06,L2,[0.1],[False],tcn_results_v4_reduced.csv
[384],[7],5,3,mish,True,True,max,128.0,96,AdamW,,3e-05,1,1e-06,minmax,[0.0],[False],tcn_results_v4_reduced.csv
"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,max,512.0,48,AdamW,,2e-05,4,1e-05,L2,"[0.1, 0.1, 0.2, 0.2]","[False, False, False, False]",tcn_results_v4_reduced.csv
"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,attention,256.0,32,AdamW,,7e-05,4,1e-06,minmax,"[0.0, 0.1, 0.1, 0.2]","[False, False, False, False]",tcn_results_v4_reduced.csv
"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,last,256.0,96,AdamW,,1e-04,4,2e-05,L2,"[0.1, 0.1, 0.2, 0.2]","[False, False, False, False]",tcn_results_v4_reduced.csv
