hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,best_f1,source_params
"[768, 512, 384, 256]","[2, 4]","[1, 3]",0.45,leakyrelu,768,80,4,mean,L2,Adam,,0.0002,0.0,True,0.75,0.71789,Preset_11
"[576, 384, 192]",[2],"[1, 3]",0.5,elu,576,96,3,mean,minmax,RMSprop,,0.0002,5e-05,True,0.8,0.70556,Preset_15
"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2, 3]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.67765,Preset_22
"[1024, 768, 512, 256]","[1, 2, 3, 4]","[1, 2]",0.45,silu,1024,96,4,mean,minmax,Adam,,0.0001,1e-07,True,0.8,0.66941,Preset_23
"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.65593,Preset_66
