hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,best_f1,source_params
"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.66066,Preset_38
"[384, 256, 128]",[3],"[1, 2]",0.2,leakyrelu,384,48,3,mean,,Adam,,0.0008,0.0,False,,0.65926,Preset_50
"[768, 512, 256]","[1, 2, 3]",[],0.4,leakyrelu,768,128,3,mean,L2,Adam,,0.00025,5e-06,True,0.8,0.65751,Preset_56
"[1024, 768, 512, 256]","[1, 2, 3]","[1, 2]",0.4,silu,1024,64,4,mean,minmax,Adam,,0.0002,1e-07,True,0.8,0.65512,Preset_66
"[640, 448, 256]",[2],"[1, 2]",0.35,gelu,640,96,3,mean,minmax,Adam,,0.00015,1e-06,True,0.7,0.64805,Preset_19
