id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,learning_rate,weight_decay,momentum_sgd,input_dim,native_mode,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
1,20251210_080911,baseline_CASIAB.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.04841,2.45373,0.47727,0.44149,"[0.60465, 0.375, 0.34483]",0.54545,0.49926,"[0.63415, 0.36364, 0.5]",175,0.16594,2.31554,182,COMPLETED,72.717
2,20251210_080911,baseline_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.08687,2.35892,0.5,0.4548,"[0.52632, 0.26667, 0.57143]",0.56818,0.53323,"[0.61905, 0.4, 0.58065]",128,0.43294,1.40284,218,COMPLETED,90.221
3,20251210_080911,gaitgl.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,128,False,0.06898,1.7374,0.54545,0.43619,"[0.68, 0.2, 0.42857]",0.59091,0.53737,"[0.66667, 0.4, 0.54545]",110,0.07539,1.65933,111,COMPLETED,64.939
4,20251210_080911,gaitgl_GREW.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.04314,1.92462,0.52273,0.40598,"[0.71795, 0.0, 0.5]",0.52273,0.44378,"[0.60606, 0.15385, 0.57143]",76,0.55212,1.30788,118,COMPLETED,69.6
5,20251210_080911,gaitgl_GREW_BNNeck.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.04845,2.95696,0.29545,0.25869,"[0.35556, 0.15385, 0.26667]",0.38636,0.34806,"[0.45833, 0.22222, 0.36364]",180,0.13443,2.35576,190,COMPLETED,111.951
6,20251210_080911,gaitgl_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.07719,1.74739,0.61364,0.50505,"[0.72727, 0.18182, 0.60606]",0.59091,0.5556,"[0.65, 0.42857, 0.58824]",178,0.63055,1.08488,282,COMPLETED,145.295
7,20251210_080911,gaitpart_GREW.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.08381,1.78932,0.56818,0.45833,"[0.70833, 0.16667, 0.5]",0.61364,0.56845,"[0.71429, 0.42857, 0.5625]",240,0.14016,1.53367,265,COMPLETED,76.335
8,20251210_080911,gaitpart_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.08838,2.11524,0.54545,0.4082,"[0.58824, 0.0, 0.63636]",0.47727,0.45691,"[0.48485, 0.26087, 0.625]",293,0.56604,1.28736,358,COMPLETED,102.341
9,20251210_080911,gaitset.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.06594,2.96054,0.34091,0.31187,"[0.51282, 0.23529, 0.1875]",0.45455,0.43016,"[0.53333, 0.4, 0.35714]",78,0.67456,1.34344,165,COMPLETED,82.747
10,20251210_080911,gaitset_GREW.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.07395,1.55722,0.56818,0.47341,"[0.7619, 0.125, 0.53333]",0.70455,0.58165,"[0.77273, 0.25, 0.72222]",143,0.4161,1.11724,192,COMPLETED,96.131
11,20251210_080911,gaitset_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.09228,2.28709,0.5,0.4359,"[0.6, 0.30769, 0.4]",0.54545,0.5134,"[0.59574, 0.44444, 0.5]",319,0.69022,1.18966,549,COMPLETED,275.359
12,20251210_080911,gln_phase1.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.08314,2.17588,0.47727,0.40792,"[0.51163, 0.16667, 0.54545]",0.52273,0.47483,"[0.55814, 0.28571, 0.58065]",173,0.23231,1.71372,203,COMPLETED,133.504
13,20251210_080911,gln_phase2.csv,baseline_CASIAB.csv,LSTM,42,4,"[768, 640, 512, 448]",False,L2,0.3,[2],"[1, 2]",mean,512,gelu,True,32,AdamW,1e-05,1e-07,,256,False,0.06292,1.84858,0.5,0.42833,"[0.54054, 0.13333, 0.61111]",0.47727,0.47663,"[0.53333, 0.34483, 0.55172]",118,0.40806,1.52976,160,COMPLETED,104.985

14,20251210_083312,baseline_CASIAB.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.09137,3.92814,0.36364,0.2735,"[0.41026, 0.0, 0.41026]",0.45455,0.39312,"[0.5, 0.22222, 0.45714]",128,0.66045,1.47656,228,COMPLETED,23.953
15,20251210_083312,baseline_OUMVLP.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.08413,1.88358,0.47727,0.40598,"[0.5, 0.15385, 0.5641]",0.54545,0.49161,"[0.60465, 0.30769, 0.5625]",195,0.37727,1.06965,264,COMPLETED,28.211
16,20251210_083312,gaitgl.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,128,True,0.06239,2.37099,0.45455,0.42162,"[0.47368, 0.21053, 0.58065]",0.47727,0.44147,"[0.57143, 0.19048, 0.5625]",120,0.19597,1.84116,141,COMPLETED,18.217
17,20251210_083312,gaitgl_GREW.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.08039,2.07792,0.5,0.42377,"[0.60465, 0.13333, 0.53333]",0.47727,0.4299,"[0.57143, 0.26667, 0.45161]",94,0.13931,1.80751,101,COMPLETED,14.123
18,20251210_083312,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.08728,2.7378,0.52273,0.37438,"[0.6383, 0.0, 0.48485]",0.54545,0.51736,"[0.6383, 0.5, 0.41379]",273,0.51597,1.53236,472,COMPLETED,67.243
19,20251210_083312,gaitgl_OUMVLP.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.09811,4.06029,0.36364,0.29509,"[0.4186, 0.0, 0.46667]",0.45455,0.32883,"[0.5, 0.0, 0.48649]",204,0.66987,1.49889,325,COMPLETED,48.648
20,20251210_083312,gaitpart_GREW.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.05492,2.9928,0.5,0.40675,"[0.625, 0.16667, 0.42857]",0.59091,0.54051,"[0.68, 0.46154, 0.48]",133,0.26981,1.94367,173,COMPLETED,17.326
21,20251210_083312,gaitpart_OUMVLP.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.05793,3.3044,0.52273,0.44599,"[0.60465, 0.13333, 0.6]",0.61364,0.55556,"[0.63636, 0.36364, 0.66667]",262,0.5451,1.37504,504,COMPLETED,50.455
22,20251210_083312,gaitset.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.06747,2.446,0.45455,0.42161,"[0.5, 0.30769, 0.45714]",0.5,0.47436,"[0.53659, 0.4, 0.48649]",156,0.37572,1.51699,231,COMPLETED,34.893
23,20251210_083312,gaitset_GREW.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.05463,2.47861,0.43182,0.35859,"[0.55319, 0.2, 0.32258]",0.56818,0.4292,"[0.70175, 0.22222, 0.36364]",173,0.3665,2.00493,229,COMPLETED,34.198
24,20251210_083312,gaitset_OUMVLP.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.09732,1.91749,0.36364,0.31293,"[0.33333, 0.11765, 0.4878]",0.5,0.4245,"[0.55556, 0.15385, 0.5641]",470,0.14666,1.60996,495,COMPLETED,75.822
25,20251210_083312,gln_phase1.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.06678,1.03749,0.65909,0.64034,"[0.68293, 0.57143, 0.66667]",0.72727,0.72339,"[0.75, 0.71429, 0.70588]",212,0.18429,0.87636,264,COMPLETED,50.136
26,20251210_083312,gln_phase2.csv,baseline_OUMVLP.csv,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,0.0001,0.0,,256,True,0.08478,3.14856,0.40909,0.37509,"[0.47619, 0.23529, 0.41379]",0.54545,0.49063,"[0.62745, 0.4, 0.44444]",259,0.20619,2.58057,268,COMPLETED,51.015

27,20251210_084200,baseline_CASIAB.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.07316,4.15099,0.34091,0.29515,"[0.42857, 0.15385, 0.30303]",0.43182,0.40909,"[0.5, 0.36364, 0.36364]",274,0.25927,3.06671,310,COMPLETED,33.181
28,20251210_084200,baseline_OUMVLP.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.0679,4.73439,0.40909,0.35773,"[0.4, 0.11765, 0.55556]",0.56818,0.50386,"[0.65217, 0.30769, 0.55172]",323,0.27996,2.85081,368,COMPLETED,39.603
29,20251210_084200,gaitgl.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,128,True,0.06588,4.90032,0.34091,0.29498,"[0.4186, 0.15385, 0.3125]",0.40909,0.40006,"[0.46154, 0.375, 0.36364]",186,0.25861,3.86928,216,COMPLETED,30.509
30,20251210_084200,gaitgl_GREW.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.09296,2.72208,0.43182,0.3998,"[0.57143, 0.19048, 0.4375]",0.56818,0.51444,"[0.59459, 0.33333, 0.61538]",131,0.2905,1.63427,156,COMPLETED,23.085
31,20251210_084200,gaitgl_GREW_BNNeck.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.03826,3.98825,0.52273,0.51221,"[0.51282, 0.38095, 0.64286]",0.54545,0.53095,"[0.55, 0.4, 0.64286]",314,0.1699,3.18673,336,COMPLETED,50.277
32,20251210_084200,gaitgl_OUMVLP.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.0724,3.65727,0.43182,0.33658,"[0.55814, 0.0, 0.45161]",0.43182,0.39738,"[0.54054, 0.2, 0.45161]",324,0.1549,3.4685,337,COMPLETED,50.335
33,20251210_084200,gaitpart_GREW.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.08567,4.2634,0.5,0.4359,"[0.6, 0.30769, 0.4]",0.52273,0.48576,"[0.59574, 0.4, 0.46154]",257,0.09513,3.79731,261,COMPLETED,23.005
34,20251210_084200,gaitpart_OUMVLP.csv,gaitgl.csv,LSTM,42,1,[64],True,minmax,0.0,[],[],last,768,silu,False,48,AdamW,0.0002,1e-07,,256,True,0.08529,2.63842,0.47727,0.40444,"[0.62222, 0.11111, 0.48]",0.54545,0.50702,"[0.45161, 0.44444, 0.625]",391,0.58975,1.79349,625,COMPLETED,54.701
