id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
15,20251222_225259,OUMVLP_concat.csv,Preset_4,LSTM,42,1024,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1402,1.60026,0.5,0.36649,"[0.58333, 0.0, 0.51613]",80,0.3171,1.71943,0.56818,0.47759,"[0.61905, 0.16667, 0.64706]",61,COMPLETED,11.345
16,20251222_225259,OUMVLP_mean.csv,Preset_4,LSTM,42,256,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12071,1.75258,0.54545,0.40782,"[0.54054, 0.0, 0.68293]",94,0.18769,1.82905,0.54545,0.44444,"[0.66667, 0.0, 0.66667]",75,COMPLETED,11.551

17,20251222_225259,GREW_concat.csv,Preset_5,LSTM,42,768,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11035,1.45164,0.40909,0.33116,"[0.53061, 0.14286, 0.32]",23,0.12926,1.43421,0.5,0.47661,"[0.51429, 0.375, 0.54054]",21,COMPLETED,2.338
18,20251222_225259,GREW_mean.csv,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13359,1.88431,0.47727,0.39505,"[0.62745, 0.30769, 0.25]",31,0.20737,1.31213,0.56818,0.56238,"[0.63158, 0.55556, 0.5]",23,COMPLETED,2.689
19,20251222_225259,OUMVLP_concat.csv,Preset_5,LSTM,42,1024,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12046,1.49801,0.47727,0.40211,"[0.6087, 0.11765, 0.48]",91,0.12912,1.40038,0.61364,0.50867,"[0.68085, 0.2, 0.64516]",82,COMPLETED,10.252
20,20251222_225259,OUMVLP_mean.csv,Preset_5,LSTM,42,256,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14131,2.35253,0.5,0.44599,"[0.46667, 0.26667, 0.60465]",180,0.15156,1.80928,0.56818,0.55534,"[0.57143, 0.5, 0.59459]",171,COMPLETED,15.273

21,20251222_225259,GREW_concat.csv,Preset_6,LSTM,42,768,2,"[512, 512]",True,minmax,0.1,[1],[1],last,128,relu,True,False,96,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11502,1.94312,0.52273,0.36768,"[0.64151, 0.0, 0.46154]",138,0.1696,1.52445,0.56818,0.51092,"[0.6, 0.28571, 0.64706]",124,COMPLETED,20.876
22,20251222_225259,GREW_mean.csv,Preset_6,LSTM,42,256,2,"[512, 512]",True,minmax,0.1,[1],[1],last,128,relu,True,False,96,AdamW,,0.0002,2e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11288,1.86129,0.54545,0.45526,"[0.52941, 0.2, 0.63636]",91,0.12656,1.70225,0.52273,0.47778,"[0.5, 0.33333, 0.6]",90,COMPLETED,12.042
