id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
15,20260108_043339,baseline_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11399,2.07441,0.5,0.43944,"[0.54054, 0.11111, 0.66667]",303,0.23145,1.65652,0.61364,0.51054,"[0.71111, 0.15385, 0.66667]",192,COMPLETED,34.187
16,20260108_043339,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11134,3.04074,0.43182,0.41544,"[0.52632, 0.32, 0.4]",284,0.62029,1.14344,0.59091,0.53898,"[0.69388, 0.46154, 0.46154]",111,COMPLETED,37.325
17,20260108_043339,gaitgl_GREW_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11916,2.20392,0.40909,0.31216,"[0.48649, 0.0, 0.45]",119,0.71239,1.27026,0.52273,0.49583,"[0.55, 0.375, 0.5625]",53,COMPLETED,15.439
18,20260108_043339,gaitgl_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11912,2.3461,0.45455,0.3596,"[0.54545, 0.0, 0.53333]",331,0.12568,2.34989,0.47727,0.37714,"[0.57143, 0.0, 0.56]",298,COMPLETED,44.636
19,20260108_043339,gaitgl_TOP50.csv,50%,Preset_2,LSTM,42,128,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11963,2.25257,0.45455,0.37721,"[0.57778, 0.15385, 0.4]",171,0.12476,2.4568,0.40909,0.40248,"[0.43243, 0.375, 0.4]",155,COMPLETED,21.315
20,20260108_043339,gaitpart_GREW_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11441,1.98398,0.47727,0.46825,"[0.5, 0.33333, 0.57143]",272,0.12185,1.64291,0.63636,0.61505,"[0.66667, 0.53333, 0.64516]",267,COMPLETED,27.42
21,20260108_043339,gaitpart_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11398,1.44769,0.40909,0.36798,"[0.52381, 0.23529, 0.34483]",657,0.71467,1.01381,0.63636,0.64077,"[0.57143, 0.66667, 0.68421]",196,COMPLETED,65.937
22,20260108_043339,gaitset_GREW_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11583,2.57005,0.29545,0.29461,"[0.27778, 0.27273, 0.33333]",252,0.38547,1.75238,0.54545,0.42963,"[0.66667, 0.22222, 0.4]",168,COMPLETED,33.293
23,20260108_043339,gaitset_OUMVLP_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1147,2.00328,0.40909,0.39394,"[0.42424, 0.27273, 0.48485]",548,0.12713,1.90961,0.54545,0.50454,"[0.62222, 0.35294, 0.53846]",483,COMPLETED,70.92
24,20260108_043339,gaitset_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1097,2.23934,0.34091,0.26656,"[0.52381, 0.0, 0.27586]",270,0.72015,1.10215,0.52273,0.41239,"[0.65385, 0.16667, 0.41667]",96,COMPLETED,35.237
25,20260108_043339,gln_phase1_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11532,1.32581,0.54545,0.5412,"[0.59091, 0.58824, 0.44444]",330,0.1386,1.10373,0.68182,0.67903,"[0.68293, 0.66667, 0.6875]",290,COMPLETED,49.128
26,20260108_043339,gln_phase2_TOP50.csv,50%,Preset_2,LSTM,42,256,1,[256],False,minmax,0.0,[],[],last,256,relu,True,True,32,Adam,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11249,2.2058,0.45455,0.41583,"[0.55, 0.28571, 0.41176]",291,0.15145,2.18777,0.52273,0.48174,"[0.6087, 0.375, 0.46154]",240,COMPLETED,43.3

27,20260108_043339,baseline_CASIAB_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11123,2.27208,0.40909,0.31667,"[0.55, 0.0, 0.4]",96,0.32306,2.52401,0.47727,0.41534,"[0.66667, 0.22222, 0.35714]",67,COMPLETED,15.226
28,20260108_043339,baseline_OUMVLP_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11012,2.04968,0.52273,0.49511,"[0.52632, 0.35294, 0.60606]",114,0.11772,1.7214,0.59091,0.55144,"[0.63415, 0.375, 0.64516]",107,COMPLETED,18.053
29,20260108_043339,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10991,2.10911,0.47727,0.43835,"[0.47368, 0.23529, 0.60606]",64,0.12623,2.03827,0.56818,0.51337,"[0.58537, 0.30769, 0.64706]",57,COMPLETED,12.695
30,20260108_043339,gaitgl_GREW_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10795,1.62147,0.54545,0.49757,"[0.59574, 0.36364, 0.53333]",35,0.10795,1.62147,0.54545,0.49757,"[0.59574, 0.36364, 0.53333]",35,COMPLETED,6.932
31,20260108_043339,gaitgl_OUMVLP_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10867,2.23844,0.40909,0.31693,"[0.41026, 0.0, 0.54054]",134,0.2254,2.02653,0.52273,0.39048,"[0.6, 0.0, 0.57143]",84,COMPLETED,26.459
32,20260108_043339,gaitgl_TOP50.csv,50%,Preset_3,LSTM,42,128,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11031,2.19526,0.40909,0.34731,"[0.51163, 0.16667, 0.36364]",48,0.11296,2.23428,0.5,0.45845,"[0.57143, 0.33333, 0.47059]",46,COMPLETED,9.168
33,20260108_043339,gaitpart_GREW_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11121,1.99129,0.54545,0.48673,"[0.63636, 0.30769, 0.51613]",111,0.25422,1.84297,0.56818,0.53894,"[0.6, 0.42857, 0.58824]",64,COMPLETED,14.893
34,20260108_043339,gaitpart_OUMVLP_TOP50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10802,1.87921,0.45455,0.44538,"[0.5, 0.32, 0.51613]",443,0.73814,1.11534,0.65909,0.62698,"[0.71429, 0.5, 0.66667]",90,COMPLETED,59.586
