target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
baseline_CASIAB.csv,0.43225,0.55226,0.08787,0.4935,0.59446,0.05627,0.06125,0.0422
gaitgl_GREW.csv,0.44433,0.60931,0.08293,0.49625,0.63308,0.08455,0.05192,0.02377
gaitgl.csv,0.41617,0.55271,0.0923,0.4591,0.63313,0.10979,0.04293,0.08042
gaitset_GREW.csv,0.36656,0.48614,0.08142,0.39425,0.51522,0.12462,0.02769,0.02908
gaitgl_GREW_BNNeck.csv,0.40084,0.54994,0.10243,0.42441,0.58064,0.11951,0.02357,0.0307
gln_phase2.csv,0.43183,0.57177,0.09673,0.45431,0.55226,0.09386,0.02248,-0.01951
gaitset.csv,0.36232,0.42734,0.0466,0.38297,0.49841,0.07541,0.02065,0.07107
gaitgl_OUMVLP.csv,0.40926,0.56756,0.12075,0.40711,0.56876,0.13618,-0.00215,0.0012
gaitpart_GREW.csv,0.49169,0.60476,0.08676,0.48073,0.5967,0.11719,-0.01096,-0.00806
gln_phase1.csv,0.48471,0.61496,0.11037,0.47172,0.69444,0.14479,-0.01299,0.07948
baseline_OUMVLP.csv,0.4727,0.56755,0.07859,0.45636,0.53246,0.10143,-0.01634,-0.03509
gaitset_OUMVLP.csv,0.38478,0.56197,0.14489,0.31829,0.57239,0.15503,-0.06649,0.01042
gaitpart_OUMVLP.csv,0.43458,0.61557,0.13488,0.33939,0.61167,0.16752,-0.09519,-0.0039
