id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,label_smoothing,clip_grad_norm,class_weights,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
1,20251013_165256,baseline_CASIAB.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16983,0.56818,703,0.51176,0.54201,467,0.18473,STOPPED,646.215
2,20251013_165256,baseline_OUMVLP.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15929,0.5,888,0.47738,0.52062,587,0.26038,STOPPED,819.785
3,20251013_165256,gaitgl.csv,Personalizado,LSTM,42,128,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1432,0.59091,505,0.5176,0.63313,421,0.14599,STOPPED,769.884
4,20251013_165256,gaitgl_GREW.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14291,0.5,493,0.45455,0.55599,270,0.17125,STOPPED,762.717
5,20251013_165256,gaitgl_GREW_BNNeck.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14598,0.38636,643,0.32653,0.45507,462,0.16637,STOPPED,1281.892
6,20251013_165256,gaitgl_OUMVLP.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14869,0.52273,683,0.47171,0.56876,436,0.22181,STOPPED,1285.452
7,20251013_165256,gaitpart_GREW.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14792,0.43182,809,0.41399,0.51179,510,0.25104,STOPPED,517.767
8,20251013_165256,gaitpart_OUMVLP.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.65253,0.43182,651,0.35665,0.35665,651,0.65253,STOPPED,426.129
9,20251013_165256,gaitset.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14444,0.34091,676,0.2463,0.37331,653,0.14603,STOPPED,1293.616
10,20251013_165256,gaitset_GREW.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14373,0.47727,749,0.40166,0.51522,478,0.19092,STOPPED,1390.754
11,20251013_165256,gaitset_OUMVLP.csv,Personalizado,LSTM,42,256,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",max,512.0,elu,True,16,AdamW,,1e-05,0.0,False,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15435,0.34091,1435,0.2672,0.3881,1292,0.18112,STOPPED,2415.267
