id,timestamp,target_embedding,source_params,model,seed,input_dim,architecture_pattern,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training

1,20250916_133125,baseline_CASIAB.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.07615,0.43182,320,0.41696,0.47691,262,0.1775,COMPLETED
2,20250916_133125,baseline_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.0926,0.52273,474,0.47341,0.53488,425,0.11019,COMPLETED
3,20250916_133125,gaitgl.csv,baseline_CASIAB.csv,LSTM,42,128,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.08099,0.52273,176,0.49048,0.61843,151,0.17696,COMPLETED
4,20250916_133125,gaitgl_GREW.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.08872,0.36364,168,0.31927,0.42353,148,0.16765,COMPLETED
5,20250916_133125,gaitgl_GREW_BNNeck.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.09699,0.36364,280,0.27718,0.35385,267,0.16326,COMPLETED
6,20250916_133125,gaitgl_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.05837,0.43182,333,0.3784,0.52764,327,0.11503,COMPLETED
7,20250916_133125,gaitpart.csv,baseline_CASIAB.csv,LSTM,42,128,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.91609,0.5,116,0.22222,0.22222,116,0.91609,STOPPED
8,20250916_133125,gaitpart_GREW.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.07945,0.52273,489,0.46694,0.52762,421,0.19552,COMPLETED
9,20250916_133125,gaitpart_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.09384,0.45455,792,0.35533,0.39608,717,0.16323,COMPLETED
10,20250916_133125,gaitset.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.07294,0.43182,288,0.3314,0.40599,270,0.14697,COMPLETED
11,20250916_133125,gaitset_GREW.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.09045,0.52273,379,0.44135,0.4942,330,0.1943,COMPLETED
12,20250916_133125,gaitset_OUMVLP.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,1.00759,0.47727,103,0.21538,0.21538,103,1.00759,STOPPED
13,20250916_133125,gln_phase1.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.08104,0.38636,306,0.31685,0.51351,286,0.13461,COMPLETED
14,20250916_133125,gln_phase2.csv,baseline_CASIAB.csv,LSTM,42,256,decreasing,4,"[896, 768, 640, 512]",False,L2,0.4,"[1, 2]","[1, 2]",attention,512.0,elu,True,16,AdamW,,1e-05,0.0,0.0724,0.40909,253,0.35635,0.43333,249,0.09186,COMPLETED

15,20250916_150010,baseline_CASIAB.csv,baseline_OUMVLP.csv,LSTM,42,256,uniform,1,[512],False,L2,0.1,[],[],attention,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,0.0827,0.54545,162,0.46746,0.55872,142,0.11757,COMPLETED
16,20250916_150010,baseline_OUMVLP.csv,baseline_OUMVLP.csv,LSTM,42,256,uniform,1,[512],False,L2,0.1,[],[],attention,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,0.05444,0.54545,228,0.45526,0.53434,214,0.13693,COMPLETED
17,20250916_150010,gaitgl.csv,baseline_OUMVLP.csv,LSTM,42,128,uniform,1,[512],False,L2,0.1,[],[],attention,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,0.04673,0.52273,104,0.43565,0.45794,94,0.16365,COMPLETED
18,20250916_150010,gaitgl_GREW.csv,baseline_OUMVLP.csv,LSTM,42,256,uniform,1,[512],False,L2,0.1,[],[],attention,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,0.09301,0.45455,128,0.37753,0.47953,112,0.19999,COMPLETED
19,20250916_150010,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP.csv,LSTM,42,256,uniform,1,[512],False,L2,0.1,[],[],attention,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,0.05256,0.5,171,0.40921,0.45879,154,0.14839,COMPLETED
20,20250916_150010,gaitgl_OUMVLP.csv,baseline_OUMVLP.csv,LSTM,42,256,uniform,1,[512],False,L2,0.1,[],[],attention,128.0,leakyrelu,False,64,AdamW,,0.001,0.0,0.08279,0.45455,217,0.38801,0.47475,203,0.1679,COMPLETED
