id,timestamp,target_embedding,source_params,model,seed,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
15,20251212_204045,baseline_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14345,1.47964,0.5,0.47373,"[0.45714, 0.35294, 0.61111]",0.63636,0.57778,"[0.61538, 0.4, 0.71795]",128,0.69229,1.06031,638,STOPPED,84.454
16,20251212_204045,gaitgl.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14062,1.89939,0.40909,0.30401,"[0.54167, 0.0, 0.37037]",0.43182,0.39916,"[0.47368, 0.26667, 0.45714]",148,0.2643,2.15826,591,STOPPED,94.543
17,20251212_204045,gaitgl_GREW.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14066,1.63998,0.5,0.42342,"[0.55814, 0.16667, 0.54545]",0.52273,0.47898,"[0.55814, 0.33333, 0.54545]",148,0.14415,1.87907,402,STOPPED,67.967
18,20251212_204045,gaitgl_GREW_BNNeck.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14447,2.4371,0.43182,0.42999,"[0.45714, 0.42105, 0.41176]",0.59091,0.59153,"[0.61905, 0.6, 0.55556]",191,0.47349,1.17359,709,STOPPED,120.155
19,20251212_204045,gaitgl_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14522,2.24014,0.40909,0.31184,"[0.52174, 0.0, 0.41379]",0.47727,0.4091,"[0.52174, 0.15385, 0.55172]",208,0.29323,2.0459,663,STOPPED,124.609
20,20251212_204045,gaitpart_GREW.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14004,2.17035,0.43182,0.40556,"[0.55, 0.33333, 0.33333]",0.54545,0.50146,"[0.66667, 0.42105, 0.41667]",179,0.23481,1.69776,614,STOPPED,77.53
21,20251212_204045,gaitpart_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14042,1.87714,0.43182,0.35828,"[0.56522, 0.125, 0.38462]",0.56818,0.52719,"[0.55, 0.4, 0.63158]",191,0.662,1.27947,1091,STOPPED,139.424
22,20251212_204045,gaitset.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1418,1.58923,0.47727,0.44708,"[0.54545, 0.31579, 0.48]",0.5,0.49413,"[0.51429, 0.43478, 0.53333]",396,0.14892,1.7929,721,STOPPED,124.33
23,20251212_204045,gaitset_GREW.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14127,1.98633,0.40909,0.3803,"[0.45, 0.26667, 0.42424]",0.52273,0.47428,"[0.60465, 0.33333, 0.48485]",206,0.20054,1.87224,529,STOPPED,90.187
24,20251212_204045,gaitset_OUMVLP.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14976,1.40311,0.54545,0.4901,"[0.61538, 0.26667, 0.58824]",0.59091,0.55202,"[0.65, 0.4, 0.60606]",925,0.14552,1.41152,1082,STOPPED,190.262
25,20251212_204045,gln_phase1.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14345,1.17355,0.59091,0.55305,"[0.63415, 0.4, 0.625]",0.70455,0.69641,"[0.73684, 0.66667, 0.68571]",193,0.43511,0.82192,669,STOPPED,147.868
26,20251212_204045,gln_phase2.csv,best_configs_v3,LSTM,42,1,[256],False,minmax,0.0,[],[],last,256,relu,True,32,Adam,,0.0001,0.0,True,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14771,1.7487,0.47727,0.43572,"[0.53659, 0.28571, 0.48485]",0.56818,0.58017,"[0.62222, 0.66667, 0.45161]",120,0.74486,1.17723,825,STOPPED,182.176

