id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss

197,20250918_204046,baseline_CASIAB.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.0305,0.56818,140,0.46566,0.46566,140,0.0305
198,20250918_204046,baseline_OUMVLP.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.03302,0.45455,233,0.38384,0.4748,226,0.16803
199,20250918_204046,gaitgl.csv,Personalizado,LSTM,42,128,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.08746,0.40909,100,0.28444,0.3801,93,0.17769
200,20250918_204046,gaitgl_GREW.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.05604,0.45455,62,0.33939,0.39507,49,0.17083
201,20250918_204046,gaitgl_GREW_BNNeck.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.05816,0.40909,143,0.30438,0.38256,141,0.09792
202,20250918_204046,gaitgl_OUMVLP.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.06627,0.54545,129,0.38889,0.41577,126,0.10611
203,20250918_204046,gaitpart.csv,Personalizado,LSTM,42,128,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.07979,0.5,188,0.35556,0.45238,160,0.15173
204,20250918_204046,gaitpart_GREW.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.05316,0.59091,153,0.54939,0.54939,153,0.05316
205,20250918_204046,gaitpart_OUMVLP.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.40042,0.5,377,0.41749,0.44272,273,0.19727
206,20250918_204046,gaitset.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.08496,0.36364,131,0.31059,0.3561,130,0.09607
207,20250918_204046,gaitset_GREW.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.03689,0.38636,121,0.30843,0.36606,105,0.15674
208,20250918_204046,gaitset_OUMVLP.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.07795,0.5,398,0.37243,0.40514,330,0.19894
209,20250918_204046,gln_phase1.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.05602,0.59091,179,0.44562,0.52894,167,0.17311
210,20250918_204046,gln_phase2.csv,Personalizado,LSTM,42,256,1,[256],True,L2,0.2,[],[],last,,,False,64,AdamW,,0.001,1e-05,True,0.06843,0.29545,159,0.28987,0.42169,157,0.0844

211,20250918_204432,baseline_CASIAB.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00719,0.47727,140,0.21538,0.21538,140,1.00719
212,20250918_204432,baseline_OUMVLP.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00785,0.47727,123,0.21538,0.21538,123,1.00785
213,20250918_204432,gaitgl.csv,Personalizado,LSTM,42,128,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00715,0.47727,161,0.21538,0.21538,161,1.00715
214,20250918_204432,gaitgl_GREW.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00841,0.47727,106,0.21538,0.21538,106,1.00841
215,20250918_204432,gaitgl_GREW_BNNeck.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.01144,0.47727,110,0.21538,0.21538,110,1.01144
216,20250918_204432,gaitgl_OUMVLP.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00679,0.47727,142,0.21538,0.21538,142,1.00679
217,20250918_204432,gaitpart.csv,Personalizado,LSTM,42,128,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,0.9007,0.5,106,0.22222,0.22222,106,0.9007
218,20250918_204432,gaitpart_GREW.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00694,0.47727,108,0.21538,0.21538,108,1.00694
219,20250918_204432,gaitpart_OUMVLP.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00575,0.47727,138,0.21538,0.21538,138,1.00575
220,20250918_204432,gaitset.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00786,0.47727,133,0.21538,0.21538,133,1.00786
221,20250918_204432,gaitset_GREW.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00535,0.47727,159,0.21538,0.21538,159,1.00535
222,20250918_204432,gaitset_OUMVLP.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00547,0.47727,106,0.21538,0.21538,106,1.00547
223,20250918_204432,gln_phase1.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00764,0.47727,121,0.21538,0.21538,121,1.00764
224,20250918_204432,gln_phase2.csv,Personalizado,LSTM,42,256,2,"[256, 256]",True,minmax,0.3,[1],[1],mean,128,gelu,True,64,Adam,,0.0005,1e-06,True,1.00725,0.47727,160,0.21538,0.21538,160,1.00725

225,20250918_204946,baseline_CASIAB.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.00826,0.47727,168,0.21538,0.21538,168,1.00826
226,20250918_204946,baseline_OUMVLP.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.02799,0.36364,126,0.28725,0.39483,123,0.13644
227,20250918_204946,gaitgl.csv,Personalizado,LSTM,42,128,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,1.00991,0.47727,104,0.21538,0.21538,104,1.00991
228,20250918_204946,gaitgl_GREW.csv,Personalizado,LSTM,42,256,3,"[512, 256, 128]",True,L2,0.2,[],[],max,256,elu,False,32,RMSprop,,0.001,1e-06,False,0.0167,0.54545,69,0.38462,0.45068,62,0.03999
