target_embedding,mean_f1_hist,max_f1_hist,std_f1_hist,mean_f1_final,max_f1_final,std_f1_final,mean_diff,max_diff
baseline_OUMVLP.csv,0.36999,0.55009,0.1325,0.39566,0.55039,0.15365,0.02567,0.0003
gaitgl.csv,0.34764,0.54816,0.11979,0.36361,0.61843,0.13762,0.01597,0.07027
gln_phase2.csv,0.34294,0.49815,0.11606,0.35578,0.49402,0.11808,0.01284,-0.00413
gaitgl_OUMVLP.csv,0.37982,0.56756,0.14653,0.39121,0.61105,0.15497,0.01139,0.04349
gaitset_GREW.csv,0.33445,0.48614,0.10034,0.33704,0.4942,0.10662,0.00259,0.00806
baseline_CASIAB.csv,0.36562,0.55226,0.11902,0.3658,0.55872,0.13883,0.00018,0.00646
gaitpart_GREW.csv,0.3743,0.57705,0.14365,0.37071,0.52762,0.1302,-0.00358,-0.04943
gaitgl_GREW.csv,0.34799,0.54416,0.11756,0.34413,0.50354,0.11725,-0.00386,-0.04062
gaitset.csv,0.33834,0.50998,0.08753,0.32867,0.47151,0.10135,-0.00967,-0.03847
gaitset_OUMVLP.csv,0.32896,0.5478,0.12269,0.31386,0.49327,0.10689,-0.0151,-0.05453
gaitgl_GREW_BNNeck.csv,0.33229,0.52422,0.10484,0.31078,0.45879,0.09112,-0.02151,-0.06543
gaitpart_OUMVLP.csv,0.37052,0.56695,0.14344,0.33522,0.45,0.10214,-0.03531,-0.11695
gln_phase1.csv,0.41706,0.61496,0.15015,0.35728,0.51351,0.12133,-0.05978,-0.10145
