id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
16,20260111_191136,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11245,1.4898,0.61364,0.57923,"[0.65116, 0.46154, 0.625]",66,0.11245,1.4898,0.61364,0.57923,"[0.65116, 0.46154, 0.625]",66,COMPLETED,13.434
17,20260111_191136,gaitgl_GREW_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.10623,2.25435,0.40909,0.35544,"[0.45455, 0.2, 0.41176]",38,0.14195,2.27884,0.45455,0.41877,"[0.5, 0.28571, 0.47059]",33,COMPLETED,7.74
18,20260111_191136,gaitgl_LOW70.csv,70%,Preset_3,LSTM,42,128,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11858,2.57355,0.36364,0.33792,"[0.4186, 0.21053, 0.38462]",54,0.73169,1.26249,0.45455,0.45584,"[0.44444, 0.46154, 0.46154]",12,COMPLETED,10.332
19,20260111_191136,gaitgl_OUMVLP_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11036,1.85006,0.45455,0.34127,"[0.52381, 0.0, 0.5]",132,0.61039,1.7049,0.5,0.43107,"[0.51282, 0.13333, 0.64706]",37,COMPLETED,82.193
20,20260111_191136,gaitpart_GREW_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11622,1.63832,0.40909,0.38606,"[0.4878, 0.3, 0.37037]",111,0.29778,1.56618,0.52273,0.49537,"[0.55556, 0.375, 0.55556]",67,COMPLETED,15.807
21,20260111_191136,gaitpart_OUMVLP_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.10703,2.59412,0.38636,0.34981,"[0.57143, 0.09091, 0.3871]",322,0.54932,1.62308,0.54545,0.4588,"[0.59459, 0.18182, 0.6]",140,COMPLETED,44.789
22,20260111_191136,gaitset_GREW_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.10838,1.96499,0.45455,0.41589,"[0.51282, 0.25, 0.48485]",97,0.16539,2.56878,0.45455,0.44959,"[0.45714, 0.42105, 0.47059]",67,COMPLETED,20.59
23,20260111_191136,gaitset_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11459,2.14055,0.31818,0.2868,"[0.42857, 0.18182, 0.25]",92,0.17383,2.11274,0.45455,0.4125,"[0.55, 0.25, 0.4375]",55,COMPLETED,19.151
24,20260111_191136,gaitset_OUMVLP_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11358,1.51337,0.61364,0.59429,"[0.66667, 0.47619, 0.64]",353,0.10658,1.27666,0.70455,0.68224,"[0.74419, 0.58824, 0.71429]",336,COMPLETED,72.826
25,20260111_191136,gln_phase1_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11303,1.73047,0.43182,0.39697,"[0.42424, 0.26667, 0.5]",81,0.11682,1.62828,0.5,0.49443,"[0.55556, 0.47059, 0.45714]",77,COMPLETED,21.09
26,20260111_191136,gln_phase2_LOW70.csv,70%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11859,1.8956,0.45455,0.44286,"[0.5, 0.4, 0.42857]",71,0.12451,2.08933,0.47727,0.4746,"[0.48649, 0.45455, 0.48276]",64,COMPLETED,18.034

