id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
15,20260111_191136,baseline_OUMVLP_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11168,1.78586,0.5,0.42469,"[0.51282, 0.16667, 0.59459]",114,0.72283,1.15292,0.56818,0.55198,"[0.58537, 0.47059, 0.6]",28,COMPLETED,16.839
16,20260111_191136,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.10965,1.97102,0.43182,0.38512,"[0.6, 0.21053, 0.34483]",69,0.49306,1.40511,0.52273,0.49942,"[0.63158, 0.4, 0.46667]",29,COMPLETED,12.859
17,20260111_191136,gaitgl_GREW_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.10433,2.04578,0.45455,0.40601,"[0.55319, 0.30769, 0.35714]",38,0.24274,1.82911,0.54545,0.49671,"[0.58537, 0.33333, 0.57143]",22,COMPLETED,7.081
18,20260111_191136,gaitgl_LOW50.csv,50%,Preset_3,LSTM,42,128,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11517,2.98158,0.31818,0.25595,"[0.45833, 0.16667, 0.14286]",48,0.21873,3.0117,0.43182,0.40265,"[0.52174, 0.36364, 0.32258]",31,COMPLETED,8.142
19,20260111_191136,gaitgl_OUMVLP_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11067,1.58139,0.45455,0.32841,"[0.57143, 0.0, 0.41379]",108,0.18228,2.00696,0.56818,0.48005,"[0.59459, 0.14286, 0.7027]",71,COMPLETED,18.914
20,20260111_191136,gaitpart_GREW_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11052,2.18179,0.40909,0.36092,"[0.46512, 0.11765, 0.5]",141,0.41804,2.17744,0.45455,0.43973,"[0.55556, 0.4, 0.36364]",56,COMPLETED,17.582
21,20260111_191136,gaitpart_OUMVLP_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11845,2.17053,0.40909,0.35503,"[0.47619, 0.2, 0.38889]",404,0.31255,1.77353,0.52273,0.43434,"[0.63636, 0.18182, 0.48485]",199,COMPLETED,54.174
22,20260111_191136,gaitset_GREW_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11233,2.77205,0.36364,0.34362,"[0.45, 0.26087, 0.32]",86,0.40292,2.07869,0.47727,0.40613,"[0.53659, 0.18182, 0.5]",50,COMPLETED,15.845
23,20260111_191136,gaitset_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11284,1.97552,0.38636,0.33631,"[0.42857, 0.14286, 0.4375]",76,0.12143,2.07833,0.56818,0.48406,"[0.65217, 0.13333, 0.66667]",71,COMPLETED,13.635
24,20260111_191136,gaitset_OUMVLP_LOW50.csv,50%,Preset_3,LSTM,42,256,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,0.02,1.0,0.11611,2.06056,0.47727,0.37372,"[0.64, 0.13333, 0.34783]",375,0.44386,1.90237,0.54545,0.51071,"[0.65116, 0.38095, 0.5]",194,COMPLETED,65.005
