id,timestamp,target_embedding,source_params,model,seed,input_dim,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,native_mode,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
15,20251219_022834,gln_93steps_concat.csv,Preset_3,LSTM,42,512,1,[1024],False,L2,0.0,[],[],last,1024,silu,True,True,32,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11115,1.5781,0.54545,0.52075,"[0.61224, 0.53333, 0.41667]",84,0.11947,1.2195,0.63636,0.62418,"[0.61538, 0.57143, 0.68571]",70,COMPLETED,29.303

16,20251219_022834,baseline_31steps_concat.csv,Preset_4,LSTM,42,512,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10768,2.2551,0.45455,0.38958,"[0.46154, 0.16667, 0.54054]",51,0.32827,2.10395,0.54545,0.46224,"[0.55814, 0.2, 0.62857]",30,COMPLETED,6.56
17,20251219_022834,gaitgl_64steps_concat.csv,Preset_4,LSTM,42,768,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1067,1.67272,0.47727,0.43791,"[0.44444, 0.22222, 0.64706]",15,0.10862,1.5766,0.5,0.45833,"[0.5, 0.25, 0.625]",13,COMPLETED,2.844
18,20251219_022834,gaitpart_16steps_concat.csv,Preset_4,LSTM,42,512,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10314,1.65252,0.52273,0.49495,"[0.60606, 0.27273, 0.60606]",133,0.19816,1.28062,0.65909,0.58352,"[0.74286, 0.30769, 0.7]",116,COMPLETED,15.618
19,20251219_022834,gaitset_62steps_concat.csv,Preset_4,LSTM,42,768,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11117,2.39207,0.43182,0.39788,"[0.51429, 0.22222, 0.45714]",76,0.10845,1.73733,0.52273,0.47486,"[0.57143, 0.30769, 0.54545]",75,COMPLETED,14.144
20,20251219_022834,gln_93steps_concat.csv,Preset_4,LSTM,42,512,1,[96],False,nan,0.0,[],[],last,256,tanh,False,True,32,Adam,,0.001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11028,1.57267,0.43182,0.41575,"[0.46154, 0.28571, 0.5]",51,0.732,0.96031,0.63636,0.62917,"[0.5625, 0.625, 0.7]",12,COMPLETED,10.802

21,20251219_022834,baseline_31steps_concat.csv,Preset_5,LSTM,42,512,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11851,1.94346,0.47727,0.34554,"[0.52381, 0.0, 0.51282]",69,0.1194,1.94267,0.56818,0.50992,"[0.625, 0.33333, 0.57143]",65,COMPLETED,7.37
22,20251219_022834,gaitgl_64steps_concat.csv,Preset_5,LSTM,42,768,1,[256],True,nan,0.0,[],[],last,,nan,False,True,64,AdamW,,0.0005,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10539,1.16352,0.56818,0.51576,"[0.58537, 0.33333, 0.62857]",21,0.10555,1.15845,0.56818,0.52665,"[0.58537, 0.4, 0.59459]",19,COMPLETED,3.776
