number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
24,0.33876074174581633,PRUNED,2025-11-26 00:50:24.186597,2025-11-26 00:50:27.357758,0 days 00:00:03.171161,"[192, 384]",[],[],gelu,384,16,,0.001,minmax,2,increasing,,mean,False,1e-06
25,0.4421676103201707,COMPLETE,2025-11-26 00:50:27.357758,2025-11-26 00:50:40.787881,0 days 00:00:13.430123,"[96, 192, 384]",[],[1],gelu,384,64,0.2,0.001,minmax,3,increasing,,mean,False,1e-06
26,0.21839080459770113,PRUNED,2025-11-26 00:50:40.789888,2025-11-26 00:50:45.045868,0 days 00:00:04.255980,"[64, 96, 192, 384]",[],[1],gelu,384,48,0.2,0.001,minmax,4,increasing,,max,False,1e-06
27,0.33720598426480786,PRUNED,2025-11-26 00:50:45.045868,2025-11-26 00:50:47.139612,0 days 00:00:02.093744,"[96, 192, 384]",[],[],gelu,384,32,,0.001,minmax,3,increasing,,mean,False,1e-06
28,0.3864613379738889,PRUNED,2025-11-26 00:50:47.155380,2025-11-26 00:50:50.412054,0 days 00:00:03.256674,"[192, 384]",[],[],relu,384,128,,0.001,minmax,2,increasing,,max,False,0.0
29,0.2963739624290083,PRUNED,2025-11-26 00:50:50.413058,2025-11-26 00:50:58.648554,0 days 00:00:08.235496,"[64, 96, 192, 384]",[2],"[1, 2]",leakyrelu,384,96,0.2,5e-05,minmax,4,increasing,,mean,False,1e-06
30,0.08239700374531835,PRUNED,2025-11-26 00:50:58.648554,2025-11-26 00:51:11.219457,0 days 00:00:12.570903,"[96, 192, 384]",[],[],elu,384,16,,1e-05,minmax,3,increasing,,mean,False,1e-06
31,0.44486857813769537,COMPLETE,2025-11-26 00:51:11.219457,2025-11-26 00:51:23.977479,0 days 00:00:12.758022,"[96, 192, 384]",[],[1],gelu,384,64,0.2,0.001,minmax,3,increasing,,mean,False,1e-06
32,0.3364476592324694,PRUNED,2025-11-26 00:51:23.978200,2025-11-26 00:51:25.347905,0 days 00:00:01.369705,"[96, 192, 384]",[],[1],gelu,384,64,0.2,0.001,minmax,3,increasing,,mean,False,1e-06
33,0.21637426900584797,PRUNED,2025-11-26 00:51:25.348907,2025-11-26 00:51:33.310749,0 days 00:00:07.961842,"[256, 512, 1024]",[],[1],gelu,1024,64,0.2,0.001,minmax,3,increasing,,mean,False,1e-06
34,0.34115409004438807,PRUNED,2025-11-26 00:51:33.310749,2025-11-26 00:51:34.849634,0 days 00:00:01.538885,"[96, 192, 384, 768]",[2],"[1, 2]",gelu,768,64,0.2,0.0002,minmax,4,increasing,,mean,False,0.0
35,0.21839080459770113,PRUNED,2025-11-26 00:51:34.849634,2025-11-26 00:51:40.375134,0 days 00:00:05.525500,"[256, 512]",[],[],silu,512,16,,0.001,minmax,2,increasing,,mean,False,1e-06
36,0.3205391351943076,PRUNED,2025-11-26 00:51:40.376137,2025-11-26 00:51:41.987744,0 days 00:00:01.611607,[384],[],[],gelu,384,32,,0.0005,minmax,1,increasing,,mean,False,1e-07
37,0.08333333333333333,PRUNED,2025-11-26 00:51:41.987744,2025-11-26 00:52:06.220250,0 days 00:00:24.232506,"[128, 64, 64, 64, 64]",[],"[1, 3]",leakyrelu,128,16,0.2,5e-05,minmax,5,decreasing,,max,False,1e-06
38,0.1761006289308176,PRUNED,2025-11-26 00:52:06.227232,2025-11-26 00:52:08.206697,0 days 00:00:01.979465,"[64, 128, 256]",[],[1],gelu,256,96,0.1,0.0001,minmax,3,increasing,,mean,False,0.0
39,0.1761006289308176,PRUNED,2025-11-26 00:52:08.207704,2025-11-26 00:52:13.371038,0 days 00:00:05.163334,"[448, 896]",[],[],relu,896,48,,0.001,minmax,2,increasing,,max,False,1e-05
40,0.21839080459770113,PRUNED,2025-11-26 00:52:13.387128,2025-11-26 00:52:19.507176,0 days 00:00:06.120048,"[768, 384, 192, 96]",[2],"[1, 2]",gelu,768,64,0.2,0.0002,minmax,4,decreasing,,mean,False,1e-07
41,0.44698337255052456,COMPLETE,2025-11-26 00:52:19.507176,2025-11-26 00:52:37.917767,0 days 00:00:18.410591,"[96, 192, 384]",[],[1],gelu,384,64,0.2,0.001,minmax,3,increasing,,mean,False,1e-06
42,0.36322539949537425,PRUNED,2025-11-26 00:52:37.919778,2025-11-26 00:52:39.295715,0 days 00:00:01.375937,"[96, 192, 384]",[],[1],gelu,384,64,0.2,0.001,minmax,3,increasing,,mean,False,1e-06
43,0.32671717171717174,PRUNED,2025-11-26 00:52:39.295715,2025-11-26 00:52:40.892261,0 days 00:00:01.596546,"[64, 96, 192, 384]",[2],"[1, 2]",gelu,384,64,0.2,0.001,minmax,4,increasing,,mean,False,1e-06
44,0.34388635210553015,PRUNED,2025-11-26 00:52:40.892261,2025-11-26 00:52:42.824598,0 days 00:00:01.932337,"[128, 256, 512]",[],[1],silu,512,128,0.4,0.001,minmax,3,increasing,,mean,False,1e-06
45,0.34168997372658705,PRUNED,2025-11-26 00:52:42.825601,2025-11-26 00:52:44.018474,0 days 00:00:01.192873,"[192, 384]",[],[],elu,384,64,,0.001,minmax,2,increasing,,mean,False,0.0001
46,0.08888888888888889,PRUNED,2025-11-26 00:52:44.019480,2025-11-26 00:52:50.757730,0 days 00:00:06.738250,"[384, 384, 384]",[0],"[0, 1]",leakyrelu,384,16,0.5,1e-05,minmax,3,uniform,0.9,max,True,1e-06
47,0.21637426900584797,PRUNED,2025-11-26 00:52:50.758732,2025-11-26 00:52:56.692689,0 days 00:00:05.933957,"[256, 512, 1024]",[],[1],gelu,1024,128,0.2,0.001,minmax,3,increasing,,mean,False,0.0
48,0.21839080459770113,PRUNED,2025-11-26 00:52:56.708666,2025-11-26 00:52:58.185957,0 days 00:00:01.477291,"[80, 160, 320, 640]",[0],"[0, 1]",gelu,640,64,0.2,0.0001,minmax,4,increasing,,mean,False,1e-06
49,0.28273809523809523,PRUNED,2025-11-26 00:52:58.185957,2025-11-26 00:53:05.419119,0 days 00:00:07.233162,"[384, 384]",[],[],leakyrelu,384,96,,5e-05,L2,2,uniform,0.8,max,True,1e-07
