number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
26,0.21839080459770113,PRUNED,2025-11-25 23:45:12.154427,2025-11-25 23:45:19.735850,0 days 00:00:07.581423,"[512, 256, 128, 64]",[2],[2],elu,512,16,0.5,0.0002,L2,4,decreasing,,mean,False,1e-07
27,0.46335669485003733,COMPLETE,2025-11-25 23:45:19.736856,2025-11-25 23:46:00.464444,0 days 00:00:40.727588,"[512, 256, 128]",[],[],elu,512,16,,0.0002,minmax,3,decreasing,,mean,False,0.0001
28,0.464312449015501,COMPLETE,2025-11-25 23:46:00.466450,2025-11-25 23:46:45.527315,0 days 00:00:45.060865,"[640, 320, 160, 80]",[],[2],elu,640,16,0.3,0.0002,minmax,4,decreasing,,mean,False,1e-05
29,0.21839080459770113,PRUNED,2025-11-25 23:46:45.529328,2025-11-25 23:46:48.795137,0 days 00:00:03.265809,"[512, 256, 128]",[],[],gelu,512,16,,1e-05,minmax,3,decreasing,,mean,False,1e-07
30,0.3600129827977929,PRUNED,2025-11-25 23:46:48.795137,2025-11-25 23:46:51.168348,0 days 00:00:02.373211,[512],[],[],relu,512,16,,0.0002,minmax,1,increasing,,mean,False,1e-05
31,0.3920309081599404,PRUNED,2025-11-25 23:46:51.168348,2025-11-25 23:46:56.333776,0 days 00:00:05.165428,"[128, 64]",[],[],elu,128,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
32,0.4712385980546296,COMPLETE,2025-11-25 23:46:56.334779,2025-11-25 23:47:12.851456,0 days 00:00:16.516677,"[512, 256]",[],[],elu,512,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
33,0.46474487995372826,COMPLETE,2025-11-25 23:47:12.853473,2025-11-25 23:47:24.119416,0 days 00:00:11.265943,"[512, 256, 128]",[],[],elu,512,128,,0.0002,minmax,3,decreasing,,mean,False,0.0001
34,0.4428705078383214,COMPLETE,2025-11-25 23:47:24.121511,2025-11-25 23:47:49.034478,0 days 00:00:24.912967,"[512, 256]",[],[],tanh,512,32,,0.001,L2,2,decreasing,,max,False,1e-05
35,0.21839080459770113,PRUNED,2025-11-25 23:47:49.035943,2025-11-25 23:47:58.492262,0 days 00:00:09.456319,"[512, 256, 128, 64]",[2],[],elu,512,16,,5e-05,minmax,4,decreasing,,mean,False,1e-05
36,0.21839080459770113,PRUNED,2025-11-25 23:47:58.492262,2025-11-25 23:47:59.764783,0 days 00:00:01.272521,"[512, 1024]",[],[],relu,1024,64,,2e-05,L2,2,increasing,,mean,False,0.0001
37,0.31734693113492224,PRUNED,2025-11-25 23:47:59.765786,2025-11-25 23:48:01.863906,0 days 00:00:02.098120,"[512, 512, 512]",[],[],elu,512,32,,0.0002,minmax,3,uniform,,max,False,1e-07
38,0.34004592828122243,PRUNED,2025-11-25 23:48:01.865287,2025-11-25 23:48:05.971724,0 days 00:00:04.106437,[384],[],[],elu,384,48,,1e-05,minmax,1,decreasing,,mean,False,0.0
39,0.41218197178205374,COMPLETE,2025-11-25 23:48:05.972729,2025-11-25 23:48:51.759419,0 days 00:00:45.786690,"[512, 256]",[],[],leakyrelu,512,16,,5e-05,minmax,2,decreasing,0.7,max,True,1e-05
40,0.3882275132275132,PRUNED,2025-11-25 23:48:51.761428,2025-11-25 23:48:54.124678,0 days 00:00:02.363250,"[160, 320, 640]",[],[],tanh,640,64,,0.0001,L2,3,increasing,,mean,False,1e-05
41,0.21839080459770113,PRUNED,2025-11-25 23:48:54.125683,2025-11-25 23:48:59.918071,0 days 00:00:05.792388,"[128, 64]",[],[],elu,128,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
42,0.37759236082139713,PRUNED,2025-11-25 23:48:59.918071,2025-11-25 23:49:02.863686,0 days 00:00:02.945615,"[128, 64]",[],[],elu,128,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
43,0.4189208021517065,PRUNED,2025-11-25 23:49:02.864799,2025-11-25 23:49:08.656707,0 days 00:00:05.791908,"[1024, 512]",[],[],elu,1024,48,,0.001,minmax,2,decreasing,,mean,False,1e-05
44,0.1761006289308176,PRUNED,2025-11-25 23:49:08.656707,2025-11-25 23:49:12.109793,0 days 00:00:03.453086,"[896, 896, 896]",[0],[0],elu,896,48,0.1,0.001,minmax,3,uniform,,mean,False,1e-05
45,0.3371984539517526,PRUNED,2025-11-25 23:49:12.109793,2025-11-25 23:49:17.049742,0 days 00:00:04.939949,"[256, 128, 64, 64]",[],[],leakyrelu,256,32,,0.0002,minmax,4,decreasing,0.6,mean,True,1e-05
46,0.21839080459770113,PRUNED,2025-11-25 23:49:17.050745,2025-11-25 23:49:27.591759,0 days 00:00:10.541014,[128],[],[],silu,128,16,,0.001,minmax,1,decreasing,,max,False,0.0
47,0.31828316610925306,PRUNED,2025-11-25 23:49:27.592772,2025-11-25 23:49:28.984995,0 days 00:00:01.392223,"[256, 512]",[0],[0],gelu,512,48,0.4,0.0001,minmax,2,increasing,,mean,False,1e-05
48,0.4295143821038117,COMPLETE,2025-11-25 23:49:28.985998,2025-11-25 23:49:41.915506,0 days 00:00:12.929508,"[384, 192, 96, 64, 64]",[2],[2],elu,384,128,0.2,0.0005,minmax,5,decreasing,0.8,mean,True,1e-05
49,0.45647221300893015,COMPLETE,2025-11-25 23:49:41.916463,2025-11-25 23:49:53.279038,0 days 00:00:11.362575,"[768, 768, 768]",[],[],relu,768,64,,0.0002,minmax,3,uniform,,mean,False,1e-06
