number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
25,0.1761006289308176,PRUNED,2025-11-26 00:28:59.928247,2025-11-26 00:29:04.843556,0 days 00:00:04.915309,"[512, 256, 128, 64]","[1, 2]",[1],gelu,512,32,0.2,0.001,minmax,4,decreasing,,max,False,1e-07
26,0.31828316610925306,PRUNED,2025-11-26 00:29:04.843556,2025-11-26 00:29:05.921513,0 days 00:00:01.077957,"[512, 256, 128]",[1],[1],tanh,512,128,0.2,5e-05,L2,3,decreasing,0.9,mean,True,0.0001
27,0.45313873393336135,COMPLETE,2025-11-26 00:29:05.921513,2025-11-26 00:29:15.016281,0 days 00:00:09.094768,"[640, 320]",[],[],leakyrelu,640,96,,0.001,minmax,2,decreasing,,max,False,0.0
28,0.1761006289308176,PRUNED,2025-11-26 00:29:15.018353,2025-11-26 00:29:16.592341,0 days 00:00:01.573988,[640],[],[],relu,640,96,,1e-05,minmax,1,increasing,,max,False,0.0
29,0.44558428971603303,COMPLETE,2025-11-26 00:29:16.592341,2025-11-26 00:29:27.009983,0 days 00:00:10.417642,"[640, 640]",[0],[0],elu,640,96,0.5,0.001,minmax,2,uniform,,max,False,0.0
30,0.2142857142857143,PRUNED,2025-11-26 00:29:27.011991,2025-11-26 00:29:31.821551,0 days 00:00:04.809560,"[640, 320]",[],[],leakyrelu,640,96,,2e-05,minmax,2,decreasing,,max,False,0.0
31,0.46055561954768454,COMPLETE,2025-11-26 00:29:31.821551,2025-11-26 00:29:47.990521,0 days 00:00:16.168970,"[896, 448, 224]",[1],[1],leakyrelu,896,48,0.2,0.001,minmax,3,decreasing,,max,False,1e-06
32,0.4550044740833143,COMPLETE,2025-11-26 00:29:47.991113,2025-11-26 00:30:10.685810,0 days 00:00:22.694697,"[896, 448, 224, 112]",[1],"[1, 2]",leakyrelu,896,48,0.3,0.001,minmax,4,decreasing,,max,False,1e-06
33,0.36143631436314366,PRUNED,2025-11-26 00:30:10.687889,2025-11-26 00:30:14.388026,0 days 00:00:03.700137,"[896, 448, 224, 112]",[1],"[1, 2]",leakyrelu,896,48,0.3,0.0002,minmax,4,decreasing,,max,False,1e-06
34,0.37066073041682807,PRUNED,2025-11-26 00:30:14.389026,2025-11-26 00:30:22.592765,0 days 00:00:08.203739,"[64, 112, 224, 448, 896]","[1, 3]","[1, 2]",leakyrelu,896,48,0.3,0.001,minmax,5,increasing,0.8,mean,True,1e-06
35,0.3647151898734177,PRUNED,2025-11-26 00:30:22.592765,2025-11-26 00:30:32.085720,0 days 00:00:09.492955,"[896, 448, 224, 112, 64]","[1, 3]","[1, 2]",silu,896,48,0.3,0.001,minmax,5,decreasing,,max,False,1e-06
36,0.21839080459770113,PRUNED,2025-11-26 00:30:32.085720,2025-11-26 00:30:35.770716,0 days 00:00:03.684996,"[896, 448, 224, 112]",[1],"[1, 2]",relu,896,48,0.1,5e-05,L2,4,decreasing,,mean,False,1e-06
37,0.3085271317829457,PRUNED,2025-11-26 00:30:35.770716,2025-11-26 00:30:41.549838,0 days 00:00:05.779122,"[224, 448, 896]",[],"[0, 1]",tanh,896,64,0.3,0.0001,minmax,3,increasing,0.5,max,True,1e-06
38,0.21839080459770113,PRUNED,2025-11-26 00:30:41.550844,2025-11-26 00:30:48.945059,0 days 00:00:07.394215,"[1024, 512, 256, 128]","[1, 2]",[1],gelu,1024,48,0.2,0.0002,L2,4,decreasing,,max,False,1e-06
39,0.4058143201802514,COMPLETE,2025-11-26 00:30:48.946059,2025-11-26 00:31:06.192979,0 days 00:00:17.246920,"[896, 448, 224]",[1],[1],leakyrelu,896,48,0.2,0.0005,minmax,3,decreasing,,mean,False,1e-06
40,0.33145161290322583,PRUNED,2025-11-26 00:31:06.194989,2025-11-26 00:31:08.280568,0 days 00:00:02.085579,"[384, 384, 384, 384, 384]","[0, 1]","[0, 1, 2]",silu,384,48,0.2,0.001,minmax,5,uniform,0.7,max,True,1e-05
41,0.38506059817535226,PRUNED,2025-11-26 00:31:08.280568,2025-11-26 00:31:10.195842,0 days 00:00:01.915274,"[128, 64]",[],[],leakyrelu,128,96,,0.001,minmax,2,decreasing,,max,False,1e-07
42,0.1761006289308176,PRUNED,2025-11-26 00:31:10.196843,2025-11-26 00:31:13.111919,0 days 00:00:02.915076,[896],[],[],leakyrelu,896,64,,0.001,minmax,1,decreasing,,max,False,1e-06
43,0.4105843006098761,PRUNED,2025-11-26 00:31:13.111919,2025-11-26 00:31:15.197554,0 days 00:00:02.085635,"[256, 128, 64]",[1],[1],leakyrelu,256,128,0.1,0.001,minmax,3,decreasing,,max,False,0.0001
44,0.36426767676767674,PRUNED,2025-11-26 00:31:15.197554,2025-11-26 00:31:26.296018,0 days 00:00:11.098464,"[640, 320, 160, 80, 64]",[2],[1],leakyrelu,640,32,0.2,0.001,minmax,5,decreasing,,max,False,1e-05
45,0.46346517967883727,COMPLETE,2025-11-26 00:31:26.296018,2025-11-26 00:31:40.384874,0 days 00:00:14.088856,"[768, 384, 192, 96]",[1],"[1, 2]",elu,768,96,0.4,0.0001,minmax,4,decreasing,,max,False,1e-06
46,0.29388913790527416,PRUNED,2025-11-26 00:31:40.386884,2025-11-26 00:31:42.346624,0 days 00:00:01.959740,"[768, 384, 192, 96]",[1],"[1, 2]",elu,768,48,0.4,0.0001,L2,4,decreasing,,max,False,1e-06
47,0.3961192733160019,COMPLETE,2025-11-26 00:31:42.347631,2025-11-26 00:32:04.108022,0 days 00:00:21.760391,"[768, 384, 192, 96]",[1],"[1, 2]",elu,768,48,0.4,0.0001,minmax,4,decreasing,,mean,False,1e-06
48,0.4149606152151543,COMPLETE,2025-11-26 00:32:04.110186,2025-11-26 00:32:21.750952,0 days 00:00:17.640766,"[96, 192, 384, 768]","[0, 1]","[0, 1, 2]",elu,768,64,0.4,0.0001,minmax,4,increasing,0.9,max,True,1e-06
49,0.29284750337381915,PRUNED,2025-11-26 00:32:21.755200,2025-11-26 00:32:42.785954,0 days 00:00:21.030754,"[768, 384, 192, 96, 64]",[3],[2],elu,768,16,0.4,0.0005,minmax,5,decreasing,,max,False,1e-06
